exemplar,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
aalbes,20.0,12.0,11.0,11.0,11.0,11.0,14.0,14.0,11.0,11.0,11.0,13.0,14.0,12.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,9.0,11.0,11.0,11.0
aardbei,12.0,20.0,11.0,11.0,11.0,11.0,13.0,12.0,11.0,11.0,11.0,12.0,12.0,12.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,8.0,11.0,11.0,11.0
abrikoos,11.0,11.0,20.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,13.0,12.0,11.0,11.0,11.0,12.0,12.0,15.0,11.0,12.0,11.0,16.0,11.0,8.0,13.0,11.0,12.0
ananas,11.0,11.0,11.0,20.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,12.0,11.0,12.0,11.0,11.0,11.0,12.0,8.0,11.0,11.0,11.0
appel,11.0,11.0,11.0,11.0,20.0,11.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,14.0,11.0,11.0,8.0,11.0,11.0,11.0
banaan,11.0,11.0,11.0,12.0,11.0,20.0,10.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,12.0,9.0,11.0,11.0,11.0
bosbes,14.0,13.0,11.0,11.0,11.0,10.0,20.0,16.0,10.0,11.0,11.0,12.0,14.0,12.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,9.0,11.0,11.0,12.0
braambessen,14.0,12.0,11.0,11.0,11.0,9.0,16.0,20.0,10.0,11.0,11.0,12.0,15.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,7.0,11.0,11.0,11.0
citroen,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,20.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,8.0,11.0,15.0,11.0
clementine,11.0,11.0,12.0,11.0,12.0,11.0,11.0,11.0,13.0,20.0,12.0,11.0,11.0,11.0,11.0,10.0,15.0,11.0,12.0,11.0,12.0,12.0,12.0,11.0,11.0,14.0,9.0,11.0,18.0,12.0
dadels,11.0,11.0,12.0,11.0,12.0,11.0,11.0,11.0,11.0,12.0,20.0,12.0,11.0,11.0,12.0,10.0,11.0,12.0,12.0,11.0,12.0,13.0,12.0,12.0,12.0,11.0,8.0,13.0,11.0,15.0
druif,13.0,12.0,11.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,12.0,20.0,12.0,12.0,11.0,10.0,11.0,13.0,12.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,8.0,12.0,11.0,12.0
framboos,14.0,12.0,11.0,11.0,11.0,11.0,14.0,15.0,11.0,11.0,11.0,12.0,20.0,11.0,11.0,10.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,8.0,11.0,11.0,12.0
kers,12.0,12.0,13.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,12.0,11.0,20.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,12.0,11.0,8.0,16.0,11.0,12.0
kiwi,11.0,11.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,20.0,10.0,11.0,12.0,13.0,12.0,12.0,11.0,13.0,11.0,11.0,12.0,8.0,11.0,12.0,12.0
kokosnoot,11.0,10.0,11.0,11.0,11.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,11.0,10.0,20.0,10.0,11.0,11.0,11.0,10.0,11.0,11.0,10.0,11.0,11.0,7.0,11.0,11.0,11.0
limoen,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0,15.0,11.0,11.0,11.0,11.0,11.0,10.0,20.0,11.0,11.0,11.0,11.0,11.0,12.0,10.0,11.0,14.0,8.0,11.0,14.0,11.0
lychee,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,13.0,12.0,11.0,12.0,11.0,11.0,20.0,12.0,12.0,12.0,12.0,13.0,11.0,12.0,12.0,7.0,11.0,12.0,11.0
mango,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,11.0,11.0,13.0,11.0,11.0,12.0,20.0,14.0,12.0,12.0,12.0,11.0,11.0,12.0,8.0,12.0,12.0,12.0
meloen,11.0,11.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,12.0,14.0,20.0,11.0,12.0,12.0,11.0,11.0,12.0,10.0,11.0,11.0,12.0
nectarine,11.0,11.0,15.0,11.0,12.0,11.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,11.0,12.0,10.0,11.0,12.0,12.0,11.0,20.0,11.0,13.0,11.0,16.0,12.0,7.0,16.0,12.0,12.0
papaya,11.0,11.0,11.0,12.0,12.0,11.0,11.0,12.0,11.0,12.0,13.0,12.0,11.0,12.0,11.0,11.0,11.0,12.0,12.0,12.0,11.0,20.0,12.0,11.0,12.0,12.0,8.0,11.0,11.0,12.0
passievrucht,11.0,12.0,12.0,11.0,12.0,12.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,11.0,13.0,11.0,12.0,13.0,12.0,12.0,13.0,12.0,20.0,11.0,13.0,14.0,10.0,12.0,12.0,12.0
peer,11.0,11.0,11.0,11.0,14.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,20.0,11.0,12.0,8.0,11.0,11.0,11.0
perzik,11.0,11.0,16.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,12.0,11.0,11.0,12.0,11.0,11.0,11.0,12.0,11.0,11.0,16.0,12.0,13.0,11.0,20.0,11.0,9.0,14.0,11.0,12.0
