exemplar,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
aalbes,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aardbei,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abrikoos,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ananas,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,
appel,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
banaan,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,
bosbes,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,
braambessen,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,
citroen,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,
clementine,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,
dadels,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,
druif,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,
framboos,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,
kers,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
kiwi,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,
kokosnoot,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,
limoen,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
lychee,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,
mango,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,
meloen,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,
nectarine,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,
papaya,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,
passievrucht,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,
peer,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,
perzik,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,
pompelmoes,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,
pompoen,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,
pruim,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,
sinaasappel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,
vijg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
