exemplar,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
aalbes,20.0,8.0,5.0,6.0,5.0,5.0,9.0,11.0,7.0,8.0,8.0,5.0,9.0,12.0,8.0,4.0,5.0,6.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,6.0,4.0,5.0,4.0,8.0
aardbei,8.0,20.0,9.0,5.0,4.0,6.0,9.0,10.0,8.0,4.0,8.0,12.0,4.0,14.0,6.0,3.0,5.0,5.0,5.0,8.0,7.0,5.0,8.0,4.0,5.0,5.0,3.0,5.0,5.0,9.0
abrikoos,5.0,9.0,20.0,6.0,6.0,6.0,7.0,5.0,9.0,11.0,14.0,6.0,17.0,6.0,6.0,4.0,11.0,6.0,10.0,10.0,12.0,6.0,7.0,6.0,16.0,9.0,4.0,10.0,8.0,9.0
ananas,6.0,5.0,6.0,20.0,5.0,6.0,5.0,3.0,4.0,6.0,4.0,4.0,9.0,4.0,11.0,6.0,5.0,5.0,5.0,5.0,6.0,8.0,6.0,6.0,5.0,4.0,4.0,7.0,8.0,5.0
appel,5.0,4.0,6.0,5.0,20.0,6.0,6.0,5.0,5.0,13.0,5.0,4.0,6.0,5.0,7.0,5.0,10.0,5.0,6.0,4.0,14.0,6.0,5.0,8.0,10.0,7.0,5.0,5.0,9.0,5.0
banaan,5.0,6.0,6.0,6.0,6.0,20.0,5.0,4.0,5.0,5.0,5.0,6.0,5.0,4.0,5.0,5.0,6.0,3.0,5.0,6.0,5.0,5.0,6.0,9.0,5.0,5.0,4.0,5.0,6.0,5.0
bosbes,9.0,9.0,7.0,5.0,6.0,5.0,20.0,6.0,4.0,6.0,9.0,13.0,6.0,13.0,5.0,3.0,5.0,7.0,5.0,5.0,7.0,6.0,6.0,4.0,9.0,5.0,6.0,4.0,4.0,9.0
braambessen,11.0,10.0,5.0,3.0,5.0,4.0,6.0,20.0,6.0,5.0,9.0,12.0,11.0,14.0,7.0,5.0,4.0,8.0,4.0,3.0,4.0,6.0,7.0,5.0,6.0,4.0,3.0,3.0,4.0,7.0
citroen,7.0,8.0,9.0,4.0,5.0,5.0,4.0,6.0,20.0,8.0,7.0,5.0,6.0,5.0,8.0,4.0,17.0,11.0,9.0,18.0,9.0,7.0,6.0,5.0,7.0,9.0,7.0,9.0,9.0,7.0
clementine,8.0,4.0,11.0,6.0,13.0,5.0,6.0,5.0,8.0,20.0,5.0,6.0,7.0,6.0,6.0,5.0,6.0,4.0,9.0,5.0,16.0,6.0,8.0,9.0,18.0,6.0,4.0,6.0,9.0,8.0
