exemplar,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad,python,salamander,schildpad,slang,varaan,waterschildpad
adder,20.0,9.0,17.0,16.0,11.0,9.0,11.0,12.0,14.0,9.0,8.0,9.0,9.0,11.0,14.0,10.0,8.0,20.0,,
alligator,9.0,20.0,11.0,9.0,17.0,11.0,11.0,6.0,18.0,11.0,11.0,18.0,11.0,10.0,9.0,12.0,10.0,10.0,,
boa,17.0,11.0,20.0,19.0,11.0,10.0,9.0,12.0,12.0,11.0,9.0,9.0,9.0,10.0,16.0,9.0,8.0,20.0,,
cobra,16.0,9.0,19.0,20.0,10.0,10.0,10.0,14.0,10.0,6.0,8.0,10.0,9.0,10.0,16.0,10.0,10.0,20.0,,
dinosaurus,11.0,17.0,11.0,10.0,20.0,13.0,13.0,9.0,12.0,16.0,12.0,17.0,13.0,9.0,10.0,11.0,11.0,10.0,,
gekko,9.0,11.0,10.0,10.0,13.0,20.0,15.0,7.0,10.0,12.0,10.0,9.0,12.0,9.0,10.0,13.0,8.0,13.0,,
hagedis,11.0,11.0,9.0,10.0,13.0,15.0,20.0,8.0,12.0,11.0,12.0,11.0,10.0,11.0,9.0,17.0,9.0,9.0,,
hazelworm,12.0,6.0,12.0,14.0,9.0,7.0,8.0,20.0,8.0,7.0,7.0,9.0,9.0,11.0,13.0,10.0,7.0,15.0,,
kaaiman,14.0,18.0,12.0,10.0,12.0,10.0,12.0,8.0,20.0,11.0,9.0,18.0,14.0,10.0,10.0,12.0,9.0,10.0,,
kameleon,9.0,11.0,11.0,6.0,16.0,12.0,11.0,7.0,11.0,20.0,11.0,10.0,11.0,9.0,9.0,11.0,10.0,9.0,,
kikker,8.0,11.0,9.0,8.0,12.0,10.0,12.0,7.0,9.0,11.0,20.0,11.0,10.0,19.0,9.0,17.0,11.0,9.0,,
krokodil,9.0,18.0,9.0,10.0,17.0,9.0,11.0,9.0,18.0,10.0,11.0,20.0,12.0,14.0,11.0,12.0,10.0,13.0,,
leguaan,9.0,11.0,9.0,9.0,13.0,12.0,10.0,9.0,14.0,11.0,10.0,12.0,20.0,11.0,11.0,12.0,8.0,10.0,,
pad,11.0,10.0,10.0,10.0,9.0,9.0,11.0,11.0,10.0,9.0,19.0,14.0,11.0,20.0,9.0,11.0,9.0,10.0,,
python,14.0,9.0,16.0,16.0,10.0,10.0,9.0,13.0,10.0,9.0,9.0,11.0,11.0,9.0,20.0,10.0,9.0,20.0,,
salamander,10.0,12.0,9.0,10.0,11.0,13.0,17.0,10.0,12.0,11.0,17.0,12.0,12.0,11.0,10.0,20.0,10.0,11.0,,
schildpad,8.0,10.0,8.0,10.0,11.0,8.0,9.0,7.0,9.0,10.0,11.0,10.0,8.0,9.0,9.0,10.0,20.0,11.0,,
slang,20.0,10.0,20.0,20.0,10.0,13.0,9.0,15.0,10.0,9.0,9.0,13.0,10.0,10.0,20.0,11.0,11.0,20.0,,
varaan,,,,,,,,,,,,,,,,,,,20.0,
waterschildpad,,,,,,,,,,,,,,,,,,,,20.0
