exemplar,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad,python,salamander,schildpad,slang,varaan,waterschildpad
adder,20.0,14.0,13.0,11.0,15.0,6.0,16.0,,8.0,5.0,6.0,9.0,11.0,11.0,13.0,9.0,10.0,18.0,,9.0
alligator,14.0,20.0,13.0,12.0,19.0,14.0,11.0,,12.0,12.0,12.0,17.0,10.0,9.0,10.0,12.0,12.0,15.0,,10.0
boa,13.0,13.0,20.0,16.0,14.0,4.0,14.0,,5.0,4.0,5.0,9.0,11.0,12.0,13.0,10.0,10.0,16.0,,5.0
cobra,11.0,12.0,16.0,20.0,13.0,8.0,8.0,,6.0,5.0,5.0,9.0,10.0,10.0,17.0,14.0,8.0,19.0,,6.0
dinosaurus,15.0,19.0,14.0,13.0,20.0,16.0,16.0,,15.0,17.0,12.0,18.0,12.0,12.0,7.0,16.0,17.0,14.0,,17.0
gekko,6.0,14.0,4.0,8.0,16.0,20.0,17.0,,2.0,14.0,12.0,12.0,12.0,8.0,5.0,16.0,5.0,10.0,,9.0
hagedis,16.0,11.0,14.0,8.0,16.0,17.0,20.0,,13.0,15.0,10.0,8.0,14.0,2.0,14.0,12.0,9.0,14.0,,6.0
hazelworm,,,,,,,,20.0,,,,,,,,,,,,
kaaiman,8.0,12.0,5.0,6.0,15.0,2.0,13.0,,20.0,15.0,10.0,17.0,12.0,9.0,14.0,12.0,16.0,7.0,,16.0
kameleon,5.0,12.0,4.0,5.0,17.0,14.0,15.0,,15.0,20.0,5.0,15.0,12.0,4.0,4.0,8.0,13.0,13.0,,4.0
kikker,6.0,12.0,5.0,5.0,12.0,12.0,10.0,,10.0,5.0,20.0,13.0,12.0,17.0,10.0,13.0,14.0,15.0,,12.0
krokodil,9.0,17.0,9.0,9.0,18.0,12.0,8.0,,17.0,15.0,13.0,20.0,15.0,14.0,13.0,12.0,12.0,15.0,,10.0
leguaan,11.0,10.0,11.0,10.0,12.0,12.0,14.0,,12.0,12.0,12.0,15.0,20.0,14.0,11.0,11.0,12.0,12.0,,12.0
pad,11.0,9.0,12.0,10.0,12.0,8.0,2.0,,9.0,4.0,17.0,14.0,14.0,20.0,13.0,15.0,16.0,10.0,,10.0
python,13.0,10.0,13.0,17.0,7.0,5.0,14.0,,14.0,4.0,10.0,13.0,11.0,13.0,20.0,12.0,11.0,18.0,,4.0
salamander,9.0,12.0,10.0,14.0,16.0,16.0,12.0,,12.0,8.0,13.0,12.0,11.0,15.0,12.0,20.0,12.0,18.0,,13.0
schildpad,10.0,12.0,10.0,8.0,17.0,5.0,9.0,,16.0,13.0,14.0,12.0,12.0,16.0,11.0,12.0,20.0,10.0,,18.0
slang,18.0,15.0,16.0,19.0,14.0,10.0,14.0,,7.0,13.0,15.0,15.0,12.0,10.0,18.0,18.0,10.0,20.0,,8.0
varaan,,,,,,,,,,,,,,,,,,,20.0,
waterschildpad,9.0,10.0,5.0,6.0,17.0,9.0,6.0,,16.0,4.0,12.0,10.0,12.0,10.0,4.0,13.0,18.0,8.0,,20.0
