exemplar,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad,python,salamander,schildpad,slang,varaan,waterschildpad
adder,20.0,13.0,17.0,17.0,10.0,12.0,17.0,15.0,,,16.0,17.0,10.0,11.0,17.0,16.0,11.0,18.0,6.0,10.0
alligator,13.0,20.0,11.0,15.0,16.0,13.0,16.0,10.0,,,14.0,19.0,15.0,15.0,16.0,17.0,11.0,19.0,13.0,15.0
boa,17.0,11.0,20.0,19.0,14.0,6.0,18.0,15.0,,,8.0,14.0,14.0,7.0,11.0,15.0,11.0,19.0,15.0,12.0
cobra,17.0,15.0,19.0,20.0,13.0,12.0,17.0,16.0,,,14.0,12.0,16.0,6.0,17.0,17.0,15.0,19.0,16.0,11.0
dinosaurus,10.0,16.0,14.0,13.0,20.0,10.0,15.0,8.0,,,10.0,11.0,11.0,8.0,10.0,14.0,12.0,10.0,11.0,5.0
gekko,12.0,13.0,6.0,12.0,10.0,20.0,17.0,16.0,,,15.0,12.0,19.0,12.0,17.0,14.0,10.0,16.0,15.0,6.0
hagedis,17.0,16.0,18.0,17.0,15.0,17.0,20.0,14.0,,,20.0,17.0,15.0,16.0,17.0,18.0,17.0,16.0,10.0,15.0
hazelworm,15.0,10.0,15.0,16.0,8.0,16.0,14.0,20.0,,,10.0,16.0,15.0,9.0,6.0,13.0,9.0,11.0,3.0,12.0
kaaiman,,,,,,,,,20.0,,,,,,,,,,,
kameleon,,,,,,,,,,20.0,,,,,,,,,,
kikker,16.0,14.0,8.0,14.0,10.0,15.0,20.0,10.0,,,20.0,15.0,12.0,19.0,11.0,16.0,15.0,14.0,10.0,17.0
krokodil,17.0,19.0,14.0,12.0,11.0,12.0,17.0,16.0,,,15.0,20.0,12.0,5.0,15.0,17.0,8.0,6.0,10.0,13.0
leguaan,10.0,15.0,14.0,16.0,11.0,19.0,15.0,15.0,,,12.0,12.0,20.0,16.0,18.0,18.0,9.0,12.0,15.0,15.0
pad,11.0,15.0,7.0,6.0,8.0,12.0,16.0,9.0,,,19.0,5.0,16.0,20.0,11.0,17.0,8.0,9.0,15.0,18.0
python,17.0,16.0,11.0,17.0,10.0,17.0,17.0,6.0,,,11.0,15.0,18.0,11.0,20.0,10.0,14.0,12.0,14.0,6.0
salamander,16.0,17.0,15.0,17.0,14.0,14.0,18.0,13.0,,,16.0,17.0,18.0,17.0,10.0,20.0,13.0,13.0,14.0,15.0
schildpad,11.0,11.0,11.0,15.0,12.0,10.0,17.0,9.0,,,15.0,8.0,9.0,8.0,14.0,13.0,20.0,14.0,10.0,19.0
slang,18.0,19.0,19.0,19.0,10.0,16.0,16.0,11.0,,,14.0,6.0,12.0,9.0,12.0,13.0,14.0,20.0,10.0,10.0
varaan,6.0,13.0,15.0,16.0,11.0,15.0,10.0,3.0,,,10.0,10.0,15.0,15.0,14.0,14.0,10.0,10.0,20.0,7.0
waterschildpad,10.0,15.0,12.0,11.0,5.0,6.0,15.0,12.0,,,17.0,13.0,15.0,18.0,6.0,15.0,19.0,10.0,7.0,20.0
