exemplar,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad,python,salamander,schildpad,slang,varaan,waterschildpad
adder,20.0,13.0,18.0,18.0,14.0,14.0,13.0,17.0,8.0,11.0,14.0,12.0,11.0,14.0,16.0,13.0,11.0,20.0,12.0,12.0
alligator,13.0,20.0,9.0,12.0,15.0,13.0,14.0,11.0,19.0,15.0,14.0,19.0,14.0,13.0,13.0,16.0,13.0,14.0,16.0,11.0
boa,18.0,9.0,20.0,16.0,13.0,11.0,14.0,13.0,12.0,12.0,12.0,14.0,12.0,12.0,16.0,14.0,12.0,20.0,13.0,10.0
cobra,18.0,12.0,16.0,20.0,14.0,14.0,15.0,15.0,13.0,11.0,14.0,14.0,14.0,11.0,18.0,14.0,12.0,20.0,12.0,11.0
dinosaurus,14.0,15.0,13.0,14.0,20.0,15.0,19.0,5.0,15.0,14.0,14.0,15.0,15.0,14.0,14.0,17.0,14.0,12.0,18.0,12.0
gekko,14.0,13.0,11.0,14.0,15.0,20.0,20.0,12.0,12.0,15.0,15.0,14.0,15.0,14.0,14.0,19.0,14.0,13.0,16.0,12.0
hagedis,13.0,14.0,14.0,15.0,19.0,20.0,20.0,15.0,15.0,15.0,15.0,15.0,16.0,15.0,14.0,19.0,15.0,14.0,16.0,14.0
hazelworm,17.0,11.0,13.0,15.0,5.0,12.0,15.0,20.0,11.0,12.0,12.0,4.0,12.0,12.0,15.0,12.0,12.0,19.0,12.0,10.0
kaaiman,8.0,19.0,12.0,13.0,15.0,12.0,15.0,11.0,20.0,13.0,14.0,19.0,15.0,14.0,12.0,15.0,14.0,15.0,14.0,13.0
kameleon,11.0,15.0,12.0,11.0,14.0,15.0,15.0,12.0,13.0,20.0,12.0,14.0,14.0,13.0,13.0,15.0,13.0,11.0,15.0,11.0
kikker,14.0,14.0,12.0,14.0,14.0,15.0,15.0,12.0,14.0,12.0,20.0,14.0,10.0,18.0,11.0,15.0,14.0,10.0,13.0,15.0
krokodil,12.0,19.0,14.0,14.0,15.0,14.0,15.0,4.0,19.0,14.0,14.0,20.0,14.0,13.0,12.0,13.0,12.0,10.0,14.0,13.0
leguaan,11.0,14.0,12.0,14.0,15.0,15.0,16.0,12.0,15.0,14.0,10.0,14.0,20.0,16.0,13.0,16.0,7.0,14.0,16.0,15.0
pad,14.0,13.0,12.0,11.0,14.0,14.0,15.0,12.0,14.0,13.0,18.0,13.0,16.0,20.0,11.0,18.0,15.0,13.0,13.0,16.0
python,16.0,13.0,16.0,18.0,14.0,14.0,14.0,15.0,12.0,13.0,11.0,12.0,13.0,11.0,20.0,13.0,12.0,20.0,10.0,12.0
salamander,13.0,16.0,14.0,14.0,17.0,19.0,19.0,12.0,15.0,15.0,15.0,13.0,16.0,18.0,13.0,20.0,12.0,15.0,19.0,14.0
schildpad,11.0,13.0,12.0,12.0,14.0,14.0,15.0,12.0,14.0,13.0,14.0,12.0,7.0,15.0,12.0,12.0,20.0,12.0,14.0,18.0
slang,20.0,14.0,20.0,20.0,12.0,13.0,14.0,19.0,15.0,11.0,10.0,10.0,14.0,13.0,20.0,15.0,12.0,20.0,14.0,14.0
varaan,12.0,16.0,13.0,12.0,18.0,16.0,16.0,12.0,14.0,15.0,13.0,14.0,16.0,13.0,10.0,19.0,14.0,14.0,20.0,14.0
waterschildpad,12.0,11.0,10.0,11.0,12.0,12.0,14.0,10.0,13.0,11.0,15.0,13.0,15.0,16.0,12.0,14.0,18.0,14.0,14.0,20.0
