exemplar,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad,python,salamander,schildpad,slang,varaan,waterschildpad
adder,20.0,16.0,16.0,15.0,2.0,7.0,6.0,8.0,15.0,7.0,5.0,7.0,12.0,8.0,12.0,8.0,7.0,8.0,12.0,7.0
alligator,16.0,20.0,14.0,17.0,9.0,12.0,8.0,12.0,15.0,7.0,8.0,18.0,15.0,8.0,12.0,7.0,6.0,18.0,13.0,8.0
boa,16.0,14.0,20.0,15.0,5.0,9.0,10.0,7.0,9.0,8.0,9.0,8.0,12.0,6.0,15.0,11.0,6.0,16.0,10.0,8.0
cobra,15.0,17.0,15.0,20.0,6.0,8.0,12.0,8.0,4.0,8.0,5.0,5.0,13.0,4.0,13.0,9.0,5.0,17.0,10.0,5.0
dinosaurus,2.0,9.0,5.0,6.0,20.0,8.0,7.0,4.0,5.0,7.0,4.0,7.0,8.0,4.0,6.0,6.0,7.0,3.0,10.0,10.0
gekko,7.0,12.0,9.0,8.0,8.0,20.0,8.0,8.0,4.0,9.0,13.0,6.0,11.0,12.0,9.0,8.0,9.0,6.0,8.0,9.0
hagedis,6.0,8.0,10.0,12.0,7.0,8.0,20.0,7.0,8.0,12.0,6.0,7.0,12.0,8.0,7.0,12.0,7.0,8.0,12.0,7.0
hazelworm,8.0,12.0,7.0,8.0,4.0,8.0,7.0,20.0,6.0,8.0,10.0,4.0,8.0,10.0,9.0,7.0,6.0,8.0,10.0,10.0
kaaiman,15.0,15.0,9.0,4.0,5.0,4.0,8.0,6.0,20.0,7.0,6.0,16.0,9.0,9.0,15.0,7.0,7.0,5.0,8.0,7.0
kameleon,7.0,7.0,8.0,8.0,7.0,9.0,12.0,8.0,7.0,20.0,8.0,7.0,9.0,8.0,8.0,13.0,10.0,8.0,8.0,6.0
kikker,5.0,8.0,9.0,5.0,4.0,13.0,6.0,10.0,6.0,8.0,20.0,4.0,8.0,16.0,6.0,6.0,8.0,8.0,13.0,11.0
krokodil,7.0,18.0,8.0,5.0,7.0,6.0,7.0,4.0,16.0,7.0,4.0,20.0,9.0,4.0,3.0,5.0,7.0,6.0,8.0,6.0
leguaan,12.0,15.0,12.0,13.0,8.0,11.0,12.0,8.0,9.0,9.0,8.0,9.0,20.0,11.0,9.0,9.0,8.0,9.0,9.0,5.0
pad,8.0,8.0,6.0,4.0,4.0,12.0,8.0,10.0,9.0,8.0,16.0,4.0,11.0,20.0,8.0,11.0,16.0,7.0,4.0,12.0
python,12.0,12.0,15.0,13.0,6.0,9.0,7.0,9.0,15.0,8.0,6.0,3.0,9.0,8.0,20.0,7.0,7.0,15.0,12.0,6.0
salamander,8.0,7.0,11.0,9.0,6.0,8.0,12.0,7.0,7.0,13.0,6.0,5.0,9.0,11.0,7.0,20.0,6.0,14.0,8.0,9.0
schildpad,7.0,6.0,6.0,5.0,7.0,9.0,7.0,6.0,7.0,10.0,8.0,7.0,8.0,16.0,7.0,6.0,20.0,5.0,7.0,16.0
slang,8.0,18.0,16.0,17.0,3.0,6.0,8.0,8.0,5.0,8.0,8.0,6.0,9.0,7.0,15.0,14.0,5.0,20.0,11.0,4.0
varaan,12.0,13.0,10.0,10.0,10.0,8.0,12.0,10.0,8.0,8.0,13.0,8.0,9.0,4.0,12.0,8.0,7.0,11.0,20.0,5.0
waterschildpad,7.0,8.0,8.0,5.0,10.0,9.0,7.0,10.0,7.0,6.0,11.0,6.0,5.0,12.0,6.0,9.0,16.0,4.0,5.0,20.0
