exemplar,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad,python,salamander,schildpad,slang,varaan,waterschildpad
adder,20.0,14.0,18.0,16.0,6.0,8.0,13.0,,,,,,,,18.0,,,,,
alligator,14.0,20.0,15.0,12.0,13.0,11.0,14.0,,,,,,,,14.0,,,,,
boa,18.0,15.0,20.0,18.0,8.0,7.0,15.0,,,,,,,,18.0,,,,,
cobra,16.0,12.0,18.0,20.0,5.0,8.0,13.0,,,,,,,,18.0,,,,,
dinosaurus,6.0,13.0,8.0,5.0,20.0,12.0,12.0,,,,,,,,6.0,,,,,
gekko,8.0,11.0,7.0,8.0,12.0,20.0,17.0,,,,,,,,12.0,,,,,
hagedis,13.0,14.0,15.0,13.0,12.0,17.0,20.0,,,,,,,,12.0,,,,,
hazelworm,,,,,,,,20.0,,,,,,,,,,,,
kaaiman,,,,,,,,,20.0,,,,,,,,,,,
kameleon,,,,,,,,,,20.0,,,,,,,,,,
kikker,,,,,,,,,,,20.0,,,,,,,,,
krokodil,,,,,,,,,,,,20.0,,,,,,,,
leguaan,,,,,,,,,,,,,20.0,,,,,,,
pad,,,,,,,,,,,,,,20.0,,,,,,
python,18.0,14.0,18.0,18.0,6.0,12.0,12.0,,,,,,,,20.0,,,,,
salamander,,,,,,,,,,,,,,,,20.0,,,,
schildpad,,,,,,,,,,,,,,,,,20.0,,,
slang,,,,,,,,,,,,,,,,,,20.0,,
varaan,,,,,,,,,,,,,,,,,,,20.0,
waterschildpad,,,,,,,,,,,,,,,,,,,,20.0
