exemplar,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad,python,salamander,schildpad,slang,varaan,waterschildpad
adder,20.0,12.0,17.0,17.0,8.0,,,,,,,,,,,,,,,
alligator,12.0,20.0,8.0,10.0,13.0,,,,,,,,,,,,,,,
boa,17.0,8.0,20.0,17.0,11.0,,,,,,,,,,,,,,,
cobra,17.0,10.0,17.0,20.0,13.0,,,,,,,,,,,,,,,
dinosaurus,8.0,13.0,11.0,13.0,20.0,,,,,,,,,,,,,,,
gekko,,,,,,20.0,,,,,,,,,,,,,,
hagedis,,,,,,,20.0,,,,,,,,,,,,,
hazelworm,,,,,,,,20.0,,,,,,,,,,,,
kaaiman,,,,,,,,,20.0,,,,,,,,,,,
kameleon,,,,,,,,,,20.0,,,,,,,,,,
kikker,,,,,,,,,,,20.0,,,,,,,,,
krokodil,,,,,,,,,,,,20.0,,,,,,,,
leguaan,,,,,,,,,,,,,20.0,,,,,,,
pad,,,,,,,,,,,,,,20.0,,,,,,
python,,,,,,,,,,,,,,,20.0,,,,,
salamander,,,,,,,,,,,,,,,,20.0,,,,
schildpad,,,,,,,,,,,,,,,,,20.0,,,
slang,,,,,,,,,,,,,,,,,,20.0,,
varaan,,,,,,,,,,,,,,,,,,,20.0,
waterschildpad,,,,,,,,,,,,,,,,,,,,20.0
