exemplar,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad,python,salamander,schildpad,slang,varaan,waterschildpad
adder,20.0,5.0,14.0,17.0,2.0,4.0,9.0,10.0,,,,,,,,,,,,
alligator,5.0,20.0,3.0,6.0,9.0,11.0,8.0,3.0,,,,,,,,,,,,
boa,14.0,3.0,20.0,19.0,5.0,3.0,8.0,6.0,,,,,,,,,,,,
cobra,17.0,6.0,19.0,20.0,1.0,6.0,4.0,8.0,,,,,,,,,,,,
dinosaurus,2.0,9.0,5.0,1.0,20.0,9.0,12.0,2.0,,,,,,,,,,,,
gekko,4.0,11.0,3.0,6.0,9.0,20.0,12.0,3.0,,,,,,,,,,,,
hagedis,9.0,8.0,8.0,4.0,12.0,12.0,20.0,3.0,,,,,,,,,,,,
hazelworm,10.0,3.0,6.0,8.0,2.0,3.0,3.0,20.0,,,,,,,,,,,,
kaaiman,,,,,,,,,20.0,,,,,,,,,,,
kameleon,,,,,,,,,,20.0,,,,,,,,,,
kikker,,,,,,,,,,,20.0,,,,,,,,,
krokodil,,,,,,,,,,,,20.0,,,,,,,,
leguaan,,,,,,,,,,,,,20.0,,,,,,,
pad,,,,,,,,,,,,,,20.0,,,,,,
python,,,,,,,,,,,,,,,20.0,,,,,
salamander,,,,,,,,,,,,,,,,20.0,,,,
schildpad,,,,,,,,,,,,,,,,,20.0,,,
slang,,,,,,,,,,,,,,,,,,20.0,,
varaan,,,,,,,,,,,,,,,,,,,20.0,
waterschildpad,,,,,,,,,,,,,,,,,,,,20.0
