exemplar,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad,python,salamander,schildpad,slang,varaan,waterschildpad
adder,20.0,8.0,19.0,18.0,10.0,11.0,13.0,17.0,11.0,11.0,7.0,9.0,12.0,9.0,19.0,14.0,11.0,19.0,13.0,11.0
alligator,8.0,20.0,13.0,10.0,15.0,11.0,12.0,10.0,18.0,12.0,9.0,19.0,14.0,9.0,13.0,15.0,11.0,14.0,13.0,11.0
boa,19.0,13.0,20.0,19.0,10.0,13.0,13.0,13.0,10.0,10.0,9.0,11.0,9.0,9.0,19.0,12.0,10.0,19.0,10.0,11.0
cobra,18.0,10.0,19.0,20.0,14.0,10.0,7.0,16.0,4.0,2.0,11.0,9.0,13.0,12.0,18.0,13.0,5.0,19.0,8.0,14.0
dinosaurus,10.0,15.0,10.0,14.0,20.0,14.0,15.0,10.0,16.0,11.0,9.0,15.0,15.0,13.0,11.0,15.0,10.0,11.0,17.0,8.0
gekko,11.0,11.0,13.0,10.0,14.0,20.0,13.0,11.0,14.0,15.0,10.0,14.0,14.0,9.0,13.0,12.0,14.0,12.0,13.0,11.0
hagedis,13.0,12.0,13.0,7.0,15.0,13.0,20.0,11.0,14.0,14.0,13.0,14.0,15.0,8.0,8.0,17.0,12.0,11.0,16.0,14.0
hazelworm,17.0,10.0,13.0,16.0,10.0,11.0,11.0,20.0,11.0,11.0,9.0,9.0,12.0,12.0,19.0,15.0,9.0,16.0,10.0,10.0
kaaiman,11.0,18.0,10.0,4.0,16.0,14.0,14.0,11.0,20.0,14.0,11.0,18.0,16.0,10.0,10.0,16.0,11.0,11.0,14.0,3.0
kameleon,11.0,12.0,10.0,2.0,11.0,15.0,14.0,11.0,14.0,20.0,11.0,13.0,16.0,12.0,8.0,15.0,12.0,12.0,15.0,10.0
kikker,7.0,9.0,9.0,11.0,9.0,10.0,13.0,9.0,11.0,11.0,20.0,11.0,10.0,19.0,8.0,10.0,6.0,12.0,11.0,12.0
krokodil,9.0,19.0,11.0,9.0,15.0,14.0,14.0,9.0,18.0,13.0,11.0,20.0,14.0,10.0,13.0,15.0,13.0,13.0,15.0,9.0
leguaan,12.0,14.0,9.0,13.0,15.0,14.0,15.0,12.0,16.0,16.0,10.0,14.0,20.0,11.0,10.0,16.0,8.0,12.0,16.0,11.0
pad,9.0,9.0,9.0,12.0,13.0,9.0,8.0,12.0,10.0,12.0,19.0,10.0,11.0,20.0,3.0,11.0,19.0,11.0,13.0,19.0
python,19.0,13.0,19.0,18.0,11.0,13.0,8.0,19.0,10.0,8.0,8.0,13.0,10.0,3.0,20.0,10.0,11.0,18.0,13.0,13.0
salamander,14.0,15.0,12.0,13.0,15.0,12.0,17.0,15.0,16.0,15.0,10.0,15.0,16.0,11.0,10.0,20.0,14.0,13.0,16.0,14.0
schildpad,11.0,11.0,10.0,5.0,10.0,14.0,12.0,9.0,11.0,12.0,6.0,13.0,8.0,19.0,11.0,14.0,20.0,5.0,14.0,19.0
slang,19.0,14.0,19.0,19.0,11.0,12.0,11.0,16.0,11.0,12.0,12.0,13.0,12.0,11.0,18.0,13.0,5.0,20.0,12.0,8.0
varaan,13.0,13.0,10.0,8.0,17.0,13.0,16.0,10.0,14.0,15.0,11.0,15.0,16.0,13.0,13.0,16.0,14.0,12.0,20.0,14.0
waterschildpad,11.0,11.0,11.0,14.0,8.0,11.0,14.0,10.0,3.0,10.0,12.0,9.0,11.0,19.0,13.0,14.0,19.0,8.0,14.0,20.0
