exemplar,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad,python,salamander,schildpad,slang,varaan,waterschildpad
adder,20.0,4.0,17.0,16.0,2.0,4.0,12.0,17.0,7.0,9.0,12.0,5.0,3.0,15.0,17.0,17.0,4.0,20.0,5.0,10.0
alligator,4.0,20.0,9.0,9.0,16.0,12.0,13.0,2.0,19.0,15.0,6.0,19.0,17.0,12.0,7.0,13.0,12.0,14.0,17.0,13.0
boa,17.0,9.0,20.0,18.0,3.0,8.0,9.0,13.0,8.0,9.0,9.0,9.0,7.0,6.0,19.0,14.0,7.0,20.0,9.0,8.0
cobra,16.0,9.0,18.0,20.0,6.0,9.0,8.0,13.0,6.0,7.0,9.0,9.0,9.0,3.0,17.0,14.0,7.0,20.0,7.0,8.0
dinosaurus,2.0,16.0,3.0,6.0,20.0,10.0,11.0,2.0,16.0,12.0,2.0,14.0,17.0,2.0,3.0,4.0,9.0,4.0,15.0,6.0
gekko,4.0,12.0,8.0,9.0,10.0,20.0,17.0,3.0,14.0,17.0,12.0,14.0,17.0,7.0,7.0,11.0,10.0,5.0,17.0,9.0
hagedis,12.0,13.0,9.0,8.0,11.0,17.0,20.0,14.0,14.0,18.0,12.0,14.0,18.0,4.0,5.0,19.0,9.0,12.0,18.0,10.0
hazelworm,17.0,2.0,13.0,13.0,2.0,3.0,14.0,20.0,2.0,4.0,4.0,2.0,3.0,9.0,12.0,15.0,6.0,17.0,2.0,3.0
kaaiman,7.0,19.0,8.0,6.0,16.0,14.0,14.0,2.0,20.0,16.0,3.0,19.0,17.0,3.0,8.0,16.0,5.0,9.0,16.0,12.0
kameleon,9.0,15.0,9.0,7.0,12.0,17.0,18.0,4.0,16.0,20.0,10.0,16.0,18.0,8.0,11.0,17.0,10.0,9.0,17.0,5.0
kikker,12.0,6.0,9.0,9.0,2.0,12.0,12.0,4.0,3.0,10.0,20.0,9.0,14.0,19.0,3.0,17.0,9.0,9.0,6.0,9.0
krokodil,5.0,19.0,9.0,9.0,14.0,14.0,14.0,2.0,19.0,16.0,9.0,20.0,17.0,3.0,4.0,10.0,4.0,7.0,14.0,12.0
leguaan,3.0,17.0,7.0,9.0,17.0,17.0,18.0,3.0,17.0,18.0,14.0,17.0,20.0,7.0,8.0,11.0,11.0,9.0,18.0,9.0
pad,15.0,12.0,6.0,3.0,2.0,7.0,4.0,9.0,3.0,8.0,19.0,3.0,7.0,20.0,5.0,12.0,12.0,9.0,12.0,8.0
python,17.0,7.0,19.0,17.0,3.0,7.0,5.0,12.0,8.0,11.0,3.0,4.0,8.0,5.0,20.0,13.0,6.0,20.0,8.0,7.0
salamander,17.0,13.0,14.0,14.0,4.0,11.0,19.0,15.0,16.0,17.0,17.0,10.0,11.0,12.0,13.0,20.0,8.0,17.0,14.0,14.0
schildpad,4.0,12.0,7.0,7.0,9.0,10.0,9.0,6.0,5.0,10.0,9.0,4.0,11.0,12.0,6.0,8.0,20.0,3.0,9.0,19.0
slang,20.0,14.0,20.0,20.0,4.0,5.0,12.0,17.0,9.0,9.0,9.0,7.0,9.0,9.0,20.0,17.0,3.0,20.0,9.0,9.0
varaan,5.0,17.0,9.0,7.0,15.0,17.0,18.0,2.0,16.0,17.0,6.0,14.0,18.0,12.0,8.0,14.0,9.0,9.0,20.0,6.0
waterschildpad,10.0,13.0,8.0,8.0,6.0,9.0,10.0,3.0,12.0,5.0,9.0,12.0,9.0,8.0,7.0,14.0,19.0,9.0,6.0,20.0
