exemplar,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,20.0,3.0,1.0,5.0,3.0,2.0,2.0,2.0,2.0,5.0,1.0,4.0,3.0,5.0,1.0,3.0,7.0,2.0,1.0,4.0,15.0,2.0,6.0,2.0,3.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0
bord,3.0,20.0,2.0,6.0,7.0,3.0,9.0,3.0,1.0,3.0,1.0,5.0,8.0,6.0,6.0,1.0,1.0,2.0,2.0,5.0,8.0,5.0,5.0,3.0,1.0,6.0,5.0,2.0,7.0,2.0,1.0,4.0,2.0
broodrooster,1.0,2.0,20.0,2.0,5.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,5.0,10.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0
fles,5.0,6.0,2.0,20.0,1.0,5.0,6.0,2.0,6.0,2.0,4.0,2.0,4.0,6.0,1.0,1.0,1.0,6.0,1.0,3.0,3.0,1.0,3.0,1.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0
fornuis,3.0,7.0,5.0,1.0,20.0,7.0,2.0,5.0,10.0,3.0,4.0,3.0,3.0,4.0,10.0,4.0,1.0,4.0,15.0,9.0,9.0,2.0,2.0,6.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,2.0
frigo,2.0,3.0,2.0,5.0,7.0,20.0,4.0,2.0,1.0,4.0,2.0,4.0,6.0,1.0,7.0,3.0,1.0,1.0,12.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0
glas,2.0,9.0,2.0,6.0,2.0,4.0,20.0,3.0,3.0,3.0,1.0,6.0,6.0,4.0,2.0,3.0,3.0,9.0,3.0,6.0,11.0,1.0,1.0,2.0,1.0,9.0,5.0,1.0,8.0,6.0,1.0,4.0,3.0
handdoek,2.0,3.0,1.0,2.0,5.0,2.0,3.0,20.0,6.0,2.0,2.0,6.0,3.0,1.0,3.0,3.0,1.0,3.0,15.0,3.0,5.0,1.0,2.0,8.0,3.0,2.0,4.0,2.0,1.0,5.0,1.0,2.0,1.0
ketel,2.0,1.0,2.0,6.0,10.0,1.0,3.0,6.0,20.0,2.0,8.0,2.0,2.0,4.0,8.0,3.0,1.0,1.0,9.0,4.0,13.0,5.0,1.0,1.0,2.0,4.0,7.0,1.0,1.0,17.0,1.0,10.0,2.0
klopper,5.0,3.0,1.0,2.0,3.0,4.0,3.0,2.0,2.0,20.0,2.0,8.0,15.0,4.0,5.0,17.0,1.0,2.0,1.0,4.0,3.0,2.0,3.0,5.0,17.0,1.0,8.0,4.0,9.0,1.0,1.0,5.0,3.0
