exemplar,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,20.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,18.0,8.0,19.0,9.0,2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,6.0,,1.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0
bord,18.0,20.0,1.0,1.0,1.0,1.0,20.0,1.0,6.0,1.0,1.0,14.0,16.0,1.0,1.0,11.0,1.0,1.0,1.0,4.0,17.0,1.0,1.0,1.0,,1.0,11.0,1.0,4.0,1.0,1.0,4.0,1.0
broodrooster,1.0,1.0,20.0,1.0,1.0,18.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,10.0,16.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0
fles,1.0,1.0,1.0,20.0,4.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,9.0,1.0,1.0,12.0,8.0,1.0,1.0,1.0,,4.0,1.0,4.0,1.0,11.0,1.0,1.0,1.0
fornuis,1.0,1.0,1.0,4.0,20.0,4.0,1.0,1.0,14.0,17.0,14.0,19.0,1.0,14.0,14.0,17.0,1.0,1.0,19.0,20.0,14.0,1.0,1.0,14.0,,6.0,1.0,2.0,2.0,20.0,1.0,2.0,1.0
frigo,1.0,1.0,18.0,1.0,4.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0
glas,1.0,20.0,1.0,20.0,1.0,1.0,20.0,1.0,14.0,1.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,18.0,1.0,1.0,1.0,,20.0,11.0,4.0,1.0,14.0,1.0,1.0,1.0
handdoek,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,11.0,4.0,1.0,18.0,1.0,1.0,20.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ketel,1.0,6.0,2.0,1.0,14.0,1.0,14.0,9.0,20.0,11.0,1.0,19.0,1.0,1.0,1.0,1.0,1.0,16.0,6.0,14.0,19.0,11.0,1.0,1.0,,3.0,1.0,17.0,1.0,9.0,1.0,14.0,16.0
klopper,1.0,1.0,1.0,1.0,17.0,1.0,1.0,1.0,11.0,20.0,1.0,15.0,12.0,11.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,,1.0,20.0,4.0,8.0,1.0,1.0,11.0,2.0
koffiezet,2.0,1.0,1.0,1.0,14.0,1.0,5.0,1.0,1.0,1.0,20.0,1.0,11.0,4.0,1.0,20.0,1.0,1.0,1.0,4.0,9.0,1.0,1.0,1.0,,18.0,16.0,11.0,1.0,20.0,1.0,1.0,1.0
kom,18.0,14.0,1.0,1.0,19.0,1.0,4.0,1.0,19.0,15.0,1.0,20.0,12.0,1.0,19.0,1.0,1.0,1.0,18.0,19.0,19.0,1.0,1.0,1.0,,3.0,1.0,16.0,1.0,6.0,16.0,16.0,1.0
lepel,8.0,16.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,12.0,11.0,12.0,20.0,20.0,11.0,4.0,1.0,1.0,1.0,20.0,4.0,1.0,4.0,1.0,,1.0,20.0,1.0,20.0,20.0,1.0,11.0,1.0
mes,19.0,1.0,10.0,1.0,14.0,1.0,1.0,1.0,1.0,11.0,4.0,1.0,20.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,20.0,16.0,,6.0,14.0,1.0,1.0,1.0,1.0,1.0,2.0
microgolf,9.0,1.0,16.0,2.0,14.0,14.0,1.0,1.0,1.0,1.0,1.0,19.0,11.0,1.0,20.0,1.0,1.0,1.0,20.0,14.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,19.0,1.0,15.0,1.0
mixer,2.0,11.0,1.0,1.0,17.0,1.0,1.0,14.0,1.0,20.0,20.0,1.0,4.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,5.0,16.0,3.0,4.0,,1.0,17.0,1.0,4.0,14.0,1.0,1.0,16.0
notenkraker,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
onderlegger,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,2.0,1.0,1.0,1.0,4.0,,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
oven,1.0,1.0,11.0,1.0,19.0,15.0,9.0,4.0,6.0,1.0,1.0,18.0,1.0,1.0,20.0,1.0,1.0,1.0,20.0,20.0,1.0,1.0,1.0,4.0,,1.0,1.0,2.0,1.0,19.0,1.0,13.0,1.0
pan,1.0,4.0,1.0,12.0,20.0,1.0,1.0,1.0,14.0,1.0,4.0,19.0,20.0,1.0,14.0,1.0,1.0,2.0,20.0,20.0,10.0,1.0,1.0,11.0,,1.0,1.0,2.0,1.0,3.0,1.0,18.0,1.0
pot,20.0,17.0,1.0,8.0,14.0,1.0,18.0,18.0,19.0,1.0,9.0,19.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,10.0,20.0,1.0,1.0,1.0,,5.0,1.0,20.0,1.0,11.0,4.0,17.0,1.0
