exemplar,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
bord,1.0,20.0,1.0,1.0,4.0,1.0,1.0,1.0,10.0,1.0,1.0,15.0,14.0,9.0,16.0,1.0,1.0,20.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,4.0,9.0,1.0,15.0,1.0,12.0,1.0,1.0
broodrooster,1.0,1.0,20.0,1.0,14.0,1.0,1.0,1.0,8.0,5.0,11.0,1.0,15.0,1.0,6.0,1.0,2.0,1.0,8.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fles,1.0,1.0,1.0,20.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0
fornuis,1.0,4.0,14.0,1.0,20.0,5.0,1.0,1.0,10.0,1.0,10.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,14.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,5.0,1.0
frigo,1.0,1.0,1.0,2.0,5.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
glas,1.0,1.0,1.0,6.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
handdoek,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,16.0,1.0,1.0,1.0,1.0,1.0
ketel,1.0,10.0,8.0,1.0,10.0,1.0,1.0,1.0,20.0,1.0,15.0,1.0,1.0,2.0,16.0,1.0,1.0,9.0,9.0,15.0,10.0,1.0,1.0,1.0,4.0,1.0,10.0,1.0,1.0,1.0,1.0,11.0,9.0
klopper,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,9.0,1.0,15.0,1.0,1.0,1.0,1.0,5.0,1.0
