exemplar,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,20.0,9.0,10.0,2.0,3.0,6.0,4.0,1.0,1.0,10.0,2.0,7.0,1.0,11.0,4.0,7.0,2.0,11.0,7.0,1.0,6.0,1.0,2.0,1.0,2.0,1.0,1.0,6.0,7.0,11.0,1.0,2.0,2.0
bord,9.0,20.0,15.0,7.0,4.0,9.0,9.0,6.0,1.0,11.0,8.0,7.0,1.0,10.0,7.0,1.0,1.0,6.0,9.0,5.0,12.0,3.0,1.0,12.0,4.0,3.0,1.0,2.0,18.0,4.0,1.0,8.0,9.0
broodrooster,10.0,15.0,20.0,2.0,6.0,1.0,1.0,4.0,1.0,10.0,2.0,1.0,1.0,2.0,6.0,1.0,4.0,10.0,1.0,5.0,6.0,1.0,1.0,10.0,1.0,3.0,1.0,1.0,9.0,5.0,2.0,4.0,1.0
fles,2.0,7.0,2.0,20.0,10.0,12.0,13.0,1.0,12.0,6.0,10.0,7.0,13.0,17.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,4.0,10.0,9.0,10.0,1.0,8.0,3.0,9.0,2.0,10.0
fornuis,3.0,4.0,6.0,10.0,20.0,8.0,1.0,1.0,1.0,8.0,2.0,1.0,1.0,1.0,8.0,3.0,2.0,7.0,4.0,1.0,4.0,1.0,1.0,7.0,1.0,3.0,1.0,1.0,8.0,6.0,1.0,8.0,1.0
frigo,6.0,9.0,1.0,12.0,8.0,20.0,1.0,1.0,1.0,3.0,1.0,6.0,3.0,1.0,15.0,9.0,1.0,1.0,9.0,1.0,2.0,1.0,1.0,7.0,5.0,1.0,1.0,5.0,6.0,5.0,1.0,4.0,1.0
glas,4.0,9.0,1.0,13.0,1.0,1.0,20.0,8.0,3.0,6.0,2.0,4.0,9.0,8.0,1.0,1.0,8.0,7.0,1.0,6.0,1.0,14.0,10.0,1.0,9.0,18.0,1.0,3.0,7.0,1.0,10.0,6.0,7.0
handdoek,1.0,6.0,4.0,1.0,1.0,1.0,8.0,20.0,2.0,7.0,2.0,4.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,10.0,3.0,8.0,7.0,5.0,7.0,3.0,2.0,4.0,8.0,4.0,4.0,10.0,1.0
ketel,1.0,1.0,1.0,12.0,1.0,1.0,3.0,2.0,20.0,9.0,8.0,9.0,16.0,9.0,2.0,1.0,4.0,8.0,3.0,1.0,2.0,7.0,2.0,1.0,10.0,4.0,14.0,1.0,8.0,6.0,7.0,3.0,10.0
klopper,10.0,11.0,10.0,6.0,8.0,3.0,6.0,7.0,9.0,20.0,10.0,11.0,9.0,1.0,5.0,8.0,10.0,12.0,9.0,1.0,9.0,2.0,7.0,10.0,4.0,2.0,3.0,2.0,7.0,9.0,4.0,10.0,3.0
koffiezet,2.0,8.0,2.0,10.0,2.0,1.0,2.0,2.0,8.0,10.0,20.0,16.0,9.0,1.0,2.0,6.0,6.0,8.0,1.0,2.0,1.0,4.0,1.0,9.0,1.0,2.0,5.0,8.0,1.0,8.0,1.0,1.0,8.0
kom,7.0,7.0,1.0,7.0,1.0,6.0,4.0,4.0,9.0,11.0,16.0,20.0,7.0,8.0,3.0,3.0,2.0,2.0,7.0,8.0,13.0,1.0,4.0,9.0,5.0,10.0,1.0,1.0,11.0,10.0,1.0,16.0,1.0
lepel,1.0,1.0,1.0,13.0,1.0,3.0,9.0,1.0,16.0,9.0,9.0,7.0,20.0,11.0,2.0,1.0,1.0,10.0,5.0,3.0,7.0,1.0,4.0,3.0,14.0,6.0,19.0,9.0,8.0,8.0,7.0,1.0,10.0
mes,11.0,10.0,2.0,17.0,1.0,1.0,8.0,1.0,9.0,1.0,1.0,8.0,11.0,20.0,8.0,8.0,2.0,1.0,6.0,6.0,9.0,5.0,1.0,1.0,6.0,9.0,2.0,1.0,9.0,2.0,9.0,8.0,11.0
microgolf,4.0,7.0,6.0,2.0,8.0,15.0,1.0,1.0,2.0,5.0,2.0,3.0,2.0,8.0,20.0,12.0,1.0,1.0,7.0,1.0,3.0,5.0,1.0,6.0,2.0,1.0,2.0,2.0,9.0,1.0,1.0,1.0,1.0
mixer,7.0,1.0,1.0,2.0,3.0,9.0,1.0,1.0,1.0,8.0,6.0,3.0,1.0,8.0,12.0,20.0,1.0,5.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,7.0,1.0,6.0,3.0,4.0,5.0,1.0,1.0
notenkraker,2.0,1.0,4.0,1.0,2.0,1.0,8.0,6.0,4.0,10.0,6.0,2.0,1.0,2.0,1.0,1.0,20.0,8.0,6.0,2.0,6.0,5.0,5.0,6.0,1.0,3.0,1.0,1.0,2.0,15.0,2.0,8.0,1.0
onderlegger,11.0,6.0,10.0,2.0,7.0,1.0,7.0,3.0,8.0,12.0,8.0,2.0,10.0,1.0,1.0,5.0,8.0,20.0,13.0,3.0,9.0,5.0,2.0,7.0,1.0,6.0,3.0,1.0,2.0,1.0,4.0,3.0,9.0
oven,7.0,9.0,1.0,1.0,4.0,9.0,1.0,1.0,3.0,9.0,1.0,7.0,5.0,6.0,7.0,2.0,6.0,13.0,20.0,1.0,6.0,2.0,1.0,9.0,4.0,5.0,1.0,7.0,12.0,10.0,1.0,11.0,3.0
pan,1.0,5.0,5.0,3.0,1.0,1.0,6.0,10.0,1.0,1.0,2.0,8.0,3.0,6.0,1.0,4.0,2.0,3.0,1.0,20.0,10.0,9.0,9.0,1.0,1.0,14.0,4.0,1.0,4.0,6.0,3.0,9.0,8.0
pot,6.0,12.0,6.0,5.0,4.0,2.0,1.0,3.0,2.0,9.0,1.0,13.0,7.0,9.0,3.0,1.0,6.0,9.0,6.0,10.0,20.0,5.0,1.0,13.0,9.0,10.0,1.0,6.0,11.0,5.0,1.0,15.0,2.0
rasp,1.0,3.0,1.0,1.0,1.0,1.0,14.0,8.0,7.0,2.0,4.0,1.0,1.0,5.0,5.0,4.0,5.0,5.0,2.0,9.0,5.0,20.0,15.0,1.0,10.0,9.0,1.0,1.0,1.0,2.0,8.0,5.0,8.0
schaar,2.0,1.0,1.0,1.0,1.0,1.0,10.0,7.0,2.0,7.0,1.0,4.0,4.0,1.0,1.0,1.0,5.0,2.0,1.0,9.0,1.0,15.0,20.0,12.0,5.0,9.0,1.0,3.0,4.0,8.0,9.0,3.0,6.0
schort,1.0,12.0,10.0,4.0,7.0,7.0,1.0,5.0,1.0,10.0,9.0,9.0,3.0,1.0,6.0,1.0,6.0,7.0,9.0,1.0,13.0,1.0,12.0,20.0,1.0,4.0,5.0,2.0,10.0,6.0,2.0,9.0,3.0
