exemplar,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,20.0,12.0,1.0,3.0,8.0,1.0,2.0,1.0,11.0,3.0,10.0,9.0,3.0,3.0,6.0,1.0,13.0,3.0,4.0,6.0,2.0,2.0,1.0,5.0,2.0,6.0,2.0,6.0,5.0,14.0,2.0,3.0,5.0
bord,12.0,20.0,7.0,3.0,10.0,3.0,4.0,8.0,3.0,4.0,4.0,4.0,12.0,10.0,6.0,5.0,1.0,1.0,3.0,16.0,9.0,5.0,2.0,5.0,4.0,5.0,8.0,3.0,15.0,10.0,14.0,15.0,6.0
broodrooster,1.0,7.0,20.0,1.0,4.0,6.0,1.0,1.0,8.0,6.0,9.0,6.0,6.0,1.0,4.0,1.0,3.0,2.0,2.0,12.0,7.0,3.0,6.0,3.0,2.0,1.0,5.0,3.0,1.0,3.0,1.0,6.0,5.0
fles,3.0,3.0,1.0,20.0,1.0,4.0,10.0,6.0,10.0,4.0,15.0,12.0,2.0,1.0,1.0,5.0,4.0,5.0,3.0,10.0,10.0,3.0,3.0,1.0,7.0,7.0,5.0,1.0,5.0,3.0,3.0,5.0,9.0
fornuis,8.0,10.0,4.0,1.0,20.0,10.0,6.0,5.0,5.0,8.0,8.0,12.0,11.0,6.0,6.0,5.0,9.0,1.0,6.0,10.0,4.0,2.0,1.0,1.0,8.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0
frigo,1.0,3.0,6.0,4.0,10.0,20.0,3.0,3.0,2.0,4.0,1.0,3.0,9.0,14.0,5.0,5.0,6.0,2.0,1.0,1.0,8.0,10.0,5.0,2.0,2.0,6.0,1.0,4.0,1.0,9.0,7.0,12.0,3.0
glas,2.0,4.0,1.0,10.0,6.0,3.0,20.0,1.0,3.0,8.0,9.0,1.0,10.0,4.0,1.0,5.0,3.0,15.0,1.0,6.0,2.0,1.0,14.0,9.0,3.0,17.0,6.0,1.0,8.0,6.0,1.0,2.0,5.0
handdoek,1.0,8.0,1.0,6.0,5.0,3.0,1.0,20.0,12.0,12.0,4.0,1.0,4.0,8.0,13.0,1.0,1.0,7.0,5.0,5.0,5.0,14.0,1.0,2.0,1.0,5.0,6.0,6.0,5.0,8.0,12.0,1.0,5.0
ketel,11.0,3.0,8.0,10.0,5.0,2.0,3.0,12.0,20.0,5.0,11.0,4.0,12.0,5.0,5.0,5.0,1.0,9.0,1.0,3.0,2.0,7.0,8.0,4.0,12.0,8.0,4.0,2.0,4.0,9.0,9.0,4.0,1.0
klopper,3.0,4.0,6.0,4.0,8.0,4.0,8.0,12.0,5.0,20.0,1.0,4.0,4.0,8.0,5.0,18.0,14.0,6.0,3.0,17.0,5.0,5.0,1.0,10.0,18.0,12.0,8.0,2.0,16.0,12.0,1.0,3.0,8.0
koffiezet,10.0,4.0,9.0,15.0,8.0,1.0,9.0,4.0,11.0,1.0,20.0,5.0,8.0,4.0,9.0,4.0,5.0,5.0,8.0,2.0,9.0,3.0,4.0,9.0,10.0,7.0,4.0,9.0,4.0,3.0,3.0,2.0,2.0
kom,9.0,4.0,6.0,12.0,12.0,3.0,1.0,1.0,4.0,4.0,5.0,20.0,2.0,1.0,3.0,4.0,1.0,8.0,2.0,5.0,18.0,1.0,1.0,4.0,8.0,5.0,6.0,15.0,5.0,3.0,13.0,18.0,4.0
lepel,3.0,12.0,6.0,2.0,11.0,9.0,10.0,4.0,12.0,4.0,8.0,2.0,20.0,11.0,1.0,4.0,4.0,9.0,5.0,12.0,15.0,4.0,4.0,3.0,8.0,2.0,18.0,4.0,11.0,3.0,3.0,13.0,13.0
mes,3.0,10.0,1.0,1.0,6.0,14.0,4.0,8.0,5.0,8.0,4.0,1.0,11.0,20.0,5.0,6.0,14.0,2.0,3.0,11.0,4.0,4.0,7.0,5.0,12.0,3.0,8.0,6.0,3.0,1.0,11.0,1.0,4.0
microgolf,6.0,6.0,4.0,1.0,6.0,5.0,1.0,13.0,5.0,5.0,9.0,3.0,1.0,5.0,20.0,2.0,3.0,5.0,14.0,6.0,11.0,6.0,5.0,1.0,3.0,8.0,5.0,1.0,7.0,12.0,8.0,8.0,5.0
mixer,1.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,18.0,4.0,4.0,4.0,6.0,2.0,20.0,1.0,3.0,3.0,3.0,12.0,1.0,5.0,1.0,12.0,1.0,8.0,5.0,12.0,1.0,1.0,8.0,2.0
notenkraker,13.0,1.0,3.0,4.0,9.0,6.0,3.0,1.0,1.0,14.0,5.0,1.0,4.0,14.0,3.0,1.0,20.0,5.0,3.0,8.0,12.0,8.0,13.0,12.0,1.0,8.0,9.0,1.0,3.0,7.0,7.0,1.0,1.0
onderlegger,3.0,1.0,2.0,5.0,1.0,2.0,15.0,7.0,9.0,6.0,5.0,8.0,9.0,2.0,5.0,3.0,5.0,20.0,1.0,6.0,15.0,2.0,3.0,6.0,3.0,15.0,1.0,1.0,5.0,1.0,12.0,5.0,7.0
oven,4.0,3.0,2.0,3.0,6.0,1.0,1.0,5.0,1.0,3.0,8.0,2.0,5.0,3.0,14.0,3.0,3.0,1.0,20.0,6.0,5.0,1.0,12.0,5.0,2.0,1.0,3.0,9.0,4.0,9.0,13.0,10.0,1.0
pan,6.0,16.0,12.0,10.0,10.0,1.0,6.0,5.0,3.0,17.0,2.0,5.0,12.0,11.0,6.0,3.0,8.0,6.0,6.0,20.0,8.0,13.0,5.0,6.0,11.0,1.0,1.0,8.0,5.0,15.0,7.0,12.0,11.0
pot,2.0,9.0,7.0,10.0,4.0,8.0,2.0,5.0,2.0,5.0,9.0,18.0,15.0,4.0,11.0,12.0,12.0,15.0,5.0,8.0,20.0,9.0,3.0,8.0,8.0,4.0,3.0,5.0,2.0,11.0,2.0,16.0,4.0
rasp,2.0,5.0,3.0,3.0,2.0,10.0,1.0,14.0,7.0,5.0,3.0,1.0,4.0,4.0,6.0,1.0,8.0,2.0,1.0,13.0,9.0,20.0,15.0,4.0,11.0,2.0,5.0,3.0,10.0,1.0,5.0,1.0,3.0
schaar,1.0,2.0,6.0,3.0,1.0,5.0,14.0,1.0,8.0,1.0,4.0,1.0,4.0,7.0,5.0,5.0,13.0,3.0,12.0,5.0,3.0,15.0,20.0,2.0,1.0,5.0,11.0,3.0,13.0,2.0,1.0,2.0,1.0
schort,5.0,5.0,3.0,1.0,1.0,2.0,9.0,2.0,4.0,10.0,9.0,4.0,3.0,5.0,1.0,1.0,12.0,6.0,5.0,6.0,8.0,4.0,2.0,20.0,4.0,5.0,5.0,2.0,4.0,14.0,9.0,8.0,1.0
spatel,2.0,4.0,2.0,7.0,8.0,2.0,3.0,1.0,12.0,18.0,10.0,8.0,8.0,12.0,3.0,12.0,1.0,3.0,2.0,11.0,8.0,11.0,1.0,4.0,20.0,4.0,6.0,11.0,5.0,7.0,8.0,10.0,4.0
tas,6.0,5.0,1.0,7.0,3.0,6.0,17.0,5.0,8.0,12.0,7.0,5.0,2.0,3.0,8.0,1.0,8.0,15.0,1.0,1.0,4.0,2.0,5.0,5.0,4.0,20.0,12.0,7.0,1.0,1.0,3.0,3.0,5.0
