feature,freq
Eddy Wally zingt erover,7
acteert,6
arresteert mensen,4
babbelt graag,4
"bakt brood, koeken, taart",16
bedeelt de post,20
bedient de mensen,9
behandelt patiënten,4
behandelt spieren,7
beheert de agenda van de baas,5
behoort tot een politieke partij,8
bepaalt de straf,10
bereidt eten,17
bereidt medicijnen,11
bereidt vlees,7
berekent vanalles,8
bestrijdt de misdaad,4
bestudeert het menselijk gedrag,4
bestuurt een vliegtuig,13
bestuurt het land,4
bestuurt vuilniswagen,5
bijgestaan door jury,4
blust het vuur,20
boort,10
brengt eten en drinken,16
controleert het gebit,5
deelt boetes uit,12
doet administratief werk,5
doet de boekhouding,8
doet je pijn,11
doet klachten verdwijnen,5
doet onderzoek,11
doet veel papierwerk,7
doet vondsten,7
doet zwaar werk,12
draagt een bakkersmuts,4
draagt een blauw uniform,15
draagt een fluo pak,7
draagt een helm,15
draagt een hoed,10
draagt een kepie,6
draagt een koksmuts,7
draagt een kostuum,18
draagt een monddoekje,4
draagt een oranje pak,4
draagt een overall,9
draagt een pak,5
draagt een pet,13
draagt een schort,15
draagt een toga,22
draagt een uniform,48
draagt een witte jas,75
draagt een zwart kleed,8
draagt handschoenen,6
draagt hoge hakken,6
draagt laarzen,4
draagt speciale kledij,10
droeg vroeger een pruik,8
eet graag,9
er bestaan televisieprogramma's over,9
er is een eerste minister,5
er is er één in elk dorp,4
er zijn er in Hollywood,6
er zijn er te weinig,4
er zijn verschillende soorten,9
gaat door weer en wind,5
gaat vaak naar Egypte,4
gaat vaak naar het buitenland,7
gaat vreemd met getrouwde vrouwen,4
gebruikt allerlei instrumenten,13
gebruikt buizen,4
gebruikt een borsteltje,4
gebruikt een brandweerslang,5
gebruikt een computer,6
gebruikt een ladder,6
gebruikt krijt,4
gebruikt messen,14
gebruikt potten en pannen,5
gebruikt water,9
geeft advies,6
geeft bewegingsoefeningen,9
geeft huiswerk,5
geeft je een beugel,4
geeft les,17
geeft massages,13
geeft raad,6
geeft soms les,5
geeft spuitjes,13
geeft uitleg,5
geeft veiligheidsinstructies,12
geneest dieren,9
geneest mensen,15
graaft oude dingen op,16
