feature,freq
Harley Davidson is een merk,4
behoort tot bedrijf,9
behoort tot openbaar vervoer,20
bestaat al lang,12
bestaat in verschillende formaten,15
bestaat in verschillende kleuren,60
bestaat in verschillende kleuren en verschillende vormen,4
bestaat in verschillende merken,13
bestaat in verschillende modellen,8
bestaat in verschillende soorten,17
bestaat in verschillende vormen,9
bestuurder draagt helm,22
bestuurder draagt leren kleding,6
bestuurder is zwakke weggebruiker,4
chauffeurs zitten lange tijd achter stuur,4
dient om mee te rijden,49
drijft op water,11
er is veel plaats in,6
er is weinig plaats,4
er komt rook uit,5
er komt vuur uit onderaan,5
er staat reclame op,28
gaat snel,88
gaat tot op grote diepte,4
gaat traag,31
gebruikt door de kerstman,14
gebruikt door mannen,4
gemaakt uit hout,41
gemaakt uit metaal,23
glijdt op sneeuw,6
glijdt van helling,4
heeft 1ste en 2de klasse,9
heeft 2 of 4 wielen,5
heeft 2 wielen,70
heeft 4 wielen,69
heeft 4x4 aandrijving,9
heeft aanhangwagen,7
heeft automatische deuren,6
heeft banden,6
heeft benzinegeur,4
heeft deuren,5
heeft dikke banden,9
heeft een anker,5
heeft een bed,5
heeft een bel,16
heeft een bordje 'TAXI' op auto,8
heeft een brander,4
heeft een cabine,4
heeft een chauffeur,35
heeft een claxon,5
heeft een conducteur,11
heeft een dak of geen dak,5
heeft een dode hoek,8
heeft een donkere kleur,5
heeft een groot vermogen,7
heeft een keuken,7
heeft een laadruimte,10
heeft een mand,13
heeft een motor,60
heeft een opvallende kleur,4
heeft een periscoop,7
heeft een rem,23
heeft een rem achteraan,4
heeft een reservewiel achteraan,9
heeft een rieten mand,5
heeft een roer,6
heeft een slaapplaats,5
heeft een snelheidsbeperking,4
heeft een staart,4
heeft een stuur,52
heeft een tachograaf,4
heeft een zadel,16
heeft een zeil,9
heeft een zware motor,4
heeft elektrische leidingen bovenaan,4
heeft felle kleuren,5
heeft geen dak,7
heeft geen motor,5
heeft grote banden,8
heeft grote wielen,11
heeft ijzer onderaan,4
heeft kleine ramen,4
heeft kleine wielen,8
heeft lichten,11
heeft meestal een cruise-control-systeem (automatische piloot),5
heeft minstens 4 wielen,15
heeft palen om je vast te houden,5
heeft pedalen,16
heeft propeller,6
heeft ramen,4
heeft rokers- en niet-rokersruimtes,4
heeft schuifdeuren,7
heeft stinkende uitlaatgassen,6
heeft versnellingen,5
heeft vleugels,9
heeft voorrang in het verkeer,9
heeft wagons,14
heeft wielen,62
heeft zandzakjes,6
heeft zitjes,24
helm dragen is verplicht,17
het gebruiken geeft een kick,4
het gebruiken is leuk,12
het is er druk,6
het is er meestal warm in,4
het is in de mode,13
het is moeilijk om het te leren gebruiken,4
het oogt stoer,7
het weegt veel,18
is bedrukt met de naam van bedrijf,4
is bemand,4
is bruin,6
is comfortabel,5
is cool,4
is duur,57
is een auto,21
is een boot,8
is een gemotoriseerde fiets,5
is een huis op wielen,4
is een huisje,4
is een plank,5
is een plank op wielen,6
is een synoniem voor ar,4
is een technologische hoogstandje,4
is een transportmiddel,130
is een transportmiddel op water,6
is een tv-programma,6
is een voertuig,64
is een vrachtwagen,7
is een wagen,5
is geel,18
is geliefd bij Nederlanders,6
is gemaakt van hout of metaal,4
is gemaakt van staal,4
is geschilderd,7
is gevaarlijk,41
is gevaarlijk in het verkeer,6
is gevuld met hete lucht,19
is gezellig,4
is goedkoop,7
is grijs,4
is groen,8
is groot,74
is groot en zwaar,5
is groot of klein,7
is groter dan een auto,13
is handig,9
is handig om files te vermijden,4
is hoog,9
is klein,10
is kleiner dan een vrachtwagen,5
is lang,9
is langwerpig,13
is milieuvervuilend,30
is milieuvriendelijk,7
is moeilijk te besturen,5
is mooi,8
is ontspannend,7
is ovaal,7
is rechthoekig,4
is romantisch,5
is sneller dan een fiets,9
is speelgoed,24
is stevig,7
is trager dan een auto,5
is vaak te laat,4
is van Amerikaanse oorsprong,6
is van De Lijn,11
is van ijzer,16
is vermoeiend om te gebruiken,6
is voor 1 persoon,6
is voor 2 personen,9
is voor het plezier,6
is voor meerdere personen,38
is voor minstens 1 persoon,4
is voor weinig personen,5
is vuil,6
is wit,16
is zwaar,5
is zwart,7
je kan er iemand mee doden,4
je kan er kunstjes mee doen,5
je kan er mee vallen,4
je kan er ziek op worden,7
je kan erin wonen,12
je kan het bestellen door ernaar te bellen,5
je kan je ermee verwonden,4
je moet ervoor betalen,16
je moet met 1 voet afduwen om vooruit te komen,6
je moet niet trappen,4
je moet rechtstaan,6
je moet trappen,5
je moet zitten,13
je rijdt ermee op het fietspad,7
je staat met 1 been op de plank,4
je ziet het in Brugge,5
je ziet het in de zee,7
je ziet het in grootsteden,18
je ziet het niet vaak,5
je ziet het vooral 's nachts,5
je ziet het vooral in de stad,14
je zit er hoger in dan in een auto,5
kan aan een auto gekoppeld worden,12
kan glijden,6
kan in de file staan,5
kan luxueus zijn,6
kan neerstorten,15
kan ontploffen,11
kan op moeilijke wegen rijden,4
kan statussymbool zijn,5
kan stoom produceren,4
kan zinken,9
komt vaak voor in films,8
komt voor in Assepoester,4
komt voor in Kuifje,4
lijkt op een fiets,5
lijkt op een trein,6
maakt een brommend geluid,4
maakt een ronkend geluid,9
maakt lawaai,73
maakt veel geluid,9
maakt veel wind,5
mag bestuurd worden vanaf 16 jaar,9
mag bestuurd worden vanaf 18 jaar,4
meert aan in een haven,5
produceert uitlaatgassen,9
reed vroeger op stoom,5
rijdt bovengronds,4
rijdt meestal op rechtse baanvak op autosnelweg,8
rijdt ondergronds,19
rijdt op de autosnelweg,11
rijdt op de weg,13
rijdt op een veld,4
rijdt op het land,4
rijdt op rails,44
rijdt personen omver,5
rolt,5
staat op een camping,12
stijgt vertikaal op,4
stinkt,5
stopt aan haltes,10
stopt in een station,14
transporteert goederen,50
transporteert illegalen,5
transporteert kinderen,13
transporteert personen,62
transporteert personen of goederen,17
vaart,10
vaart onder water,15
vaart op water,14
vaart op zee of ander water,4
veel personen vinden het beangstigend,4
verbruikt brandstof,22
verbruikt gas,6
verbruikt kerosine,7
vereist een speciaal rijbewijs,12
vereist geen rijbewijs,16
veroorzaakt files,4
veroorzaakt ongelukken,28
vertrekt op een luchthaven,7
vliegt,43
vliegt hoog in de lucht,10
vliegt in de lucht,21
vliegt laag,4
vuurt torpedo's af,4
werd vroeger gebruikt,14
werkt op benzine,28
werkt op elektriciteit,17
wordt bemand door ruimtevaarders,9
wordt bestuurd door 1 persoon,4
wordt bestuurd door een kapitein,11
wordt bestuurd door een koetsier,6
wordt bestuurd door een machinist,6
wordt bestuurd door een piloot,18
wordt bestuurd door een tramchauffeur,4
