feature,freq
Jo met de banjo,13
Luc Steeno heeft er een liedje over gemaakt,4
Toots Tielemans,12
andere naam: schuiftrompet,6
begeleidt (andere) muziek,17
bespeeld door een drummer,9
bespeeld door een organist,8
bespeeld met plectrum,10
bespeeld tijdens concerten,23
bespeelt men staande,5
bestaat al lang,4
bestaat in verschillende formaten,9
bestaat in verschillende groottes,8
bestaat in verschillende kleuren,20
bestaat in verschillende soorten,23
bestaat per twee,4
bestaat uit verschillende delen,10
blinkt,14
brengt sfeer,12
dient om op te slaan,33
dient ook als kinderspeelgoed,7
een voorbeeld is een dwarsfluit,5
er is een vel over gespannen,28
er worden akkoorden op gespeeld,13
er worden muzieknoten gespeeld,21
er worden ritmes op gespeeld,13
er zijn verschillende lengtes van de buisjes,15
geassocieerd met kilt,5
gebruikt bij volksdans,4
gebruikt bij volksmuziek,4
gebruikt in de middeleeuwen,6
gebruikt in de mis,4
gebruikt om iets aan te kondigen,7
geeft een lelijk geluid,9
geeft het ritme aan,15
geeft één enkele klank,9
gemaakt uit hout,131
gemaakt uit metaal,41
geruit,6
hangt aan een koordje,13
heb je veel adem voor nodig,4
heb je veel oefening voor nodig,7
heeft Belgische uitvinder,4
heeft belletjes rondom,8
heeft een complexe vorm,5
heeft een diepe klank,4
heeft een dof geluid,5
heeft een hals,5
heeft een handvat,5
heeft een klankbeker,9
heeft een klankkast,28
heeft een klavier,6
heeft een klep,21
heeft een luchtzak,13
heeft een mondstuk,28
heeft een mooi geluid,45
heeft een riem om het te dragen,5
heeft een rietje,14
heeft een schelle klank,18
heeft een warme klank,8
heeft een zacht geluid,10
heeft gaatjes,37
heeft pedalen,23
heeft pijpen,31
heeft snaren,127
heeft stemsleutels,7
heeft toetsen,67
heeft trommels,7
heeft twee klavieren,5
heeft veel knopjes,20
heeft vleugels,7
heeft witte en zwarte toetsen,22
heeft witte toetsen,5
heeft zwarte toetsen,4
heldere klank,6
het weegt niet veel,5
is Mexicaans,4
is bespeelbaar,6
is bruin,49
is cilindervormig,6
is driehoekig,22
is duur,27
is een blaasinstrument,78
is een deel van een drumstel,12
is een deel van percussie/slagwerk,10
is een deel van vioolfamilie,4
is een fluitinstrument,13
is een houtblazer,14
is een instrument van de Griekse god Pan,9
is een klassiek instrument,19
is een koperblazer,17
is een moeilijk instrument,46
is een muziekinstrument,316
is een oud instrument,23
is een populair instrument,11
is een slaginstrument,13
is een snaarinstrument,23
is een soort piano,11
is een soort viool,7
is een strijkinstrument,19
is een vaste factor in een band,5
is een voorloper van piano,5
is eenvoudig te bespelen,27
is familie van de gitaar,15
is gemaakt van bamboe,10
is glad,5
is goedkoop,7
is goudkleurig,38
is groot,77
is handig te vervoeren,8
is hard,7
is hol,6
is klein,44
is lang,9
is langwerpig,21
is log,4
is luid,18
is melodieus,4
is mooi,12
is ontspannend,4
is rechthoekig,6
is rond,46
is sierlijk,5
is te koop in een muziekwinkel,5
is van ijzer,7
is van koper,33
is voor stoere kerels,5
is vrij onbekend,6
is wit en zwart,4
is zeldzaam,8
is zilverkleurig,16
is zuiders,4
is zwaar,17
is zwart,20
je kan er liedjes op spelen,6
je kan er verschillende noten mee spelen,4
je kan het leren in een muziekschool,35
je moet er noten voor kunnen lezen,24
je moet erop blazen,75
je moet goede longen hebben,8
je moet partituren lezen,12
kan akoestisch zijn,6
kan cimbalen hebben,9
kan elektronisch zijn,32
kan je (open)trekken en (dicht)duwen,9
kan je op spelen,7
kan op getokkeld worden,7
kan vals klinken,12
kan verbonden zijn aan een versterker,4
kan verschillende instrumenten nadoen,9
kan verschillende tonen tegelijk voortbrengen,9
klassieke muziek,10
klinkt fel,11
klinkt laag,26
klinkt nasaal,4
komt uit Schotland,20
komt voor in een fanfare,42
komt voor in een koor,5
komt voor in een orkest,146
komt voor in indianencultuur,5
komt voor in veel (muziek)groepjes,31
lijkt op piano,11
maakt basgeluiden,6
maakt een apart geluid,9
maakt een scherp geluid,10
maakt geluid,49
maakt hoge geluiden,22
maakt lawaai,44
maakt muziek,140
maakt rustgevende muziek,6
maakt verschillende geluiden,8
moet gestemd worden,18
moet je aan de lippen houden,6
moet je dwars houden,4
moet je leren bespelen,23
moet ondersteund worden,5
rond de nek/schouders hangen,15
ruikt neutraal,5
staat vaak op piekje,6
trillingen brengen het geluid voort,5
uitgevonden door Adolphe Sax,6
werd bespeeld door Mozart,10
werkt met een schuifsysteem,6
werkt met lucht,8
wordt al zittend bespeeld,8
wordt bespeeld door muzikant,11
wordt bespeeld in een harmonie,16
wordt bespeeld met de mond,9
wordt bespeeld met een strijkstok,31
wordt bespeeld met stok/stokken,54
wordt bespeeld met vingers,26
wordt door één persoon bespeeld,15
wordt gebruikt bij rockmuziek,4
wordt gebruikt in folkmuziek,7
wordt gebruikt in traditionele muziek,4
wordt gebruikt op feestjes,5
wordt gebruikt voor jazz-muziek,31
wordt gebruikt voor popmuziek,10
wordt gecombineerd met andere instrumenten,7
wordt gespeeld bij de zigeuners,9
wordt in een kist opgeborgen,9
wordt in veel muziekgenres gebruikt,5
wordt meestal bespeeld door mannen,9
wordt met de handen bespeeld,16
wordt met twee handen bespeeld,5
wordt ook gebruikt door scheidsrechters,4
wordt solo gebruikt,5
wordt soms gebruikt om zang te begeleiden,4
wordt vaak bespeeld in een kerk,26
wordt vaak gebruikt aan het kampvuur,14
wordt vaak gebruikt bij blues,7
wordt vaak gebruikt door straatmuzikanten,6
wordt vooral bespeeld door meisjes,5
wordt vooral bespeeld door oudere mensen,5
wordt weinig bespeeld,27
ze spelen het op straat soms,5
zowel groot als klein,6
zowel handen als voeten worden gebruikt,4
