feature,freq
Ali was een bekend figuur in deze sport,6
België is er goed in,10
Deburgghraeve,5
Henin,4
Merckx,4
Saive,10
Tour de France is een bekende wedstrijd,8
achteraf vindt après-ski plaats,6
ademhaling is belangrijk,4
afstand afleggen,19
afstand wordt gemeten,8
afstoten voor de witte lijn,4
armen en benen bewegen,6
bal gooien,11
bal in ring gooien,7
bal mag niet vallen,6
bal moet opgepompt worden,8
bal om basket te spelen,5
bal opvangen,8
bal toetsen,7
begint met opslag,7
benen gebruiken,4
benen kunnen breken,4
benen scheren,4
beoefend door gespierde mannen,5
beoefend door magere mensen,5
bergaf glijden,4
bestaat in elk land,6
bestaat in verschillende klassen,7
bestaat in verschillende soorten: klassiek en jazz,8
bestaat uit een aantal rondes,7
bestaat uit een aantal sets,12
centraal staat een net,8
ceulemans,4
clijsters,7
de koning is de belangrijkste figuur,6
de koningin is de sterkste figuur,6
de manier van scoren heet 'touchdown',4
de spelers dragen een helm,19
de spelers dragen een helm met gaas,10
de spelers dragen een kimono,17
de spelers dragen een korte broek,5
de topsporters verdienen er veel geld mee,4
de trampoline wordt veel gebruikt,6
de vissen worden meestal teruggezet,8
de zeilen bestaan in verschillende soorten,15
doel is om bal in gaten te spelen,10
doel is om de koning van de tegenstander schaakmat te zetten,11
doel is om de meeste hoeveelheid vis te vangen,7
doel is om zo ver mogelijk te gooien,8
doel is om zo ver mogelijk te springen,5
doet zweten,12
dribbelen mag,6
duurt 90 minuten,4
duurt lang,5
een ploeg bestaat uit elf spelers,14
een scheidsrechter superviseert het spel,23
een stijl is jumping,4
een variant is minigolf,4
eerst aanloop nemen,17
eindigt bij knock out,12
elk team heeft een doel,22
elk team heeft een doelman,8
er hoort een mode bij,4
er kan veel geld mee worden verdiend,8
er kunnen prijzen mee gewonnen worden,5
er werden films over gemaakt,7
er worden optredens van gegeven,5
er wordt aas bij gebruikt,18
gaat om snelheid,7
gaat snel,23
gaat soms gepaard met bloed,5
gaat soms gepaard met dopinggebruik,10
gaat traag,8
gebeurt in skilanden als Oostenrijk en Zwitserland,4
gebeurt met de voeten,4
gebeurt op vakantie,10
gebeurt één tegen één,8
geeft een kick,5
gokken,7
handen gebruiken,7
heeft een eigen terminologie,13
heeft een pticher,4
heeft een specifiek puntensysteem,8
heeft houdgrepen,10
heeft lopers,4
heeft spelregels,22
heeft veel media-aandacht,4
heeft verschillende accessoires,6
heeft verschillende disciplines,6
heeft verschillende gewichtsklassen,6
heeft verschillende kleuren van gordel volgens niveau,20
heeft verschillende stijlen,21
het balletje maakt een tikkend geluid,5
het record is rond de acht meter,4
homerun maken,8
iedereen kan het,4
in een zandbak springen,10
is actief,6
is afkomstig van de Oude Grieken,4
is agressief,10
is duur,18
is een activiteit,4
is een balsport,17
is een cafésport,5
is een dansvorm,15
is een deel van triatlon,4
is een denksport,7
is een discipline binnen de atletieksport,30
is een fysieke activiteit,4
is een gevechtsport,27
is een gezelschapspel,7
is een hobby,17
is een individuele sport,9
is een intensieve sport,4
is een manier om zich te verplaatsen,5
is een olympische discipline,79
is een ploegsport,46
is een rustige sport,4
is een ruwe sport,18
is een spel,24
is een sport,264
is een sport met acrobatie,9
is een watersport,8
is een werkwoord,7
is eeuwen oud,14
is elegant,17
is elitair,9
is geen olympische discipline,5
is gevaarlijk,18
is gewelddadig,10
is gezond,23
is goed voor de conditie,12
is hard,12
is koud,7
is leuk,39
is meestal een mannensport,6
is moeilijk,31
is moeilijk om te leren,4
is mooi om te zien,5
is niet leuk,4
is ontspannend,45
is populair,16
is populair bij jonge meisjes,8
is populair in Amerika,36
is populair in België,5
is populair in Groot-Brittannië,4
is rustgevend,6
is saai,13
is tijdrovend,4
is vermoeiend,50
is weinig populair,13
is zwaar,8
kan als competitie of ontspanning beoefend worden,4
kan als professioneel of amateur beoefend worden,4
kan beoefend worden in het bos,4
kan beoefend worden met computer,13
kan binnen en buiten beoefend worden,20
kan blaren veroorzaken,4
kan buiten worden beoefend,7
kan een beroep zijn,6
kan enkel in water,17
kan gevaarlijk zijn,15
kan in alle weersomstandigheden worden beoefend,4
kan in café worden gespeeld,5
kan in competitie worden beoefend,118
kan in de tuin gespeeld worden,4
kan individueel worden beoefend,6
kan met twee of vier personen gespeeld worden,5
kan met vier spelers worden beoefend,11
kan ook binnen worden beoefend,5
kan op strand beoefend worden,9
kan overal worden beoefend,6
kan pijn aan voeten veroorzaken,4
kan pijn doen indien geraakt door bal,5
kan pijn veroorzaken,11
kan snel gaan,6
kan worden beoefend op zee,4
kan worden gespeeld in clubverband,7
kogel wegstoten,8
komt uit Amerika,20
komt uit Azië,5
komt uit China,4
komt uit Japan,8
komt uit Verenigd Koninkrijk,5
komt voor in televisieuitzending,24
kunnen vallen,7
lang nadenken,8
lijkt op poolen,4
lijkt op tennis,9
lopen,16
men kan verwond geraken,4
met skilift naar boven gaan,7
"minst verre plaats waar je valt, telt",4
moet geleerd worden,9
nat worden,11
niet met bal lopen,4
om jezelf te verdedigen,9
op een bal slaan,8
op tenen staan,4
petje dragen,5
schoolslag is een stijl,4
scoren om te winnen,10
skipak dragen,6
slecht voor bepaalde delen van het lichaam,9
smashen,9
snel kunnen lopen,5
spieren ontwikkelen,10
spitsen,5
sportief zijn,8
springen,8
sprinten,5
stil moeten zijn,8
supporters moedigen de spelers aan,12
tegen bal trappen,6
terrein heeft 'hole' waar bal in moet,4
tijdens de activiteit draagt men een beugel,7
tutu dragen,10
vergt aangepaste kledij,41
vergt discipline,4
vergt een aantal ballen,7
vergt een aantal zeilen die de wind vangen,7
vergt een basketbalring,4
