feature,freq
beschermen je voeten,8
beschermt je oren tegen de kou,4
beschermt je tegen de kou,34
beschermt tegen de regen,24
beschermt tegen de wind,7
beschermt tegen de zon,20
bestaat al lang,11
bestaat in verschillende diktes,4
bestaat in verschillende formaten,4
bestaat in verschillende kleuren,415
bestaat in verschillende maten,159
bestaat in verschillende merken,24
bestaat in verschillende modellen,31
bestaat in verschillende soorten,35
bestaat in verschillende vormen,64
bestaat per twee,11
bestaat uit broek en trui,5
bestaat uit hemd,5
bestaat uit twee delen,13
bestaat uit verschillende delen,4
bestaat uit vest,10
bestaat uit één geheel,14
breit je oma,6
dienen om je handen warm te houden,10
dient om borsten te ondersteunen,7
dient om in de tuin te werken,4
dient om je broek omhoog te houden,15
dient om je te bedekken,4
dient om je te beschermen,17
dient om je warm te houden,29
dient om te gaan wandelen,5
dient om te zonnen,4
doe je 's nachts aan,7
doe je aan aan je handen,7
doe je aan als het koud is,31
doe je aan in je schoenen,6
doe je aan je voeten,29
doe je aan om te gaan lopen,4
doe je aan om te skieën,14
doe je aan om te slapen,26
draag je aan je benen,5
draag je aan je bovenlichaam,6
draag je als het warm is,13
draag je boven t-shirt,5
draag je elke dag,7
draag je in de winter,86
draag je in de zomer,75
draag je met das,12
draag je niet in de zomer,5
draag je om te zwemmen,22
draag je onder een rok,5
draag je onder een trui,4
draag je op je hoofd,52
draag je rond je nek,10
draagt men op kostuum,14
draagt men voor  werk,10
draagt men voor speciale gelegenheden,13
dragen cowboys,6
dragen sporters,4
er horen sportschoenen bij,9
er staan leuke figuurtjes op,4
gebruik je op vakantie,4
gedragen door mannen,77
gedragen door meisjes,49
gedragen door oudere mensen,6
gedragen door travestieten,5
gedragen tijdens sporten,32
geeft warmte,16
geeft zakelijke indruk,4
hang je aan de kapstok,8
hebben geen vingeropeningen,6
hebben hakken,15
hebben zool,7
heeft achteraan sluiting,4
heeft bandjes,6
heeft bijpassende handschoenen,7
heeft bijpassende slip,4
heeft bloemmotief,4
heeft bretellen,6
heeft broek als onderdeel,24
heeft een bijpassende muts,5
heeft een effen kleur,5
heeft een elastiek,5
heeft een gesp,16
heeft een kap,18
heeft een klep,7
heeft een knop,5
heeft een kraag,17
heeft een rits,38
heeft een rolkraag,7
heeft een v-hals,4
heeft figuren,5
heeft gaatjes,15
heeft iedereen,4
heeft knopen,55
heeft korte mouwen,34
heeft korte pijpen,6
heeft lange mouwen,30
heeft lange pijpen,8
heeft mouwen,16
heeft pijpen,4
heeft spaghettibandjes,6
heeft twee bandjes,4
heeft twee mouwen,7
heeft twee pijpen,10
heeft verschillende motiefjes,20
heeft verschillende patronen,9
heeft veters,17
heeft zakken,42
het is in de mode,9
het weegt niet veel,6
houden je voeten warm,16
houdt je hoofd warm,5
is Engels woord,13
is aangenaam,4
is afgewerkt met kant,6
is blauw,28
is breed,4
is bruin,8
is chique,9
is comfortabel,14
is dik,11
is dun,13
is duur,30
is een broek,13
is een kledingstuk,202
is een onderbroek,6
is een veiligheidsriem voor in de auto,6
is een zwembroek voor mannen,4
is er in alle prijsklassen,4
is fris in de zomer,5
is gebreid,14
is gestreept,4
is gezellig,4
is goedkoop,17
is grijs,4
is groen,7
is groot,6
is handig,5
is hygiënisch,4
is kleding,18
is klein,5
is kleurrijk,5
is kort,50
is lang,47
is langwerpig,7
is lelijk,10
is leuk,5
is leuk om dragen,5
is lingerie,6
is luchtig,6
is modieus,7
is moeilijk om te strijken,5
is mooi,27
is niet duur,5
is niet eetbaar,5
is niet sexy,4
is niet waterdicht,5
is nu uit de mode,4
is om buiten te gebruiken,7
is ondergoed,15
is populair,6
is rond,5
is rood,7
is sexy,10
is smal,10
is spannend rond lichaam,4
is stevig,10
is synthetisch,7
is van elastische stof gemaakt,5
is van jeansstof,15
is van katoen,69
is van leer,41
is van lichte stof,4
is van rubber,13
is van stof,100
is van textiel,4
is van vilt,4
is van wol,72
is van zijde,9
is versierd met pluimen,4
is voor alle leeftijden,4
is voor chique gelegenheden,4
is voor plechtige gelegenheden,4
is vrouwelijk,4
is warm,83
is warm in de winter,16
is waterdicht,9
is wit,9
is wit en zwart,9
is zacht,49
is zwart,17
je kan er een riem indoen,5
kan bedrukt zijn met een tekening,14
kan door iedereen gedragen worden,18
kan een dier zijn,11
kan floschkes hebben,4
kan gedragen worden,40
kan gedragen worden als sierraad,8
kan in de wasmachine,9
kan je achterstevoren dragen,5
kan je kopen in een sportwinkel,4
kan je zelf breien,9
kan je zelf maken,9
kan onder andere kledingstukken gedragen worden,4
kan statussymbool zijn,4
kan uit verschillende materialen bestaan,15
kan van verschillende stoffen gemaakt zijn,79
kan verschillende lengtes hebben,23
kan verschillende motiefjes hebben,7
kan verschillende prints hebben,7
komen tot aan de knie,11
koop je in de winkel,80
koop je in een lingeriewinkel,10
koop je in een schoenwinkel,4
kost geld,5
kost veel geld,4
krimpt in de was,4
laat een blote buik zien,4
leg je op de vloer,5
leg je op tafel,8
ligt in de kast,25
mag je niet dragen in de kerk,4
moet dagelijks vervangen worden,4
moet je wassen,30
moet je wassen op dertig graden,4
ruikt naar waspoeder,9
stinkt,13
vervang je elke dag,4
vinden mannen sexy,5
waait weg met de wind,5
werd vooral vroeger gedragen,6
wordt als cadeau gegeven,14
wordt als vrijetijdskleding gedragen,9
wordt door jonge mensen gedragen,9
wordt door jongens gedragen,34
wordt door kinderen gedragen,20
wordt gebruikt in water,4
wordt gebruikt om er netter uit te zien,4
