exemplar,category strength,exemplar strength
badminton,0.007,0.094
ballet,0.000,0.004
baseball,0.000,0.116
basketball,0.011,0.086
billiards,0.000,0.011
boxing,0.000,0.056
chess,0.000,0.004
cycling,0.007,0.041
fencing,0.004,0.112
golfing,0.007,0.052
gymnastics,0.011,0.041
handball,0.004,0.178
horseback riding,0.004,0.047
ice hockey,0.000,0.064
judo,0.000,0.115
long jump,0.000,0.081
rugby,0.000,0.119
running,0.000,0.098
sailing,0.004,0.019
shot-put,0.000,0.107
skiing,0.007,0.007
soccer,0.122,0.052
sport fishing,0.000,0.019
squash,0.007,0.122
surfing,0.000,0.011
swimming,0.059,0.007
table tennis,0.000,0.057
tennis,0.074,0.034
volleyball,0.011,0.161
walking,0.000,0.007
