exemplar,category strength,exemplar strength
alligator,0.007,0.030
blindworm,0.000,0.004
boa,0.000,0.004
caiman,0.000,0.022
chameleon,0.011,0.059
cobra,0.000,0.007
crocodile,0.090,0.019
dinosaur,0.015,0.015
frog,0.026,0.004
gecko,0.004,0.021
iguana,0.000,0.111
lizard,0.116,0.059
monitor lizard,0.011,0.063
python,0.000,0.007
salamander,0.041,0.049
snake,0.127,0.026
toad,0.000,0.000
tortoise,0.004,0.007
turtle,0.000,0.000
viper,0.000,0.011
