exemplar,category strength,exemplar strength
blackbird,0.007,0.248
canary,0.015,0.154
chickadee,0.000,0.261
chicken,0.007,0.019
crow,0.000,0.201
cuckoo,0.000,0.251
dove,0.004,0.093
duck,0.000,0.030
eagle,0.000,0.178
falcon,0.000,0.210
heron,0.000,0.196
magpie,0.004,0.217
ostrich,0.000,0.044
owl,0.000,0.074
parakeet,0.004,0.199
parrot,0.004,0.146
peacock,0.004,0.067
pelican,0.000,0.191
penguin,0.000,0.030
pheasant,0.000,0.144
robin,0.019,0.230
rooster,0.000,0.000
seagull,0.011,0.159
sparrow,0.030,0.222
stork,0.007,0.115
swallow,0.004,0.184
swan,0.000,0.037
turkey,0.000,0.022
vulture,0.000,0.169
woodpecker,0.000,0.207
