exemplar,category strength,exemplar strength
anchovy,0.000,0.120
carp,0.004,0.315
cod,0.015,0.307
dolphin,0.007,0.037
eel,0.000,0.184
flatfish,0.000,0.049
goldfish,0.007,0.011
herring,0.004,0.237
orca,0.004,0.070
pike,0.000,0.296
piranha,0.000,0.200
plaice,0.000,0.268
ray,0.004,0.243
salmon,0.022,0.252
sardine,0.000,0.219
shark,0.007,0.056
sole,0.007,0.056
sperm whale,0.000,0.045
squid,0.000,0.022
stickleback,0.000,0.270
swordfish,0.000,0.044
trout,0.004,0.285
whale,0.004,0.027
