exemplar,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad,python,salamander,schildpad,slang,varaan,waterschildpad
adder,1.0,0.505,0.82,0.77,0.385,0.45999999999999996,0.5700000000000001,0.65,0.5166666666666667,0.4666666666666667,0.4769230769230769,0.49230769230769234,0.5192307692307693,0.6,0.8038461538461539,0.6125,0.4791666666666667,0.9,0.49444444444444446,0.41
alligator,0.505,1.0,0.5275000000000001,0.5475,0.6725,0.5900000000000001,0.5933333333333334,0.4,0.8833333333333334,0.5625,0.5115384615384615,0.9384615384615385,0.6423076923076924,0.5458333333333333,0.6230769230769231,0.5958333333333333,0.575,0.7166666666666667,0.75,0.53
boa,0.82,0.5275000000000001,1.0,0.875,0.4425,0.4166666666666667,0.5766666666666667,0.6153846153846154,0.4916666666666667,0.4916666666666667,0.4653846153846154,0.5692307692307692,0.55,0.5,0.8307692307692308,0.6083333333333333,0.4833333333333333,0.925,0.6055555555555555,0.495
cobra,0.77,0.5475,0.875,1.0,0.4325,0.47333333333333333,0.4966666666666667,0.5692307692307692,0.4875,0.36666666666666664,0.48461538461538456,0.5076923076923077,0.5769230769230769,0.4541666666666667,0.8307692307692308,0.5875,0.4625,0.9541666666666666,0.5111111111111111,0.465
dinosaurus,0.385,0.6725,0.4425,0.4325,1.0,0.5566666666666666,0.7,0.29615384615384616,0.6666666666666667,0.6083333333333333,0.38461538461538464,0.7038461538461538,0.65,0.475,0.4615384615384615,0.5791666666666667,0.5583333333333333,0.4875,0.7444444444444445,0.525
gekko,0.45999999999999996,0.5900000000000001,0.4166666666666667,0.47333333333333333,0.5566666666666666,1.0,0.7866666666666666,0.44230769230769235,0.4916666666666667,0.775,0.5961538461538461,0.55,0.6923076923076923,0.5708333333333333,0.5192307692307693,0.7125,0.4833333333333333,0.55,0.65,0.44000000000000006
hagedis,0.5700000000000001,0.5933333333333334,0.5766666666666667,0.4966666666666667,0.7,0.7866666666666666,1.0,0.5346153846153846,0.6291666666666667,0.7541666666666667,0.6384615384615385,0.6269230769230769,0.7461538461538462,0.5333333333333333,0.5653846153846154,0.7875,0.6,0.5708333333333333,0.75,0.55
hazelworm,0.65,0.4,0.6153846153846154,0.5692307692307692,0.29615384615384616,0.44230769230769235,0.5346153846153846,1.0,0.4,0.4545454545454546,0.425,0.39166666666666666,0.4583333333333333,0.4954545454545454,0.6363636363636364,0.6,0.42727272727272725,0.7045454545454546,0.4666666666666667,0.4
kaaiman,0.5166666666666667,0.8833333333333334,0.4916666666666667,0.4875,0.6666666666666667,0.4916666666666667,0.6291666666666667,0.4,1.0,0.6125,0.4875,0.9083333333333334,0.675,0.45,0.5863636363636363,0.5818181818181818,0.5409090909090909,0.5318181818181819,0.65,0.49444444444444446
kameleon,0.4666666666666667,0.5625,0.4916666666666667,0.36666666666666664,0.6083333333333333,0.775,0.7541666666666667,0.4545454545454546,0.6125,1.0,0.525,0.6083333333333333,0.7416666666666667,0.5136363636363637,0.5181818181818182,0.6909090909090909,0.5863636363636363,0.5954545454545455,0.70625,0.3611111111111111
kikker,0.4769230769230769,0.5115384615384615,0.4653846153846154,0.48461538461538456,0.38461538461538464,0.5961538461538461,0.6384615384615385,0.425,0.4875,0.525,1.0,0.5,0.5576923076923077,0.9,0.4583333333333333,0.6916666666666667,0.575,0.5208333333333333,0.5277777777777778,0.64
krokodil,0.49230769230769234,0.9384615384615385,0.5692307692307692,0.5076923076923077,0.7038461538461538,0.55,0.6269230769230769,0.39166666666666666,0.9083333333333334,0.6083333333333333,0.5,1.0,0.6423076923076924,0.4708333333333333,0.525,0.5791666666666667,0.4958333333333333,0.5083333333333333,0.711111111111111,0.5549999999999999
leguaan,0.5192307692307693,0.6423076923076924,0.55,0.5769230769230769,0.65,0.6923076923076923,0.7461538461538462,0.4583333333333333,0.675,0.7416666666666667,0.5576923076923077,0.6423076923076924,1.0,0.6,0.5875,0.6958333333333333,0.5,0.575,0.7611111111111111,0.55
pad,0.6,0.5458333333333333,0.5,0.4541666666666667,0.475,0.5708333333333333,0.5333333333333333,0.4954545454545454,0.45,0.5136363636363637,0.9,0.4708333333333333,0.6,1.0,0.45,0.6666666666666667,0.5875,0.5625,0.5055555555555555,0.575
python,0.8038461538461539,0.6230769230769231,0.8307692307692308,0.8307692307692308,0.4615384615384615,0.5192307692307693,0.5653846153846154,0.6363636363636364,0.5863636363636363,0.5181818181818182,0.4583333333333333,0.525,0.5875,0.45,1.0,0.5375,0.4666666666666667,0.9041666666666666,0.6,0.4
salamander,0.6125,0.5958333333333333,0.6083333333333333,0.5875,0.5791666666666667,0.7125,0.7875,0.6,0.5818181818181818,0.6909090909090909,0.6916666666666667,0.5791666666666667,0.6958333333333333,0.6666666666666667,0.5375,1.0,0.5583333333333333,0.7,0.611111111111111,0.625
schildpad,0.4791666666666667,0.575,0.4833333333333333,0.4625,0.5583333333333333,0.4833333333333333,0.6,0.42727272727272725,0.5409090909090909,0.5863636363636363,0.575,0.4958333333333333,0.5,0.5875,0.4666666666666667,0.5583333333333333,1.0,0.425,0.5333333333333333,0.925
slang,0.9,0.7166666666666667,0.925,0.9541666666666666,0.4875,0.55,0.5708333333333333,0.7045454545454546,0.5318181818181819,0.5954545454545455,0.5208333333333333,0.5083333333333333,0.575,0.5625,0.9041666666666666,0.7,0.425,1.0,0.538888888888889,0.505
varaan,0.49444444444444446,0.75,0.6055555555555555,0.5111111111111111,0.7444444444444445,0.65,0.75,0.4666666666666667,0.65,0.70625,0.5277777777777778,0.711111111111111,0.7611111111111111,0.5055555555555555,0.6,0.611111111111111,0.5333333333333333,0.538888888888889,1.0,0.4722222222222222
waterschildpad,0.41,0.53,0.495,0.465,0.525,0.44000000000000006,0.55,0.4,0.49444444444444446,0.3611111111111111,0.64,0.5549999999999999,0.55,0.575,0.4,0.625,0.925,0.505,0.4722222222222222,1.0
