exemplar,missing,mean,std,nonmissing
blackbird,0,5.09,1.85,35
canary,0,6.28,1.1,29
chickadee,0,3.31,1.69,32
chicken,0,6.78,0.52,23
crow,0,5.6,1.33,30
cuckoo,0,3.97,1.87,30
dove,0,6.32,1.07,34
duck,0,6.48,1.12,31
eagle,0,5.27,1.77,33
falcon,0,4.91,1.86,32
heron,0,5.23,1.79,30
magpie,0,5.0,1.67,31
ostrich,0,6.4,1.07,30
owl,0,6.33,1.06,30
parakeet,0,5.72,1.42,32
parrot,0,6.56,0.76,32
peacock,0,6.21,1.04,34
pelican,2,5.15,1.65,34
penguin,0,6.45,0.99,31
pheasant,0,5.03,1.83,34
robin,0,5.88,1.39,33
rooster,0,6.26,1.15,31
seagull,0,5.66,1.61,35
sparrow,0,5.91,1.1,33
stork,0,6.3,1.1,33
swallow,0,5.33,1.63,30
swan,1,6.38,1.18,32
turkey,0,5.5,1.39,32
vulture,0,4.45,2.08,29
woodpecker,0,5.18,1.51,33
