exemplar,missing,mean,std,nonmissing
Brussels sprouts,0,6.46,0.85,35
asparagus,0,6.0,1.22,28
beans,0,6.14,1.14,35
beet,1,4.71,1.9,31
black salsify,3,5.22,1.85,27
carrot,0,6.62,0.9,29
cauliflower,0,6.25,1.08,32
celery,0,4.97,1.64,32
chervil,1,3.64,1.83,33
corn,0,6.35,0.88,34
cucumber,0,6.68,0.53,34
eggplant,0,5.14,1.88,28
endive,0,6.53,0.84,32
garlic,0,5.84,1.29,31
gherkins,0,6.42,0.87,33
leek,0,5.85,1.46,34
lettuce,0,6.21,1.36,33
mushrooms,0,6.41,0.91,32
onions,0,6.44,1.13,32
parsley,0,5.42,1.85,33
peas,0,6.7,0.59,33
pepper,0,6.53,0.72,32
potato,0,6.4,0.97,30
radish,0,5.61,1.36,36
red cabbage,0,6.21,1.14,33
spinach,0,5.94,1.66,36
tomato,0,6.28,1.17,32
water cress,0,4.48,2.4,33
white cabbage,0,4.72,1.85,36
zucchini,0,5.52,1.43,31
