exemplar,missing,mean,std,nonmissing
accountant,0,4.45,1.99,29
actor,0,5.03,1.8,32
archaeologist,0,4.43,1.81,30
architect,0,4.62,2.02,34
baker,0,5.83,1.46,30
butcher,0,5.55,1.66,29
cook,0,6.09,1.59,33
dentist,0,6.14,1.03,37
doctor,0,6.28,1.3,32
educator,0,4.91,1.63,35
fireman,0,6.1,1.4,31
garbage collector,0,5.87,1.04,30
information scientist,0,4.97,2.11,31
judge,0,5.52,1.58,33
lawyer,0,5.1,1.81,31
manager,0,5.7,1.46,27
minister,0,4.58,1.85,33
pharmacist,0,5.79,1.67,34
physiotherapist,1,4.15,2.07,27
pilot,0,5.73,1.26,30
plumber,1,5.52,1.62,33
police officer,0,6.36,0.9,33
postman,0,6.39,0.95,31
psychologist,0,5.61,1.68,33
secretary,0,5.9,1.29,29
shop-assistant,0,5.77,1.28,30
stallholder,0,5.56,1.41,32
stewardess,0,5.43,1.55,28
teacher,0,6.28,1.25,32
veterinarian,0,4.84,2.13,32
