exemplar,alligator,blindworm,boa,caiman,chameleon,cobra,crocodile,dinosaur,frog,gecko,iguana,lizard,monitor lizard,python,salamander,snake,toad,tortoise,turtle,viper
alligator,20.0,10.0,8.0,18.0,13.0,10.0,18.0,13.0,11.0,,15.0,15.0,13.0,8.0,17.0,9.0,11.0,12.0,8.0,12.0
blindworm,10.0,20.0,12.0,13.0,9.0,12.0,10.0,2.0,10.0,,13.0,10.0,3.0,13.0,13.0,16.0,9.0,11.0,10.0,15.0
boa,8.0,12.0,20.0,3.0,9.0,17.0,12.0,11.0,11.0,,5.0,10.0,13.0,17.0,11.0,18.0,7.0,9.0,12.0,17.0
caiman,18.0,13.0,3.0,20.0,10.0,7.0,18.0,10.0,15.0,,14.0,13.0,15.0,8.0,12.0,7.0,9.0,12.0,9.0,12.0
chameleon,13.0,9.0,9.0,10.0,20.0,8.0,5.0,14.0,8.0,,13.0,9.0,14.0,5.0,13.0,13.0,12.0,8.0,8.0,11.0
cobra,10.0,12.0,17.0,7.0,8.0,20.0,7.0,13.0,9.0,,9.0,7.0,7.0,17.0,13.0,17.0,6.0,8.0,11.0,17.0
crocodile,18.0,10.0,12.0,18.0,5.0,7.0,20.0,12.0,10.0,,15.0,17.0,14.0,12.0,15.0,6.0,10.0,11.0,13.0,12.0
dinosaur,13.0,2.0,11.0,10.0,14.0,13.0,12.0,20.0,15.0,,14.0,13.0,12.0,12.0,5.0,8.0,15.0,8.0,13.0,8.0
frog,11.0,10.0,11.0,15.0,8.0,9.0,10.0,15.0,20.0,,14.0,9.0,11.0,10.0,7.0,8.0,18.0,10.0,17.0,13.0
gecko,,,,,,,,,,20.0,,,,,,,,,,
iguana,15.0,13.0,5.0,14.0,13.0,9.0,15.0,14.0,14.0,,20.0,15.0,17.0,11.0,17.0,14.0,15.0,14.0,13.0,12.0
lizard,15.0,10.0,10.0,13.0,9.0,7.0,17.0,13.0,9.0,,15.0,20.0,18.0,12.0,19.0,12.0,10.0,12.0,11.0,14.0
monitor lizard,13.0,3.0,13.0,15.0,14.0,7.0,14.0,12.0,11.0,,17.0,18.0,20.0,9.0,16.0,11.0,12.0,9.0,11.0,9.0
python,8.0,13.0,17.0,8.0,5.0,17.0,12.0,12.0,10.0,,11.0,12.0,9.0,20.0,8.0,17.0,9.0,8.0,12.0,18.0
salamander,17.0,13.0,11.0,12.0,13.0,13.0,15.0,5.0,7.0,,17.0,19.0,16.0,8.0,20.0,12.0,13.0,13.0,16.0,11.0
snake,9.0,16.0,18.0,7.0,13.0,17.0,6.0,8.0,8.0,,14.0,12.0,11.0,17.0,12.0,20.0,10.0,8.0,9.0,17.0
toad,11.0,9.0,7.0,9.0,12.0,6.0,10.0,15.0,18.0,,15.0,10.0,12.0,9.0,13.0,10.0,20.0,17.0,17.0,6.0
tortoise,12.0,11.0,9.0,12.0,8.0,8.0,11.0,8.0,10.0,,14.0,12.0,9.0,8.0,13.0,8.0,17.0,20.0,18.0,10.0
turtle,8.0,10.0,12.0,9.0,8.0,11.0,13.0,13.0,17.0,,13.0,11.0,11.0,12.0,16.0,9.0,17.0,18.0,20.0,10.0
viper,12.0,15.0,17.0,12.0,11.0,17.0,12.0,8.0,13.0,,12.0,14.0,9.0,18.0,11.0,17.0,6.0,10.0,10.0,20.0
