exemplar,alligator,blindworm,boa,caiman,chameleon,cobra,crocodile,dinosaur,frog,gecko,iguana,lizard,monitor lizard,python,salamander,snake,toad,tortoise,turtle,viper
alligator,20.0,,15.0,16.0,13.0,12.0,16.0,13.0,11.0,11.0,13.0,14.0,,14.0,13.0,11.0,7.0,9.0,7.0,14.0
blindworm,,20.0,,,,,,,,,,,,1.0,,,,,,
boa,15.0,,20.0,13.0,13.0,18.0,11.0,8.0,8.0,7.0,15.0,15.0,,18.0,9.0,17.0,6.0,10.0,8.0,18.0
caiman,16.0,,13.0,20.0,12.0,12.0,15.0,13.0,11.0,15.0,16.0,15.0,,9.0,17.0,13.0,13.0,11.0,12.0,9.0
chameleon,13.0,,13.0,12.0,20.0,8.0,11.0,11.0,16.0,15.0,11.0,14.0,,11.0,16.0,9.0,10.0,9.0,13.0,15.0
cobra,12.0,,18.0,12.0,8.0,20.0,13.0,5.0,4.0,8.0,12.0,13.0,,18.0,12.0,17.0,6.0,8.0,9.0,16.0
crocodile,16.0,,11.0,15.0,11.0,13.0,20.0,14.0,7.0,13.0,11.0,12.0,,10.0,8.0,9.0,7.0,8.0,12.0,11.0
dinosaur,13.0,,8.0,13.0,11.0,5.0,14.0,20.0,6.0,12.0,11.0,12.0,,6.0,15.0,10.0,12.0,13.0,12.0,6.0
frog,11.0,,8.0,11.0,16.0,4.0,7.0,6.0,20.0,8.0,6.0,11.0,,9.0,11.0,11.0,17.0,11.0,11.0,11.0
gecko,11.0,,7.0,15.0,15.0,8.0,13.0,12.0,8.0,20.0,13.0,17.0,,12.0,17.0,8.0,12.0,12.0,11.0,8.0
iguana,13.0,,15.0,16.0,11.0,12.0,11.0,11.0,6.0,13.0,20.0,13.0,,7.0,17.0,14.0,7.0,12.0,13.0,11.0
lizard,14.0,,15.0,15.0,14.0,13.0,12.0,12.0,11.0,17.0,13.0,20.0,,12.0,17.0,14.0,13.0,7.0,6.0,13.0
monitor lizard,,,,,,,,,,,,,20.0,,,,,,,
python,14.0,1.0,18.0,9.0,11.0,18.0,10.0,6.0,9.0,12.0,7.0,12.0,,20.0,11.0,18.0,6.0,13.0,14.0,18.0
salamander,13.0,,9.0,17.0,16.0,12.0,8.0,15.0,11.0,17.0,17.0,17.0,,11.0,20.0,8.0,13.0,10.0,13.0,12.0
snake,11.0,,17.0,13.0,9.0,17.0,9.0,10.0,11.0,8.0,14.0,14.0,,18.0,8.0,20.0,9.0,13.0,11.0,18.0
toad,7.0,,6.0,13.0,10.0,6.0,7.0,12.0,17.0,12.0,7.0,13.0,,6.0,13.0,9.0,20.0,15.0,6.0,11.0
tortoise,9.0,,10.0,11.0,9.0,8.0,8.0,13.0,11.0,12.0,12.0,7.0,,13.0,10.0,13.0,15.0,20.0,17.0,9.0
turtle,7.0,,8.0,12.0,13.0,9.0,12.0,12.0,11.0,11.0,13.0,6.0,,14.0,13.0,11.0,6.0,17.0,20.0,11.0
viper,14.0,,18.0,9.0,15.0,16.0,11.0,6.0,11.0,8.0,11.0,13.0,,18.0,12.0,18.0,11.0,9.0,11.0,20.0
