exemplar,alligator,blindworm,boa,caiman,chameleon,cobra,crocodile,dinosaur,frog,gecko,iguana,lizard,monitor lizard,python,salamander,snake,toad,tortoise,turtle,viper
alligator,20.0,11.0,16.0,20.0,9.0,16.0,20.0,11.0,14.0,15.0,16.0,12.0,15.0,16.0,3.0,13.0,11.0,17.0,11.0,14.0
blindworm,11.0,20.0,18.0,12.0,13.0,3.0,13.0,12.0,6.0,12.0,5.0,16.0,15.0,10.0,16.0,18.0,11.0,9.0,1.0,8.0
boa,16.0,18.0,20.0,13.0,16.0,20.0,12.0,14.0,11.0,11.0,16.0,11.0,19.0,20.0,14.0,20.0,16.0,13.0,13.0,20.0
caiman,20.0,12.0,13.0,20.0,13.0,16.0,20.0,16.0,15.0,15.0,18.0,15.0,13.0,16.0,2.0,12.0,2.0,15.0,13.0,14.0
chameleon,9.0,13.0,16.0,13.0,20.0,9.0,14.0,15.0,12.0,20.0,19.0,16.0,18.0,13.0,18.0,13.0,9.0,16.0,6.0,11.0
cobra,16.0,3.0,20.0,16.0,9.0,20.0,16.0,12.0,10.0,12.0,15.0,14.0,15.0,20.0,12.0,20.0,13.0,15.0,11.0,20.0
crocodile,20.0,13.0,12.0,20.0,14.0,16.0,20.0,12.0,3.0,8.0,14.0,12.0,19.0,12.0,12.0,14.0,13.0,10.0,14.0,14.0
dinosaur,11.0,12.0,14.0,16.0,15.0,12.0,12.0,20.0,6.0,15.0,18.0,17.0,14.0,13.0,12.0,16.0,14.0,11.0,16.0,15.0
frog,14.0,6.0,11.0,15.0,12.0,10.0,3.0,6.0,20.0,9.0,12.0,16.0,11.0,11.0,14.0,11.0,19.0,6.0,15.0,12.0
gecko,15.0,12.0,11.0,15.0,20.0,12.0,8.0,15.0,9.0,20.0,13.0,19.0,17.0,12.0,15.0,11.0,15.0,13.0,7.0,19.0
iguana,16.0,5.0,16.0,18.0,19.0,15.0,14.0,18.0,12.0,13.0,20.0,19.0,19.0,17.0,14.0,16.0,15.0,12.0,12.0,19.0
lizard,12.0,16.0,11.0,15.0,16.0,14.0,12.0,17.0,16.0,19.0,19.0,20.0,16.0,12.0,19.0,8.0,11.0,16.0,14.0,11.0
monitor lizard,15.0,15.0,19.0,13.0,18.0,15.0,19.0,14.0,11.0,17.0,19.0,16.0,20.0,14.0,12.0,14.0,11.0,15.0,12.0,14.0
python,16.0,10.0,20.0,16.0,13.0,20.0,12.0,13.0,11.0,12.0,17.0,12.0,14.0,20.0,14.0,20.0,7.0,5.0,5.0,20.0
salamander,3.0,16.0,14.0,2.0,18.0,12.0,12.0,12.0,14.0,15.0,14.0,19.0,12.0,14.0,20.0,13.0,16.0,13.0,12.0,12.0
snake,13.0,18.0,20.0,12.0,13.0,20.0,14.0,16.0,11.0,11.0,16.0,8.0,14.0,20.0,13.0,20.0,18.0,5.0,12.0,20.0
toad,11.0,11.0,16.0,2.0,9.0,13.0,13.0,14.0,19.0,15.0,15.0,11.0,11.0,7.0,16.0,18.0,20.0,6.0,3.0,14.0
tortoise,17.0,9.0,13.0,15.0,16.0,15.0,10.0,11.0,6.0,13.0,12.0,16.0,15.0,5.0,13.0,5.0,6.0,20.0,20.0,14.0
turtle,11.0,1.0,13.0,13.0,6.0,11.0,14.0,16.0,15.0,7.0,12.0,14.0,12.0,5.0,12.0,12.0,3.0,20.0,20.0,5.0
viper,14.0,8.0,20.0,14.0,11.0,20.0,14.0,15.0,12.0,19.0,19.0,11.0,14.0,20.0,12.0,20.0,14.0,14.0,5.0,20.0
