exemplar,alligator,blindworm,boa,caiman,chameleon,cobra,crocodile,dinosaur,frog,gecko,iguana,lizard,monitor lizard,python,salamander,snake,toad,tortoise,turtle,viper
alligator,20.0,8.0,13.0,18.0,7.0,13.0,19.0,10.0,14.0,,16.0,12.0,12.0,12.0,11.0,13.0,6.0,10.0,11.0,9.0
blindworm,8.0,20.0,16.0,3.0,5.0,9.0,8.0,1.0,5.0,,10.0,13.0,9.0,10.0,13.0,17.0,8.0,8.0,7.0,17.0
boa,13.0,16.0,20.0,14.0,13.0,18.0,13.0,14.0,9.0,,12.0,11.0,11.0,19.0,11.0,19.0,9.0,8.0,8.0,13.0
caiman,18.0,3.0,14.0,20.0,12.0,11.0,19.0,12.0,7.0,,3.0,11.0,14.0,12.0,13.0,10.0,3.0,12.0,12.0,8.0
chameleon,7.0,5.0,13.0,12.0,20.0,13.0,12.0,3.0,12.0,,15.0,15.0,15.0,11.0,14.0,11.0,5.0,9.0,4.0,6.0
cobra,13.0,9.0,18.0,11.0,13.0,20.0,13.0,3.0,8.0,,13.0,12.0,11.0,18.0,12.0,19.0,6.0,7.0,4.0,14.0
crocodile,19.0,8.0,13.0,19.0,12.0,13.0,20.0,11.0,11.0,,13.0,11.0,11.0,11.0,8.0,11.0,11.0,11.0,9.0,10.0
dinosaur,10.0,1.0,14.0,12.0,3.0,3.0,11.0,20.0,4.0,,9.0,9.0,13.0,9.0,9.0,10.0,3.0,7.0,6.0,1.0
frog,14.0,5.0,9.0,7.0,12.0,8.0,11.0,4.0,20.0,,8.0,9.0,9.0,11.0,11.0,11.0,19.0,14.0,11.0,8.0
gecko,,,,,,,,,,20.0,,,,,,,,,,
iguana,16.0,10.0,12.0,3.0,15.0,13.0,13.0,9.0,8.0,,20.0,15.0,14.0,10.0,16.0,11.0,9.0,16.0,11.0,8.0
lizard,12.0,13.0,11.0,11.0,15.0,12.0,11.0,9.0,9.0,,15.0,20.0,11.0,7.0,16.0,11.0,8.0,11.0,11.0,14.0
monitor lizard,12.0,9.0,11.0,14.0,15.0,11.0,11.0,13.0,9.0,,14.0,11.0,20.0,10.0,14.0,4.0,9.0,11.0,8.0,6.0
python,12.0,10.0,19.0,12.0,11.0,18.0,11.0,9.0,11.0,,10.0,7.0,10.0,20.0,12.0,19.0,9.0,10.0,4.0,15.0
salamander,11.0,13.0,11.0,13.0,14.0,12.0,8.0,9.0,11.0,,16.0,16.0,14.0,12.0,20.0,10.0,8.0,14.0,8.0,14.0
snake,13.0,17.0,19.0,10.0,11.0,19.0,11.0,10.0,11.0,,11.0,11.0,4.0,19.0,10.0,20.0,11.0,8.0,9.0,18.0
toad,6.0,8.0,9.0,3.0,5.0,6.0,11.0,3.0,19.0,,9.0,8.0,9.0,9.0,8.0,11.0,20.0,13.0,16.0,11.0
tortoise,10.0,8.0,8.0,12.0,9.0,7.0,11.0,7.0,14.0,,16.0,11.0,11.0,10.0,14.0,8.0,13.0,20.0,19.0,9.0
turtle,11.0,7.0,8.0,12.0,4.0,4.0,9.0,6.0,11.0,,11.0,11.0,8.0,4.0,8.0,9.0,16.0,19.0,20.0,9.0
viper,9.0,17.0,13.0,8.0,6.0,14.0,10.0,1.0,8.0,,8.0,14.0,6.0,15.0,14.0,18.0,11.0,9.0,9.0,20.0
