exemplar,alligator,blindworm,boa,caiman,chameleon,cobra,crocodile,dinosaur,frog,gecko,iguana,lizard,monitor lizard,python,salamander,snake,toad,tortoise,turtle,viper
alligator,20.0,,10.0,18.0,12.0,5.0,16.0,11.0,11.0,,,11.0,,12.0,11.0,9.0,12.0,8.0,10.0,9.0
blindworm,,20.0,,,,,,,,,,,,,,,,,,
boa,10.0,,20.0,7.0,11.0,15.0,11.0,10.0,11.0,,,11.0,,15.0,11.0,17.0,12.0,11.0,11.0,15.0
caiman,18.0,,7.0,20.0,12.0,11.0,15.0,11.0,11.0,,,11.0,,11.0,12.0,12.0,10.0,10.0,10.0,11.0
chameleon,12.0,,11.0,12.0,20.0,12.0,12.0,10.0,14.0,,,14.0,,14.0,15.0,12.0,11.0,11.0,11.0,11.0
cobra,5.0,,15.0,11.0,12.0,20.0,9.0,10.0,12.0,,,14.0,,15.0,11.0,17.0,10.0,11.0,12.0,16.0
crocodile,16.0,,11.0,15.0,12.0,9.0,20.0,9.0,11.0,,,11.0,,10.0,12.0,13.0,11.0,11.0,12.0,12.0
dinosaur,11.0,,10.0,11.0,10.0,10.0,9.0,20.0,10.0,,,13.0,,5.0,11.0,9.0,11.0,9.0,13.0,10.0
frog,11.0,,11.0,11.0,14.0,12.0,11.0,10.0,20.0,,,8.0,,11.0,9.0,11.0,18.0,8.0,13.0,13.0
gecko,,,,,,,,,,20.0,,,,,,,,,,
iguana,,,,,,,,,,,20.0,,,,,,,,,
lizard,11.0,,11.0,11.0,14.0,14.0,11.0,13.0,8.0,,,20.0,,11.0,16.0,12.0,11.0,9.0,13.0,13.0
monitor lizard,,,,,,,,,,,,,20.0,,,,,,,
python,12.0,,15.0,11.0,14.0,15.0,10.0,5.0,11.0,,,11.0,,20.0,11.0,16.0,14.0,11.0,12.0,15.0
salamander,11.0,,11.0,12.0,15.0,11.0,12.0,11.0,9.0,,,16.0,,11.0,20.0,12.0,11.0,12.0,12.0,13.0
snake,9.0,,17.0,12.0,12.0,17.0,13.0,9.0,11.0,,,12.0,,16.0,12.0,20.0,12.0,12.0,11.0,15.0
toad,12.0,,12.0,10.0,11.0,10.0,11.0,11.0,18.0,,,11.0,,14.0,11.0,12.0,20.0,12.0,11.0,13.0
tortoise,8.0,,11.0,10.0,11.0,11.0,11.0,9.0,8.0,,,9.0,,11.0,12.0,12.0,12.0,20.0,18.0,10.0
turtle,10.0,,11.0,10.0,11.0,12.0,12.0,13.0,13.0,,,13.0,,12.0,12.0,11.0,11.0,18.0,20.0,12.0
viper,9.0,,15.0,11.0,11.0,16.0,12.0,10.0,13.0,,,13.0,,15.0,13.0,15.0,13.0,10.0,12.0,20.0
