exemplar,alligator,blindworm,boa,caiman,chameleon,cobra,crocodile,dinosaur,frog,gecko,iguana,lizard,monitor lizard,python,salamander,snake,toad,tortoise,turtle,viper
alligator,20.0,3.0,3.0,,5.0,6.0,18.0,9.0,5.0,11.0,10.0,8.0,11.0,6.0,11.0,3.0,5.0,6.0,11.0,5.0
blindworm,3.0,20.0,6.0,,2.0,8.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,10.0,3.0,10.0,2.0,5.0,10.0,10.0
boa,3.0,6.0,20.0,,6.0,19.0,5.0,5.0,4.0,3.0,6.0,8.0,5.0,19.0,8.0,20.0,4.0,7.0,6.0,14.0
caiman,,,,20.0,,,,,,,,,,,,,,,,
chameleon,5.0,2.0,6.0,,20.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0,9.0,5.0,9.0,5.0,7.0,5.0,4.0,5.0
cobra,6.0,8.0,19.0,,3.0,20.0,4.0,1.0,4.0,6.0,9.0,4.0,6.0,17.0,9.0,18.0,5.0,6.0,5.0,17.0
crocodile,18.0,3.0,5.0,,4.0,4.0,20.0,10.0,5.0,15.0,11.0,8.0,9.0,5.0,12.0,4.0,7.0,9.0,10.0,3.0
dinosaur,9.0,2.0,5.0,,5.0,1.0,10.0,20.0,3.0,9.0,10.0,12.0,9.0,2.0,11.0,9.0,2.0,3.0,5.0,2.0
frog,5.0,4.0,4.0,,6.0,4.0,5.0,3.0,20.0,7.0,4.0,9.0,3.0,3.0,8.0,6.0,19.0,4.0,6.0,4.0
gecko,11.0,3.0,3.0,,8.0,6.0,15.0,9.0,7.0,20.0,12.0,12.0,13.0,8.0,14.0,6.0,3.0,8.0,8.0,4.0
iguana,10.0,3.0,6.0,,9.0,9.0,11.0,10.0,4.0,12.0,20.0,12.0,15.0,8.0,13.0,6.0,5.0,6.0,7.0,7.0
lizard,8.0,3.0,8.0,,10.0,4.0,8.0,12.0,9.0,12.0,12.0,20.0,13.0,7.0,15.0,8.0,7.0,6.0,8.0,9.0
monitor lizard,11.0,2.0,5.0,,9.0,6.0,9.0,9.0,3.0,13.0,15.0,13.0,20.0,5.0,15.0,6.0,3.0,9.0,7.0,5.0
python,6.0,10.0,19.0,,5.0,17.0,5.0,2.0,3.0,8.0,8.0,7.0,5.0,20.0,7.0,20.0,5.0,5.0,3.0,17.0
salamander,11.0,3.0,8.0,,9.0,9.0,12.0,11.0,8.0,14.0,13.0,15.0,15.0,7.0,20.0,10.0,5.0,5.0,9.0,8.0
snake,3.0,10.0,20.0,,5.0,18.0,4.0,9.0,6.0,6.0,6.0,8.0,6.0,20.0,10.0,20.0,4.0,9.0,5.0,17.0
toad,5.0,2.0,4.0,,7.0,5.0,7.0,2.0,19.0,3.0,5.0,7.0,3.0,5.0,5.0,4.0,20.0,4.0,6.0,3.0
tortoise,6.0,5.0,7.0,,5.0,6.0,9.0,3.0,4.0,8.0,6.0,6.0,9.0,5.0,5.0,9.0,4.0,20.0,18.0,3.0
turtle,11.0,10.0,6.0,,4.0,5.0,10.0,5.0,6.0,8.0,7.0,8.0,7.0,3.0,9.0,5.0,6.0,18.0,20.0,5.0
viper,5.0,10.0,14.0,,5.0,17.0,3.0,2.0,4.0,4.0,7.0,9.0,5.0,17.0,8.0,17.0,3.0,3.0,5.0,20.0
