exemplar,alligator,blindworm,boa,caiman,chameleon,cobra,crocodile,dinosaur,frog,gecko,iguana,lizard,monitor lizard,python,salamander,snake,toad,tortoise,turtle,viper
alligator,20.0,3.0,4.0,18.0,8.0,4.0,20.0,17.0,3.0,9.0,9.0,9.0,16.0,7.0,4.0,3.0,,8.0,6.0,3.0
blindworm,3.0,20.0,9.0,5.0,5.0,9.0,3.0,2.0,5.0,4.0,5.0,5.0,5.0,9.0,4.0,4.0,,2.0,1.0,10.0
boa,4.0,9.0,20.0,6.0,3.0,18.0,4.0,4.0,5.0,6.0,4.0,3.0,4.0,19.0,3.0,20.0,,2.0,3.0,15.0
caiman,18.0,5.0,6.0,20.0,10.0,8.0,19.0,14.0,4.0,6.0,16.0,9.0,18.0,6.0,5.0,8.0,,4.0,2.0,3.0
chameleon,8.0,5.0,3.0,10.0,20.0,4.0,11.0,13.0,12.0,18.0,16.0,15.0,11.0,4.0,16.0,4.0,,9.0,3.0,3.0
cobra,4.0,9.0,18.0,8.0,4.0,20.0,4.0,4.0,3.0,5.0,6.0,3.0,5.0,20.0,10.0,20.0,,2.0,2.0,10.0
crocodile,20.0,3.0,4.0,19.0,11.0,4.0,20.0,13.0,2.0,9.0,11.0,8.0,16.0,9.0,12.0,4.0,,8.0,4.0,3.0
dinosaur,17.0,2.0,4.0,14.0,13.0,4.0,13.0,20.0,4.0,6.0,11.0,11.0,15.0,3.0,5.0,8.0,,10.0,14.0,1.0
frog,3.0,5.0,5.0,4.0,12.0,3.0,2.0,4.0,20.0,11.0,10.0,10.0,3.0,2.0,12.0,4.0,,5.0,4.0,7.0
gecko,9.0,4.0,6.0,6.0,18.0,5.0,9.0,6.0,11.0,20.0,14.0,15.0,12.0,4.0,17.0,2.0,,4.0,2.0,3.0
iguana,9.0,5.0,4.0,16.0,16.0,6.0,11.0,11.0,10.0,14.0,20.0,15.0,14.0,5.0,15.0,4.0,,6.0,4.0,4.0
lizard,9.0,5.0,3.0,9.0,15.0,3.0,8.0,11.0,10.0,15.0,15.0,20.0,9.0,3.0,16.0,6.0,,5.0,1.0,5.0
monitor lizard,16.0,5.0,4.0,18.0,11.0,5.0,16.0,15.0,3.0,12.0,14.0,9.0,20.0,11.0,6.0,5.0,,6.0,8.0,4.0
python,7.0,9.0,19.0,6.0,4.0,20.0,9.0,3.0,2.0,4.0,5.0,3.0,11.0,20.0,4.0,20.0,,3.0,2.0,11.0
salamander,4.0,4.0,3.0,5.0,16.0,10.0,12.0,5.0,12.0,17.0,15.0,16.0,6.0,4.0,20.0,10.0,,3.0,5.0,12.0
snake,3.0,4.0,20.0,8.0,4.0,20.0,4.0,8.0,4.0,2.0,4.0,6.0,5.0,20.0,10.0,20.0,,4.0,2.0,10.0
toad,,,,,,,,,,,,,,,,,20.0,,,
tortoise,8.0,2.0,2.0,4.0,9.0,2.0,8.0,10.0,5.0,4.0,6.0,5.0,6.0,3.0,3.0,4.0,,20.0,19.0,2.0
turtle,6.0,1.0,3.0,2.0,3.0,2.0,4.0,14.0,4.0,2.0,4.0,1.0,8.0,2.0,5.0,2.0,,19.0,20.0,2.0
viper,3.0,10.0,15.0,3.0,3.0,10.0,3.0,1.0,7.0,3.0,4.0,5.0,4.0,11.0,12.0,10.0,,2.0,2.0,20.0
