exemplar,alligator,blindworm,boa,caiman,chameleon,cobra,crocodile,dinosaur,frog,gecko,iguana,lizard,monitor lizard,python,salamander,snake,toad,tortoise,turtle,viper
alligator,20.0,1.0,11.0,,1.0,10.0,19.0,13.0,8.0,,9.0,9.0,11.0,8.0,8.0,11.0,6.0,11.0,9.0,8.0
blindworm,1.0,20.0,7.0,,4.0,7.0,2.0,1.0,8.0,,4.0,11.0,3.0,6.0,6.0,10.0,11.0,5.0,4.0,16.0
boa,11.0,7.0,20.0,,10.0,19.0,8.0,2.0,9.0,,11.0,8.0,10.0,19.0,11.0,20.0,9.0,7.0,7.0,14.0
caiman,,,,20.0,,,,,,,,,,,,,,,,
chameleon,1.0,4.0,10.0,,20.0,7.0,9.0,8.0,13.0,,15.0,11.0,14.0,12.0,13.0,10.0,9.0,12.0,7.0,10.0
cobra,10.0,7.0,19.0,,7.0,20.0,9.0,7.0,9.0,,11.0,6.0,10.0,18.0,8.0,20.0,8.0,10.0,10.0,13.0
crocodile,19.0,2.0,8.0,,9.0,9.0,20.0,12.0,9.0,,10.0,14.0,7.0,10.0,9.0,10.0,3.0,9.0,9.0,7.0
dinosaur,13.0,1.0,2.0,,8.0,7.0,12.0,20.0,7.0,,7.0,7.0,12.0,9.0,6.0,1.0,6.0,10.0,7.0,2.0
frog,8.0,8.0,9.0,,13.0,9.0,9.0,7.0,20.0,,7.0,16.0,8.0,9.0,12.0,6.0,19.0,12.0,10.0,8.0
gecko,,,,,,,,,,20.0,,,,,,,,,,
iguana,9.0,4.0,11.0,,15.0,11.0,10.0,7.0,7.0,,20.0,15.0,16.0,10.0,13.0,12.0,6.0,10.0,9.0,10.0
lizard,9.0,11.0,8.0,,11.0,6.0,14.0,7.0,16.0,,15.0,20.0,11.0,7.0,17.0,15.0,16.0,13.0,12.0,11.0
monitor lizard,11.0,3.0,10.0,,14.0,10.0,7.0,12.0,8.0,,16.0,11.0,20.0,9.0,13.0,6.0,8.0,10.0,10.0,7.0
python,8.0,6.0,19.0,,12.0,18.0,10.0,9.0,9.0,,10.0,7.0,9.0,20.0,8.0,19.0,3.0,9.0,9.0,10.0
salamander,8.0,6.0,11.0,,13.0,8.0,9.0,6.0,12.0,,13.0,17.0,13.0,8.0,20.0,10.0,13.0,14.0,8.0,10.0
snake,11.0,10.0,20.0,,10.0,20.0,10.0,1.0,6.0,,12.0,15.0,6.0,19.0,10.0,20.0,8.0,7.0,8.0,9.0
toad,6.0,11.0,9.0,,9.0,8.0,3.0,6.0,19.0,,6.0,16.0,8.0,3.0,13.0,8.0,20.0,10.0,10.0,6.0
tortoise,11.0,5.0,7.0,,12.0,10.0,9.0,10.0,12.0,,10.0,13.0,10.0,9.0,14.0,7.0,10.0,20.0,19.0,8.0
turtle,9.0,4.0,7.0,,7.0,10.0,9.0,7.0,10.0,,9.0,12.0,10.0,9.0,8.0,8.0,10.0,19.0,20.0,6.0
viper,8.0,16.0,14.0,,10.0,13.0,7.0,2.0,8.0,,10.0,11.0,7.0,10.0,10.0,9.0,6.0,8.0,6.0,20.0
