exemplar,alligator,blindworm,boa,caiman,chameleon,cobra,crocodile,dinosaur,frog,gecko,iguana,lizard,monitor lizard,python,salamander,snake,toad,tortoise,turtle,viper
alligator,20.0,4.0,4.0,20.0,10.0,4.0,20.0,10.0,4.0,,12.0,8.0,12.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0
blindworm,4.0,20.0,14.0,4.0,4.0,16.0,4.0,3.0,3.0,,4.0,3.0,4.0,12.0,4.0,15.0,3.0,3.0,4.0,18.0
boa,4.0,14.0,20.0,4.0,4.0,18.0,4.0,4.0,3.0,,4.0,4.0,4.0,17.0,4.0,20.0,3.0,3.0,4.0,14.0
caiman,20.0,4.0,4.0,20.0,8.0,4.0,20.0,5.0,3.0,,6.0,7.0,4.0,4.0,12.0,4.0,3.0,4.0,5.0,3.0
chameleon,10.0,4.0,4.0,8.0,20.0,5.0,7.0,5.0,3.0,,9.0,15.0,14.0,6.0,15.0,4.0,4.0,4.0,4.0,4.0
cobra,4.0,16.0,18.0,4.0,5.0,20.0,4.0,4.0,2.0,,4.0,4.0,4.0,18.0,4.0,20.0,4.0,3.0,4.0,16.0
crocodile,20.0,4.0,4.0,20.0,7.0,4.0,20.0,5.0,4.0,,8.0,13.0,10.0,4.0,8.0,3.0,4.0,4.0,4.0,4.0
dinosaur,10.0,3.0,4.0,5.0,5.0,4.0,5.0,20.0,3.0,,3.0,4.0,4.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0
frog,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,20.0,,4.0,4.0,4.0,2.0,4.0,3.0,18.0,4.0,5.0,3.0
gecko,,,,,,,,,,20.0,,,,,,,,,,
iguana,12.0,4.0,4.0,6.0,9.0,4.0,8.0,3.0,4.0,,20.0,15.0,15.0,4.0,10.0,4.0,3.0,4.0,4.0,3.0
lizard,8.0,3.0,4.0,7.0,15.0,4.0,13.0,4.0,4.0,,15.0,20.0,13.0,5.0,18.0,5.0,4.0,5.0,3.0,4.0
monitor lizard,12.0,4.0,4.0,4.0,14.0,4.0,10.0,4.0,4.0,,15.0,13.0,20.0,4.0,10.0,4.0,4.0,5.0,4.0,4.0
python,5.0,12.0,17.0,4.0,6.0,18.0,4.0,6.0,2.0,,4.0,5.0,4.0,20.0,4.0,20.0,3.0,4.0,3.0,14.0
salamander,4.0,4.0,4.0,12.0,15.0,4.0,8.0,5.0,4.0,,10.0,18.0,10.0,4.0,20.0,6.0,4.0,3.0,4.0,4.0
snake,4.0,15.0,20.0,4.0,4.0,20.0,3.0,4.0,3.0,,4.0,5.0,4.0,20.0,6.0,20.0,4.0,4.0,4.0,18.0
toad,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,18.0,,3.0,4.0,4.0,3.0,4.0,4.0,20.0,3.0,4.0,4.0
tortoise,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,,4.0,5.0,5.0,4.0,3.0,4.0,3.0,20.0,19.0,3.0
turtle,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,,4.0,3.0,4.0,3.0,4.0,4.0,4.0,19.0,20.0,4.0
viper,5.0,18.0,14.0,3.0,4.0,16.0,4.0,4.0,3.0,,3.0,4.0,4.0,14.0,4.0,18.0,4.0,3.0,4.0,20.0
