exemplar,alligator,blindworm,boa,caiman,chameleon,cobra,crocodile,dinosaur,frog,gecko,iguana,lizard,monitor lizard,python,salamander,snake,toad,tortoise,turtle,viper
alligator,20.0,12.0,14.0,15.0,7.0,17.0,18.0,9.0,8.0,12.0,15.0,8.0,13.0,12.0,7.0,18.0,8.0,6.0,8.0,16.0
blindworm,12.0,20.0,7.0,6.0,8.0,8.0,4.0,4.0,10.0,8.0,8.0,7.0,10.0,9.0,7.0,8.0,10.0,6.0,10.0,8.0
boa,14.0,7.0,20.0,9.0,8.0,15.0,8.0,5.0,9.0,9.0,12.0,10.0,10.0,15.0,11.0,16.0,6.0,6.0,8.0,16.0
caiman,15.0,6.0,9.0,20.0,7.0,4.0,16.0,5.0,6.0,4.0,9.0,8.0,8.0,15.0,7.0,5.0,9.0,7.0,7.0,15.0
chameleon,7.0,8.0,8.0,7.0,20.0,8.0,7.0,7.0,8.0,9.0,9.0,12.0,8.0,8.0,13.0,8.0,8.0,10.0,6.0,7.0
cobra,17.0,8.0,15.0,4.0,8.0,20.0,5.0,6.0,5.0,8.0,13.0,12.0,10.0,13.0,9.0,17.0,4.0,5.0,5.0,15.0
crocodile,18.0,4.0,8.0,16.0,7.0,5.0,20.0,7.0,4.0,6.0,9.0,7.0,8.0,3.0,5.0,6.0,4.0,7.0,6.0,7.0
dinosaur,9.0,4.0,5.0,5.0,7.0,6.0,7.0,20.0,4.0,8.0,8.0,7.0,10.0,6.0,6.0,3.0,4.0,7.0,10.0,2.0
frog,8.0,10.0,9.0,6.0,8.0,5.0,4.0,4.0,20.0,13.0,8.0,6.0,13.0,6.0,6.0,8.0,16.0,8.0,11.0,5.0
gecko,12.0,8.0,9.0,4.0,9.0,8.0,6.0,8.0,13.0,20.0,11.0,8.0,8.0,9.0,8.0,6.0,12.0,9.0,9.0,7.0
iguana,15.0,8.0,12.0,9.0,9.0,13.0,9.0,8.0,8.0,11.0,20.0,12.0,9.0,9.0,9.0,9.0,11.0,8.0,5.0,12.0
lizard,8.0,7.0,10.0,8.0,12.0,12.0,7.0,7.0,6.0,8.0,12.0,20.0,12.0,7.0,12.0,8.0,8.0,7.0,7.0,6.0
monitor lizard,13.0,10.0,10.0,8.0,8.0,10.0,8.0,10.0,13.0,8.0,9.0,12.0,20.0,12.0,8.0,11.0,4.0,7.0,5.0,12.0
python,12.0,9.0,15.0,15.0,8.0,13.0,3.0,6.0,6.0,9.0,9.0,7.0,12.0,20.0,7.0,15.0,8.0,7.0,6.0,12.0
salamander,7.0,7.0,11.0,7.0,13.0,9.0,5.0,6.0,6.0,8.0,9.0,12.0,8.0,7.0,20.0,14.0,11.0,6.0,9.0,8.0
snake,18.0,8.0,16.0,5.0,8.0,17.0,6.0,3.0,8.0,6.0,9.0,8.0,11.0,15.0,14.0,20.0,7.0,5.0,4.0,8.0
toad,8.0,10.0,6.0,9.0,8.0,4.0,4.0,4.0,16.0,12.0,11.0,8.0,4.0,8.0,11.0,7.0,20.0,16.0,12.0,8.0
tortoise,6.0,6.0,6.0,7.0,10.0,5.0,7.0,7.0,8.0,9.0,8.0,7.0,7.0,7.0,6.0,5.0,16.0,20.0,16.0,7.0
turtle,8.0,10.0,8.0,7.0,6.0,5.0,6.0,10.0,11.0,9.0,5.0,7.0,5.0,6.0,9.0,4.0,12.0,16.0,20.0,7.0
viper,16.0,8.0,16.0,15.0,7.0,15.0,7.0,2.0,5.0,7.0,12.0,6.0,12.0,12.0,8.0,8.0,8.0,7.0,7.0,20.0
