exemplar,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
aalbes,20.0,4.0,6.0,3.0,5.0,6.0,17.0,17.0,6.0,7.0,10.0,16.0,6.0,14.0,13.0,3.0,5.0,15.0,10.0,10.0,6.0,3.0,13.0,3.0,3.0,4.0,1.0,3.0,3.0,6.0
aardbei,4.0,20.0,2.0,5.0,2.0,6.0,15.0,15.0,12.0,12.0,16.0,15.0,18.0,12.0,14.0,3.0,5.0,17.0,10.0,10.0,11.0,8.0,8.0,2.0,6.0,5.0,2.0,3.0,4.0,17.0
abrikoos,6.0,2.0,20.0,9.0,16.0,8.0,13.0,2.0,17.0,18.0,3.0,14.0,2.0,12.0,14.0,16.0,17.0,16.0,15.0,12.0,18.0,17.0,16.0,16.0,18.0,13.0,9.0,18.0,16.0,18.0
ananas,3.0,5.0,9.0,20.0,6.0,5.0,3.0,3.0,4.0,2.0,6.0,3.0,3.0,2.0,3.0,15.0,4.0,9.0,4.0,10.0,12.0,14.0,3.0,14.0,10.0,6.0,14.0,5.0,3.0,3.0
appel,5.0,2.0,16.0,6.0,20.0,4.0,3.0,2.0,18.0,18.0,13.0,16.0,2.0,4.0,16.0,18.0,16.0,3.0,17.0,17.0,18.0,13.0,13.0,17.0,15.0,18.0,16.0,18.0,18.0,15.0
banaan,6.0,6.0,8.0,5.0,4.0,20.0,2.0,3.0,2.0,2.0,18.0,2.0,3.0,4.0,3.0,8.0,9.0,2.0,3.0,3.0,3.0,3.0,4.0,10.0,3.0,2.0,3.0,3.0,11.0,2.0
bosbes,17.0,15.0,13.0,3.0,3.0,2.0,20.0,17.0,3.0,16.0,9.0,17.0,14.0,13.0,3.0,3.0,3.0,16.0,3.0,12.0,7.0,3.0,5.0,11.0,8.0,2.0,3.0,8.0,9.0,9.0
braambessen,17.0,15.0,2.0,3.0,2.0,3.0,17.0,20.0,12.0,4.0,7.0,16.0,16.0,16.0,4.0,2.0,14.0,13.0,2.0,3.0,3.0,3.0,3.0,3.0,6.0,4.0,1.0,11.0,9.0,6.0
citroen,6.0,12.0,17.0,4.0,18.0,2.0,3.0,12.0,20.0,17.0,2.0,14.0,4.0,15.0,18.0,16.0,18.0,14.0,16.0,16.0,18.0,15.0,17.0,11.0,17.0,17.0,12.0,17.0,18.0,18.0
clementine,7.0,12.0,18.0,2.0,18.0,2.0,16.0,4.0,17.0,20.0,6.0,15.0,3.0,9.0,16.0,15.0,18.0,6.0,15.0,16.0,18.0,16.0,17.0,13.0,18.0,18.0,16.0,18.0,18.0,17.0
dadels,10.0,16.0,3.0,6.0,13.0,18.0,9.0,7.0,2.0,6.0,20.0,17.0,9.0,8.0,14.0,2.0,15.0,16.0,2.0,2.0,3.0,2.0,3.0,13.0,2.0,2.0,3.0,10.0,3.0,13.0
druif,16.0,15.0,14.0,3.0,16.0,2.0,17.0,16.0,14.0,15.0,17.0,20.0,16.0,19.0,16.0,11.0,16.0,16.0,11.0,14.0,16.0,13.0,11.0,10.0,16.0,13.0,9.0,11.0,16.0,16.0
framboos,6.0,18.0,2.0,3.0,2.0,3.0,14.0,16.0,4.0,3.0,9.0,16.0,20.0,14.0,8.0,3.0,3.0,13.0,6.0,9.0,5.0,5.0,4.0,9.0,8.0,6.0,3.0,2.0,3.0,12.0
kers,14.0,12.0,12.0,2.0,4.0,4.0,13.0,16.0,15.0,9.0,8.0,19.0,14.0,20.0,17.0,15.0,14.0,17.0,3.0,13.0,12.0,12.0,11.0,9.0,16.0,6.0,2.0,14.0,6.0,13.0
kiwi,13.0,14.0,14.0,3.0,16.0,3.0,3.0,4.0,18.0,16.0,14.0,16.0,8.0,17.0,20.0,16.0,17.0,16.0,16.0,15.0,15.0,15.0,17.0,16.0,17.0,15.0,13.0,16.0,12.0,17.0
kokosnoot,3.0,3.0,16.0,15.0,18.0,8.0,3.0,2.0,16.0,15.0,2.0,11.0,3.0,15.0,16.0,20.0,15.0,11.0,17.0,16.0,15.0,14.0,16.0,8.0,16.0,16.0,3.0,17.0,14.0,14.0
limoen,5.0,5.0,17.0,4.0,16.0,9.0,3.0,14.0,18.0,18.0,15.0,16.0,3.0,14.0,17.0,15.0,20.0,13.0,16.0,15.0,17.0,10.0,16.0,16.0,17.0,16.0,17.0,18.0,18.0,18.0
lychee,15.0,17.0,16.0,9.0,3.0,2.0,16.0,13.0,14.0,6.0,16.0,16.0,13.0,17.0,16.0,11.0,13.0,20.0,4.0,11.0,16.0,3.0,14.0,15.0,6.0,10.0,3.0,2.0,3.0,11.0
mango,10.0,10.0,15.0,4.0,17.0,3.0,3.0,2.0,16.0,15.0,2.0,11.0,6.0,3.0,16.0,17.0,16.0,4.0,20.0,15.0,14.0,17.0,9.0,13.0,17.0,15.0,17.0,17.0,16.0,16.0
meloen,10.0,10.0,12.0,10.0,17.0,3.0,12.0,3.0,16.0,16.0,2.0,14.0,9.0,13.0,15.0,16.0,15.0,11.0,15.0,20.0,16.0,16.0,16.0,7.0,12.0,18.0,17.0,16.0,17.0,14.0
nectarine,6.0,11.0,18.0,12.0,18.0,3.0,7.0,3.0,18.0,18.0,3.0,16.0,5.0,12.0,15.0,15.0,17.0,16.0,14.0,16.0,20.0,11.0,17.0,14.0,19.0,18.0,15.0,18.0,19.0,17.0
papaya,3.0,8.0,17.0,14.0,13.0,3.0,3.0,3.0,15.0,16.0,2.0,13.0,5.0,12.0,15.0,14.0,10.0,3.0,17.0,16.0,11.0,20.0,9.0,16.0,15.0,17.0,16.0,16.0,15.0,12.0
passievrucht,13.0,8.0,16.0,3.0,13.0,4.0,5.0,3.0,17.0,17.0,3.0,11.0,4.0,11.0,17.0,16.0,16.0,14.0,9.0,16.0,17.0,9.0,20.0,16.0,16.0,17.0,16.0,17.0,12.0,18.0
peer,3.0,2.0,16.0,14.0,17.0,10.0,11.0,3.0,11.0,13.0,13.0,10.0,9.0,9.0,16.0,8.0,16.0,15.0,13.0,7.0,14.0,16.0,16.0,20.0,16.0,13.0,5.0,7.0,9.0,11.0
perzik,3.0,6.0,18.0,10.0,15.0,3.0,8.0,6.0,17.0,18.0,2.0,16.0,8.0,16.0,17.0,16.0,17.0,6.0,17.0,12.0,19.0,15.0,16.0,16.0,20.0,17.0,15.0,17.0,17.0,17.0
pompelmoes,4.0,5.0,13.0,6.0,18.0,2.0,2.0,4.0,17.0,18.0,2.0,13.0,6.0,6.0,15.0,16.0,16.0,10.0,15.0,18.0,18.0,17.0,17.0,13.0,17.0,20.0,16.0,14.0,18.0,16.0
pompoen,1.0,2.0,9.0,14.0,16.0,3.0,3.0,1.0,12.0,16.0,3.0,9.0,3.0,2.0,13.0,3.0,17.0,3.0,17.0,17.0,15.0,16.0,16.0,5.0,15.0,16.0,20.0,12.0,18.0,6.0
pruim,3.0,3.0,18.0,5.0,18.0,3.0,8.0,11.0,17.0,18.0,10.0,11.0,2.0,14.0,16.0,17.0,18.0,2.0,17.0,16.0,18.0,16.0,17.0,7.0,17.0,14.0,12.0,20.0,16.0,18.0
sinaasappel,3.0,4.0,16.0,3.0,18.0,11.0,9.0,9.0,18.0,18.0,3.0,16.0,3.0,6.0,12.0,14.0,18.0,3.0,16.0,17.0,19.0,15.0,12.0,9.0,17.0,18.0,18.0,16.0,20.0,17.0
vijg,6.0,17.0,18.0,3.0,15.0,2.0,9.0,6.0,18.0,17.0,13.0,16.0,12.0,13.0,17.0,14.0,18.0,11.0,16.0,14.0,17.0,12.0,18.0,11.0,17.0,16.0,6.0,18.0,17.0,20.0
