exemplar,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
aalbes,20.0,1.0,2.0,1.0,1.0,4.0,9.0,1.0,1.0,1.0,1.0,2.0,10.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,4.0
aardbei,1.0,20.0,1.0,8.0,9.0,12.0,1.0,1.0,9.0,1.0,8.0,1.0,15.0,19.0,14.0,5.0,1.0,1.0,4.0,6.0,1.0,3.0,1.0,7.0,2.0,13.0,4.0,4.0,1.0,10.0
abrikoos,2.0,1.0,20.0,4.0,4.0,6.0,2.0,1.0,1.0,1.0,8.0,5.0,4.0,12.0,4.0,8.0,4.0,12.0,5.0,11.0,9.0,15.0,1.0,19.0,12.0,4.0,1.0,18.0,8.0,6.0
ananas,1.0,8.0,4.0,20.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,5.0,1.0,2.0,5.0,4.0,1.0,1.0,8.0,1.0,9.0,1.0,8.0,1.0,9.0
appel,1.0,9.0,4.0,2.0,20.0,10.0,5.0,1.0,7.0,1.0,1.0,2.0,8.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,7.0,6.0,5.0,1.0,2.0,5.0,15.0,7.0,1.0,12.0
banaan,4.0,12.0,6.0,2.0,10.0,20.0,1.0,5.0,1.0,1.0,5.0,1.0,5.0,4.0,5.0,8.0,1.0,2.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,9.0,3.0,5.0
bosbes,9.0,1.0,2.0,1.0,5.0,1.0,20.0,12.0,5.0,1.0,1.0,4.0,4.0,9.0,12.0,4.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0
braambessen,1.0,1.0,1.0,4.0,1.0,5.0,12.0,20.0,5.0,1.0,12.0,1.0,9.0,14.0,15.0,1.0,1.0,1.0,6.0,1.0,5.0,1.0,4.0,10.0,2.0,5.0,1.0,1.0,4.0,1.0
citroen,1.0,9.0,1.0,4.0,7.0,1.0,5.0,5.0,20.0,1.0,9.0,1.0,4.0,2.0,5.0,5.0,1.0,19.0,1.0,5.0,6.0,1.0,1.0,1.0,10.0,8.0,1.0,1.0,10.0,16.0
clementine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,16.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0
