exemplar,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
aalbes,20.0,15.0,3.0,2.0,2.0,2.0,16.0,17.0,3.0,2.0,1.0,6.0,18.0,16.0,2.0,16.0,7.0,5.0,3.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,1.0,4.0,2.0,6.0
aardbei,15.0,20.0,3.0,3.0,2.0,1.0,6.0,7.0,1.0,4.0,8.0,4.0,18.0,16.0,1.0,7.0,2.0,8.0,3.0,2.0,3.0,2.0,2.0,1.0,6.0,2.0,2.0,6.0,4.0,2.0
abrikoos,3.0,3.0,20.0,1.0,5.0,4.0,4.0,3.0,9.0,9.0,3.0,3.0,2.0,3.0,6.0,3.0,4.0,7.0,14.0,2.0,16.0,8.0,8.0,3.0,17.0,5.0,2.0,15.0,6.0,3.0
ananas,2.0,3.0,1.0,20.0,5.0,15.0,2.0,2.0,13.0,3.0,2.0,1.0,3.0,2.0,2.0,9.0,6.0,10.0,6.0,13.0,4.0,6.0,3.0,1.0,4.0,1.0,1.0,2.0,6.0,1.0
appel,2.0,2.0,5.0,5.0,20.0,3.0,2.0,1.0,6.0,5.0,2.0,2.0,2.0,6.0,5.0,3.0,6.0,4.0,5.0,4.0,7.0,12.0,11.0,16.0,6.0,6.0,2.0,7.0,14.0,3.0
banaan,2.0,1.0,4.0,15.0,3.0,20.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,15.0,1.0,4.0,4.0,4.0,1.0,2.0,2.0,15.0,3.0
bosbes,16.0,6.0,4.0,2.0,2.0,2.0,20.0,16.0,2.0,2.0,5.0,18.0,17.0,15.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,15.0,7.0,2.0
braambessen,17.0,7.0,3.0,2.0,1.0,2.0,16.0,20.0,3.0,2.0,6.0,16.0,16.0,16.0,4.0,2.0,1.0,8.0,2.0,2.0,6.0,,3.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0
citroen,3.0,1.0,9.0,13.0,6.0,3.0,2.0,3.0,20.0,12.0,2.0,2.0,2.0,2.0,1.0,3.0,18.0,6.0,5.0,6.0,6.0,2.0,16.0,3.0,2.0,11.0,1.0,3.0,16.0,4.0
clementine,2.0,4.0,9.0,3.0,5.0,3.0,2.0,2.0,12.0,20.0,5.0,5.0,3.0,3.0,2.0,2.0,15.0,2.0,4.0,4.0,6.0,11.0,6.0,2.0,16.0,16.0,6.0,4.0,20.0,3.0
dadels,1.0,8.0,3.0,2.0,2.0,1.0,5.0,6.0,2.0,5.0,20.0,14.0,6.0,6.0,5.0,2.0,2.0,16.0,2.0,5.0,10.0,2.0,2.0,3.0,3.0,1.0,1.0,15.0,3.0,16.0
druif,6.0,4.0,3.0,1.0,2.0,1.0,18.0,16.0,2.0,5.0,14.0,20.0,6.0,15.0,4.0,1.0,2.0,17.0,2.0,3.0,2.0,4.0,8.0,2.0,5.0,2.0,1.0,18.0,2.0,13.0
framboos,18.0,18.0,2.0,3.0,2.0,2.0,17.0,16.0,2.0,3.0,6.0,6.0,20.0,7.0,3.0,1.0,2.0,6.0,2.0,2.0,2.0,1.0,3.0,2.0,6.0,1.0,2.0,6.0,3.0,11.0
kers,16.0,16.0,3.0,2.0,6.0,2.0,15.0,16.0,2.0,3.0,6.0,15.0,7.0,20.0,3.0,2.0,2.0,3.0,3.0,4.0,7.0,2.0,2.0,2.0,12.0,3.0,2.0,5.0,10.0,5.0
kiwi,2.0,1.0,6.0,2.0,5.0,1.0,3.0,4.0,1.0,2.0,5.0,4.0,3.0,3.0,20.0,13.0,3.0,6.0,6.0,2.0,3.0,1.0,16.0,1.0,6.0,1.0,2.0,6.0,2.0,2.0
kokosnoot,16.0,7.0,3.0,9.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,13.0,20.0,3.0,3.0,3.0,3.0,2.0,4.0,6.0,1.0,1.0,6.0,1.0,2.0,2.0,5.0
limoen,7.0,2.0,4.0,6.0,6.0,4.0,3.0,1.0,18.0,15.0,2.0,2.0,2.0,2.0,3.0,3.0,20.0,2.0,4.0,6.0,8.0,6.0,7.0,3.0,5.0,11.0,2.0,2.0,14.0,3.0
lychee,5.0,8.0,7.0,10.0,4.0,3.0,2.0,8.0,6.0,2.0,16.0,17.0,6.0,3.0,6.0,3.0,2.0,20.0,8.0,2.0,2.0,2.0,6.0,3.0,12.0,1.0,1.0,8.0,4.0,6.0
mango,3.0,3.0,14.0,6.0,5.0,3.0,1.0,2.0,5.0,4.0,2.0,2.0,2.0,3.0,6.0,3.0,4.0,8.0,20.0,4.0,15.0,12.0,16.0,5.0,6.0,6.0,1.0,5.0,12.0,5.0
meloen,2.0,2.0,2.0,13.0,4.0,3.0,2.0,2.0,6.0,4.0,5.0,3.0,2.0,4.0,2.0,3.0,6.0,2.0,4.0,20.0,6.0,5.0,5.0,3.0,5.0,13.0,13.0,3.0,8.0,3.0
nectarine,2.0,3.0,16.0,4.0,7.0,15.0,2.0,6.0,6.0,6.0,10.0,2.0,2.0,7.0,3.0,2.0,8.0,2.0,15.0,6.0,20.0,7.0,7.0,4.0,18.0,7.0,1.0,10.0,14.0,2.0
papaya,2.0,2.0,8.0,6.0,12.0,1.0,2.0,,2.0,11.0,2.0,4.0,1.0,2.0,1.0,4.0,6.0,2.0,12.0,5.0,7.0,20.0,6.0,6.0,5.0,8.0,3.0,3.0,5.0,3.0
