exemplar,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
aalbes,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aardbei,,20.0,6.0,3.0,5.0,6.0,12.0,18.0,3.0,6.0,9.0,8.0,15.0,16.0,6.0,1.0,,,2.0,5.0,4.0,,1.0,1.0,3.0,1.0,2.0,1.0,4.0,4.0
abrikoos,,6.0,20.0,6.0,13.0,3.0,4.0,5.0,8.0,15.0,5.0,3.0,1.0,5.0,7.0,7.0,9.0,,17.0,7.0,17.0,,15.0,8.0,20.0,7.0,13.0,10.0,9.0,7.0
ananas,,3.0,6.0,20.0,4.0,6.0,3.0,3.0,7.0,3.0,1.0,1.0,1.0,2.0,6.0,18.0,6.0,,4.0,5.0,5.0,,15.0,5.0,4.0,5.0,6.0,3.0,10.0,1.0
appel,,5.0,13.0,4.0,20.0,1.0,4.0,3.0,8.0,8.0,5.0,8.0,3.0,5.0,10.0,4.0,9.0,,9.0,14.0,7.0,,1.0,15.0,11.0,14.0,12.0,5.0,11.0,2.0
banaan,,6.0,3.0,6.0,1.0,20.0,2.0,4.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,6.0,3.0,3.0,,5.0,6.0,5.0,5.0,1.0,3.0,6.0,1.0
bosbes,,12.0,4.0,3.0,4.0,2.0,20.0,20.0,2.0,3.0,9.0,6.0,18.0,13.0,3.0,5.0,3.0,,4.0,2.0,4.0,,2.0,1.0,4.0,1.0,2.0,6.0,2.0,6.0
braambessen,,18.0,5.0,3.0,3.0,4.0,20.0,20.0,1.0,3.0,9.0,2.0,15.0,6.0,5.0,3.0,,,1.0,2.0,4.0,,1.0,1.0,3.0,1.0,2.0,8.0,2.0,7.0
citroen,,3.0,8.0,7.0,8.0,5.0,2.0,1.0,20.0,15.0,3.0,8.0,1.0,3.0,10.0,6.0,,,18.0,9.0,10.0,,16.0,4.0,10.0,7.0,9.0,6.0,13.0,3.0
clementine,,6.0,15.0,3.0,8.0,3.0,3.0,3.0,15.0,20.0,13.0,3.0,2.0,8.0,9.0,5.0,12.0,,11.0,5.0,19.0,,10.0,5.0,15.0,8.0,5.0,15.0,8.0,4.0
dadels,,9.0,5.0,1.0,5.0,1.0,9.0,9.0,3.0,13.0,20.0,6.0,14.0,7.0,13.0,7.0,2.0,,5.0,3.0,5.0,,1.0,3.0,4.0,6.0,2.0,9.0,4.0,16.0
druif,,8.0,3.0,1.0,8.0,1.0,6.0,2.0,8.0,3.0,6.0,20.0,6.0,14.0,3.0,3.0,7.0,,6.0,12.0,9.0,,2.0,5.0,3.0,9.0,3.0,6.0,6.0,13.0
framboos,,15.0,1.0,1.0,3.0,1.0,18.0,15.0,1.0,2.0,14.0,6.0,20.0,6.0,5.0,5.0,,,7.0,1.0,5.0,,2.0,2.0,3.0,2.0,2.0,5.0,3.0,7.0
kers,,16.0,5.0,2.0,5.0,1.0,13.0,6.0,3.0,8.0,7.0,14.0,6.0,20.0,2.0,2.0,5.0,,3.0,3.0,5.0,,1.0,3.0,3.0,3.0,1.0,4.0,5.0,10.0
kiwi,,6.0,7.0,6.0,10.0,2.0,3.0,5.0,10.0,9.0,13.0,3.0,5.0,2.0,20.0,8.0,13.0,,15.0,6.0,10.0,,16.0,6.0,8.0,7.0,6.0,16.0,8.0,5.0
kokosnoot,,1.0,7.0,18.0,4.0,1.0,5.0,3.0,6.0,5.0,7.0,3.0,5.0,2.0,8.0,20.0,6.0,,5.0,15.0,5.0,,3.0,3.0,4.0,10.0,9.0,6.0,7.0,4.0
limoen,,,9.0,6.0,9.0,1.0,3.0,,,12.0,2.0,7.0,,5.0,13.0,6.0,20.0,,16.0,6.0,6.0,,16.0,5.0,9.0,9.0,15.0,8.0,14.0,7.0
lychee,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,
mango,,2.0,17.0,4.0,9.0,6.0,4.0,1.0,18.0,11.0,5.0,6.0,7.0,3.0,15.0,5.0,16.0,,20.0,15.0,19.0,,19.0,4.0,15.0,6.0,15.0,10.0,15.0,5.0
meloen,,5.0,7.0,5.0,14.0,3.0,2.0,2.0,9.0,5.0,3.0,12.0,1.0,3.0,6.0,15.0,6.0,,15.0,20.0,8.0,,15.0,6.0,5.0,17.0,16.0,9.0,12.0,2.0
nectarine,,4.0,17.0,5.0,7.0,3.0,4.0,4.0,10.0,19.0,5.0,9.0,5.0,5.0,10.0,5.0,6.0,,19.0,8.0,20.0,,19.0,8.0,19.0,19.0,12.0,13.0,12.0,3.0
papaya,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,
