exemplar,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
aalbes,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aardbei,,20.0,8.0,14.0,10.0,10.0,12.0,15.0,10.0,10.0,13.0,10.0,16.0,14.0,12.0,8.0,7.0,15.0,15.0,8.0,10.0,5.0,14.0,8.0,12.0,6.0,10.0,13.0,14.0,17.0
abrikoos,,8.0,20.0,9.0,15.0,6.0,9.0,12.0,14.0,16.0,16.0,18.0,10.0,8.0,15.0,7.0,16.0,14.0,16.0,12.0,17.0,15.0,19.0,7.0,16.0,19.0,5.0,19.0,13.0,12.0
ananas,,14.0,9.0,20.0,9.0,12.0,10.0,6.0,10.0,7.0,10.0,7.0,12.0,8.0,11.0,16.0,11.0,14.0,15.0,18.0,11.0,14.0,7.0,5.0,14.0,18.0,13.0,10.0,14.0,7.0
appel,,10.0,15.0,9.0,20.0,8.0,8.0,10.0,10.0,9.0,2.0,8.0,9.0,6.0,10.0,7.0,10.0,11.0,14.0,7.0,15.0,10.0,12.0,14.0,16.0,11.0,10.0,13.0,14.0,10.0
banaan,,10.0,6.0,12.0,8.0,20.0,6.0,8.0,4.0,10.0,8.0,4.0,4.0,6.0,10.0,9.0,12.0,6.0,6.0,11.0,9.0,15.0,8.0,8.0,9.0,9.0,4.0,10.0,12.0,4.0
bosbes,,12.0,9.0,10.0,8.0,6.0,20.0,20.0,7.0,12.0,15.0,12.0,19.0,19.0,12.0,5.0,4.0,5.0,5.0,5.0,8.0,8.0,12.0,10.0,16.0,14.0,6.0,12.0,8.0,12.0
braambessen,,15.0,12.0,6.0,10.0,8.0,20.0,20.0,10.0,12.0,12.0,16.0,19.0,13.0,16.0,5.0,4.0,4.0,14.0,6.0,7.0,11.0,17.0,7.0,13.0,7.0,8.0,15.0,7.0,13.0
citroen,,10.0,14.0,10.0,10.0,4.0,7.0,10.0,20.0,15.0,7.0,13.0,14.0,4.0,14.0,5.0,13.0,12.0,13.0,12.0,15.0,11.0,15.0,15.0,7.0,14.0,7.0,13.0,15.0,8.0
clementine,,10.0,16.0,7.0,9.0,10.0,12.0,12.0,15.0,20.0,7.0,3.0,14.0,10.0,12.0,10.0,15.0,9.0,19.0,7.0,16.0,10.0,11.0,9.0,16.0,14.0,4.0,11.0,19.0,5.0
dadels,,13.0,16.0,10.0,2.0,8.0,15.0,12.0,7.0,7.0,20.0,14.0,8.0,10.0,9.0,7.0,7.0,6.0,11.0,11.0,4.0,12.0,9.0,9.0,9.0,9.0,5.0,13.0,8.0,19.0
druif,,10.0,18.0,7.0,8.0,4.0,12.0,16.0,13.0,3.0,14.0,20.0,12.0,17.0,12.0,9.0,4.0,12.0,6.0,11.0,10.0,4.0,13.0,7.0,11.0,8.0,5.0,16.0,9.0,17.0
framboos,,16.0,10.0,12.0,9.0,4.0,19.0,19.0,14.0,14.0,8.0,12.0,20.0,16.0,12.0,15.0,9.0,17.0,12.0,9.0,10.0,14.0,13.0,6.0,16.0,6.0,5.0,15.0,8.0,9.0
kers,,14.0,8.0,8.0,6.0,6.0,19.0,13.0,4.0,10.0,10.0,17.0,16.0,20.0,13.0,6.0,6.0,10.0,12.0,10.0,9.0,7.0,6.0,14.0,15.0,7.0,7.0,19.0,9.0,10.0
kiwi,,12.0,15.0,11.0,10.0,10.0,12.0,16.0,14.0,12.0,9.0,12.0,12.0,13.0,20.0,10.0,13.0,13.0,13.0,12.0,15.0,12.0,11.0,7.0,16.0,9.0,5.0,14.0,9.0,14.0
kokosnoot,,8.0,7.0,16.0,7.0,9.0,5.0,5.0,5.0,10.0,7.0,9.0,15.0,6.0,10.0,20.0,15.0,17.0,17.0,13.0,9.0,14.0,13.0,8.0,6.0,16.0,19.0,8.0,8.0,10.0
limoen,,7.0,16.0,11.0,10.0,12.0,4.0,4.0,13.0,15.0,7.0,4.0,9.0,6.0,13.0,15.0,20.0,16.0,15.0,18.0,15.0,15.0,14.0,15.0,13.0,13.0,12.0,11.0,16.0,8.0
lychee,,15.0,14.0,14.0,11.0,6.0,5.0,4.0,12.0,9.0,6.0,12.0,17.0,10.0,13.0,17.0,16.0,20.0,16.0,11.0,18.0,16.0,15.0,13.0,16.0,16.0,4.0,13.0,4.0,6.0
mango,,15.0,16.0,15.0,14.0,6.0,5.0,14.0,13.0,19.0,11.0,6.0,12.0,12.0,13.0,17.0,15.0,16.0,20.0,17.0,15.0,19.0,16.0,13.0,17.0,15.0,9.0,14.0,15.0,11.0
meloen,,8.0,12.0,18.0,7.0,11.0,5.0,6.0,12.0,7.0,11.0,11.0,9.0,10.0,12.0,13.0,18.0,11.0,17.0,20.0,15.0,15.0,16.0,13.0,15.0,16.0,12.0,12.0,12.0,9.0
nectarine,,10.0,17.0,11.0,15.0,9.0,8.0,7.0,15.0,16.0,4.0,10.0,10.0,9.0,15.0,9.0,15.0,18.0,15.0,15.0,20.0,12.0,12.0,12.0,20.0,12.0,6.0,15.0,16.0,11.0
papaya,,5.0,15.0,14.0,10.0,15.0,8.0,11.0,11.0,10.0,12.0,4.0,14.0,7.0,12.0,14.0,15.0,16.0,19.0,15.0,12.0,20.0,13.0,16.0,12.0,15.0,3.0,16.0,14.0,6.0
passievrucht,,14.0,19.0,7.0,12.0,8.0,12.0,17.0,15.0,11.0,9.0,13.0,13.0,6.0,11.0,13.0,14.0,15.0,16.0,16.0,12.0,13.0,20.0,9.0,15.0,12.0,7.0,16.0,19.0,9.0
peer,,8.0,7.0,5.0,14.0,8.0,10.0,7.0,15.0,9.0,9.0,7.0,6.0,14.0,7.0,8.0,15.0,13.0,13.0,13.0,12.0,16.0,9.0,20.0,15.0,13.0,8.0,16.0,16.0,9.0
perzik,,12.0,16.0,14.0,16.0,9.0,16.0,13.0,7.0,16.0,9.0,11.0,16.0,15.0,16.0,6.0,13.0,16.0,17.0,15.0,20.0,12.0,15.0,15.0,20.0,15.0,10.0,14.0,14.0,12.0
pompelmoes,,6.0,19.0,18.0,11.0,9.0,14.0,7.0,14.0,14.0,9.0,8.0,6.0,7.0,9.0,16.0,13.0,16.0,15.0,16.0,12.0,15.0,12.0,13.0,15.0,20.0,5.0,14.0,12.0,6.0
pompoen,,10.0,5.0,13.0,10.0,4.0,6.0,8.0,7.0,4.0,5.0,5.0,5.0,7.0,5.0,19.0,12.0,4.0,9.0,12.0,6.0,3.0,7.0,8.0,10.0,5.0,20.0,16.0,7.0,2.0
pruim,,13.0,19.0,10.0,13.0,10.0,12.0,15.0,13.0,11.0,13.0,16.0,15.0,19.0,14.0,8.0,11.0,13.0,14.0,12.0,15.0,16.0,16.0,16.0,14.0,14.0,16.0,20.0,16.0,17.0
sinaasappel,,14.0,13.0,14.0,14.0,12.0,8.0,7.0,15.0,19.0,8.0,9.0,8.0,9.0,9.0,8.0,16.0,4.0,15.0,12.0,16.0,14.0,19.0,16.0,14.0,12.0,7.0,16.0,20.0,4.0
vijg,,17.0,12.0,7.0,10.0,4.0,12.0,13.0,8.0,5.0,19.0,17.0,9.0,10.0,14.0,10.0,8.0,6.0,11.0,9.0,11.0,6.0,9.0,9.0,12.0,6.0,2.0,17.0,4.0,20.0
