exemplar,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
aalbes,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aardbei,,20.0,5.0,4.0,3.0,2.0,5.0,10.0,3.0,1.0,4.0,2.0,4.0,15.0,8.0,2.0,2.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,1.0,1.0,4.0,2.0,4.0
abrikoos,,5.0,20.0,1.0,3.0,1.0,2.0,1.0,4.0,3.0,9.0,1.0,5.0,2.0,3.0,1.0,2.0,8.0,2.0,4.0,1.0,10.0,4.0,18.0,2.0,4.0,2.0,16.0,5.0,6.0
ananas,,4.0,1.0,20.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0
appel,,3.0,3.0,1.0,20.0,1.0,5.0,2.0,4.0,1.0,7.0,1.0,3.0,1.0,2.0,5.0,3.0,6.0,2.0,1.0,6.0,7.0,4.0,6.0,1.0,2.0,10.0,5.0,5.0,8.0
banaan,,2.0,1.0,2.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0
bosbes,,5.0,2.0,1.0,5.0,1.0,20.0,17.0,2.0,3.0,5.0,1.0,4.0,9.0,7.0,2.0,1.0,1.0,6.0,4.0,4.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,1.0,2.0
braambessen,,10.0,1.0,1.0,2.0,1.0,17.0,20.0,4.0,1.0,2.0,2.0,4.0,9.0,14.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,4.0
citroen,,3.0,4.0,1.0,4.0,1.0,2.0,4.0,20.0,1.0,6.0,4.0,3.0,1.0,4.0,5.0,1.0,19.0,1.0,5.0,5.0,4.0,4.0,10.0,1.0,4.0,3.0,2.0,4.0,7.0
clementine,,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,20.0,1.0,17.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
