exemplar,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
aalbes,20.0,9.0,8.0,8.0,9.0,8.0,15.0,17.0,9.0,12.0,14.0,16.0,13.0,18.0,15.0,12.0,14.0,16.0,12.0,14.0,10.0,16.0,10.0,8.0,16.0,10.0,11.0,16.0,12.0,15.0
aardbei,9.0,20.0,15.0,8.0,15.0,11.0,16.0,16.0,10.0,14.0,16.0,17.0,16.0,17.0,14.0,4.0,16.0,14.0,14.0,15.0,16.0,15.0,14.0,8.0,16.0,12.0,8.0,15.0,15.0,16.0
abrikoos,8.0,15.0,20.0,15.0,12.0,14.0,10.0,14.0,15.0,18.0,13.0,15.0,12.0,16.0,15.0,15.0,12.0,16.0,14.0,14.0,15.0,15.0,18.0,14.0,18.0,15.0,16.0,17.0,16.0,11.0
ananas,8.0,8.0,15.0,20.0,14.0,7.0,16.0,12.0,11.0,15.0,12.0,11.0,14.0,14.0,13.0,11.0,10.0,16.0,15.0,14.0,14.0,15.0,15.0,11.0,15.0,15.0,14.0,12.0,17.0,12.0
appel,9.0,15.0,12.0,14.0,20.0,15.0,5.0,6.0,16.0,14.0,14.0,14.0,13.0,14.0,15.0,13.0,16.0,9.0,15.0,17.0,12.0,9.0,15.0,18.0,16.0,15.0,13.0,14.0,18.0,15.0
banaan,8.0,11.0,14.0,7.0,15.0,20.0,15.0,10.0,14.0,14.0,13.0,15.0,11.0,14.0,11.0,9.0,16.0,8.0,15.0,16.0,11.0,11.0,16.0,15.0,14.0,15.0,11.0,10.0,14.0,15.0
bosbes,15.0,16.0,10.0,16.0,5.0,15.0,20.0,16.0,12.0,13.0,16.0,18.0,17.0,17.0,16.0,10.0,10.0,15.0,14.0,15.0,17.0,11.0,15.0,11.0,11.0,15.0,15.0,16.0,11.0,15.0
braambessen,17.0,16.0,14.0,12.0,6.0,10.0,16.0,20.0,8.0,11.0,16.0,14.0,19.0,14.0,14.0,12.0,15.0,16.0,9.0,12.0,12.0,11.0,15.0,12.0,14.0,12.0,16.0,12.0,14.0,12.0
citroen,9.0,10.0,15.0,11.0,16.0,14.0,12.0,8.0,20.0,17.0,14.0,10.0,15.0,13.0,9.0,13.0,18.0,7.0,15.0,17.0,16.0,14.0,12.0,8.0,13.0,15.0,16.0,14.0,18.0,11.0
clementine,12.0,14.0,18.0,15.0,14.0,14.0,13.0,11.0,17.0,20.0,11.0,16.0,16.0,8.0,14.0,14.0,16.0,15.0,15.0,15.0,16.0,15.0,15.0,6.0,16.0,17.0,15.0,17.0,18.0,11.0
