exemplar,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
aalbes,20.0,5.0,4.0,3.0,1.0,4.0,17.0,1.0,5.0,4.0,2.0,4.0,1.0,19.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,5.0,5.0,2.0,2.0,2.0,3.0,3.0,2.0,5.0
aardbei,5.0,20.0,2.0,2.0,2.0,2.0,7.0,3.0,1.0,2.0,1.0,3.0,3.0,6.0,7.0,1.0,1.0,3.0,2.0,2.0,5.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0
abrikoos,4.0,2.0,20.0,5.0,1.0,2.0,1.0,5.0,2.0,7.0,3.0,5.0,3.0,1.0,3.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,5.0,5.0,4.0,2.0,2.0,3.0
ananas,3.0,2.0,5.0,20.0,3.0,1.0,4.0,4.0,5.0,3.0,1.0,4.0,2.0,5.0,2.0,5.0,1.0,3.0,5.0,2.0,5.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,5.0,2.0
appel,1.0,2.0,1.0,3.0,20.0,2.0,3.0,2.0,5.0,3.0,4.0,2.0,1.0,5.0,4.0,2.0,1.0,5.0,12.0,1.0,3.0,2.0,1.0,6.0,4.0,1.0,5.0,2.0,2.0,5.0
banaan,4.0,2.0,2.0,1.0,2.0,20.0,3.0,1.0,1.0,4.0,1.0,6.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,3.0,3.0
bosbes,17.0,7.0,1.0,4.0,3.0,3.0,20.0,18.0,2.0,5.0,1.0,5.0,4.0,2.0,6.0,1.0,2.0,2.0,1.0,5.0,1.0,2.0,2.0,5.0,1.0,5.0,4.0,3.0,12.0,5.0
braambessen,1.0,3.0,5.0,4.0,2.0,1.0,18.0,20.0,1.0,2.0,4.0,3.0,14.0,18.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,2.0,1.0,2.0
citroen,5.0,1.0,2.0,5.0,5.0,1.0,2.0,1.0,20.0,7.0,14.0,3.0,2.0,3.0,1.0,5.0,4.0,1.0,2.0,6.0,6.0,4.0,4.0,6.0,2.0,3.0,3.0,1.0,2.0,1.0
clementine,4.0,2.0,7.0,3.0,3.0,4.0,5.0,2.0,7.0,20.0,5.0,4.0,8.0,2.0,5.0,5.0,2.0,2.0,3.0,2.0,1.0,13.0,2.0,2.0,1.0,3.0,5.0,3.0,3.0,2.0
dadels,2.0,1.0,3.0,1.0,4.0,1.0,1.0,4.0,14.0,5.0,20.0,1.0,5.0,2.0,2.0,3.0,1.0,12.0,2.0,2.0,5.0,7.0,4.0,4.0,1.0,3.0,4.0,5.0,1.0,1.0
druif,4.0,3.0,5.0,4.0,2.0,6.0,5.0,3.0,3.0,4.0,1.0,20.0,2.0,2.0,5.0,5.0,2.0,4.0,3.0,4.0,1.0,2.0,1.0,5.0,1.0,4.0,2.0,6.0,2.0,1.0
framboos,1.0,3.0,3.0,2.0,1.0,3.0,4.0,14.0,2.0,8.0,5.0,2.0,20.0,6.0,2.0,1.0,2.0,2.0,5.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,13.0,2.0
