exemplar,aambeeld,beitel,bijl,boormachine,breekijzer,engelse sleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,20.0,4.0,6.0,1.0,3.0,5.0,1.0,4.0,2.0,4.0,4.0,1.0,6.0,3.0,1.0,2.0,2.0,6.0,1.0,2.0,2.0,3.0,4.0,1.0,5.0,1.0,3.0,3.0,4.0,2.0
beitel,4.0,20.0,5.0,3.0,5.0,5.0,3.0,6.0,2.0,5.0,4.0,1.0,12.0,8.0,2.0,12.0,3.0,6.0,5.0,6.0,3.0,12.0,12.0,1.0,7.0,2.0,12.0,13.0,5.0,4.0
bijl,6.0,5.0,20.0,2.0,4.0,3.0,4.0,8.0,4.0,14.0,4.0,1.0,10.0,3.0,1.0,3.0,4.0,3.0,3.0,6.0,4.0,3.0,3.0,1.0,4.0,4.0,5.0,4.0,2.0,5.0
boormachine,1.0,3.0,2.0,20.0,3.0,5.0,6.0,3.0,3.0,6.0,6.0,2.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,13.0,5.0,5.0,6.0,2.0,4.0,2.0,2.0,5.0,3.0,3.0
breekijzer,3.0,5.0,4.0,3.0,20.0,10.0,3.0,6.0,3.0,3.0,7.0,2.0,15.0,5.0,2.0,4.0,3.0,7.0,5.0,9.0,5.0,4.0,5.0,1.0,6.0,1.0,4.0,6.0,5.0,5.0
engelse sleutel,5.0,5.0,3.0,5.0,10.0,20.0,1.0,9.0,2.0,5.0,10.0,2.0,7.0,15.0,2.0,7.0,3.0,6.0,3.0,7.0,3.0,10.0,10.0,1.0,17.0,5.0,5.0,6.0,5.0,3.0
grasmachine,1.0,3.0,4.0,6.0,3.0,1.0,20.0,2.0,2.0,2.0,2.0,4.0,7.0,2.0,1.0,4.0,5.0,2.0,2.0,3.0,5.0,1.0,5.0,2.0,2.0,1.0,1.0,3.0,1.0,5.0
hamer,4.0,6.0,8.0,3.0,6.0,9.0,2.0,20.0,3.0,8.0,7.0,2.0,5.0,4.0,3.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,1.0,4.0,1.0,3.0,4.0,4.0,3.0
houtklem,2.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,20.0,2.0,4.0,2.0,1.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0,10.0,2.0,2.0,3.0,3.0,2.0
houweel,4.0,5.0,14.0,6.0,3.0,5.0,2.0,8.0,2.0,20.0,6.0,1.0,5.0,3.0,1.0,4.0,4.0,4.0,6.0,7.0,3.0,3.0,5.0,1.0,4.0,3.0,2.0,4.0,2.0,4.0
koevoet,4.0,4.0,4.0,6.0,7.0,10.0,2.0,7.0,4.0,6.0,20.0,2.0,8.0,11.0,2.0,7.0,3.0,5.0,4.0,4.0,2.0,7.0,11.0,1.0,12.0,2.0,4.0,4.0,4.0,7.0
kruiwagen,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,20.0,1.0,1.0,1.0,2.0,8.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0
mes,6.0,12.0,10.0,3.0,15.0,7.0,7.0,5.0,1.0,5.0,8.0,1.0,20.0,6.0,2.0,15.0,6.0,8.0,4.0,6.0,8.0,6.0,7.0,1.0,4.0,4.0,5.0,14.0,5.0,9.0
