exemplar,aambeeld,beitel,bijl,boormachine,breekijzer,engelse sleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,20.0,7.0,6.0,4.0,11.0,6.0,2.0,4.0,5.0,6.0,6.0,5.0,7.0,,,,,,,,,,,,,,,,,
beitel,7.0,20.0,16.0,6.0,16.0,6.0,4.0,13.0,11.0,18.0,19.0,4.0,14.0,,,,,,,,,,,,,,,,,
bijl,6.0,16.0,20.0,7.0,16.0,9.0,4.0,9.0,3.0,15.0,17.0,4.0,14.0,,,,,,,,,,,,,,,,,
boormachine,4.0,6.0,7.0,20.0,8.0,4.0,5.0,5.0,3.0,6.0,14.0,5.0,7.0,,,,,,,,,,,,,,,,,
breekijzer,11.0,16.0,16.0,8.0,20.0,11.0,6.0,12.0,2.0,17.0,17.0,6.0,17.0,,,,,,,,,,,,,,,,,
engelse sleutel,6.0,6.0,9.0,4.0,11.0,20.0,7.0,6.0,15.0,11.0,6.0,6.0,11.0,,,,,,,,,,,,,,,,,
grasmachine,2.0,4.0,4.0,5.0,6.0,7.0,20.0,4.0,2.0,4.0,4.0,13.0,15.0,,,,,,,,,,,,,,,,,
hamer,4.0,13.0,9.0,5.0,12.0,6.0,4.0,20.0,3.0,8.0,13.0,6.0,6.0,,,,,,,,,,,,,,,,,
houtklem,5.0,11.0,3.0,3.0,2.0,15.0,2.0,3.0,20.0,4.0,3.0,4.0,5.0,,,,,,,,,,,,,,,,,
houweel,6.0,18.0,15.0,6.0,17.0,11.0,4.0,8.0,4.0,20.0,17.0,9.0,5.0,,,,,,,,,,,,,,,,,
koevoet,6.0,19.0,17.0,14.0,17.0,6.0,4.0,13.0,3.0,17.0,20.0,6.0,12.0,,,,,,,,,,,,,,,,,
kruiwagen,5.0,4.0,4.0,5.0,6.0,6.0,13.0,6.0,4.0,9.0,6.0,20.0,3.0,,,,,,,,,,,,,,,,,
mes,7.0,14.0,14.0,7.0,17.0,11.0,15.0,6.0,5.0,5.0,12.0,3.0,20.0,,,,,,,,,,,,,,,,,
moersleutel,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
oliespuit,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,
plamuurmes,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,
ploeg,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
schaaf,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,
schop,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,
schroevendraaier,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,
slijpschijf,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,
spijker,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,
staalborstel,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,
stofzuiger,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,
tang,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,
touw,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,
verfborstel,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,
vijl,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,
waterpas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,
zaag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
