exemplar,aambeeld,beitel,bijl,boormachine,breekijzer,engelse sleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,20.0,6.0,10.0,3.0,12.0,6.0,1.0,6.0,2.0,10.0,4.0,4.0,1.0,10.0,10.0,4.0,3.0,9.0,4.0,14.0,6.0,2.0,6.0,10.0,10.0,3.0,3.0,5.0,8.0,2.0
beitel,6.0,20.0,10.0,1.0,9.0,3.0,2.0,15.0,12.0,14.0,5.0,3.0,9.0,15.0,6.0,8.0,13.0,6.0,12.0,7.0,8.0,9.0,3.0,1.0,4.0,4.0,6.0,8.0,2.0,6.0
bijl,10.0,10.0,20.0,6.0,4.0,6.0,15.0,9.0,6.0,16.0,3.0,2.0,2.0,6.0,4.0,4.0,2.0,2.0,6.0,2.0,4.0,2.0,9.0,2.0,6.0,2.0,2.0,5.0,5.0,2.0
boormachine,3.0,1.0,6.0,20.0,5.0,6.0,6.0,6.0,16.0,6.0,11.0,1.0,3.0,3.0,1.0,11.0,12.0,12.0,10.0,7.0,6.0,6.0,6.0,4.0,3.0,6.0,5.0,2.0,14.0,4.0
breekijzer,12.0,9.0,4.0,5.0,20.0,15.0,6.0,2.0,3.0,9.0,19.0,6.0,6.0,16.0,3.0,7.0,2.0,7.0,6.0,6.0,8.0,14.0,15.0,1.0,10.0,1.0,5.0,12.0,2.0,2.0
engelse sleutel,6.0,3.0,6.0,6.0,15.0,20.0,5.0,10.0,6.0,3.0,12.0,8.0,8.0,3.0,4.0,7.0,3.0,10.0,6.0,15.0,6.0,12.0,9.0,7.0,17.0,6.0,7.0,4.0,6.0,6.0
grasmachine,1.0,2.0,15.0,6.0,6.0,5.0,20.0,1.0,6.0,3.0,3.0,7.0,2.0,6.0,4.0,3.0,7.0,3.0,2.0,6.0,11.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0
hamer,6.0,15.0,9.0,6.0,2.0,10.0,1.0,20.0,4.0,10.0,2.0,4.0,9.0,15.0,7.0,3.0,2.0,13.0,7.0,5.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,8.0,4.0,12.0
houtklem,2.0,12.0,6.0,16.0,3.0,6.0,6.0,4.0,20.0,12.0,9.0,4.0,5.0,5.0,2.0,10.0,6.0,5.0,3.0,1.0,12.0,5.0,10.0,8.0,1.0,6.0,12.0,6.0,13.0,8.0
houweel,10.0,14.0,16.0,6.0,9.0,3.0,3.0,10.0,12.0,20.0,2.0,2.0,4.0,7.0,2.0,5.0,11.0,3.0,15.0,12.0,3.0,9.0,10.0,1.0,3.0,3.0,4.0,8.0,14.0,2.0
koevoet,4.0,5.0,3.0,11.0,19.0,12.0,3.0,2.0,9.0,2.0,20.0,5.0,3.0,5.0,4.0,14.0,12.0,8.0,7.0,8.0,5.0,2.0,15.0,7.0,2.0,4.0,2.0,13.0,13.0,5.0
kruiwagen,4.0,3.0,2.0,1.0,6.0,8.0,7.0,4.0,4.0,2.0,5.0,20.0,3.0,2.0,1.0,1.0,16.0,5.0,12.0,2.0,8.0,2.0,2.0,2.0,5.0,4.0,3.0,9.0,3.0,2.0
mes,1.0,9.0,2.0,3.0,6.0,8.0,2.0,9.0,5.0,4.0,3.0,3.0,20.0,5.0,2.0,15.0,3.0,4.0,5.0,5.0,4.0,10.0,2.0,1.0,2.0,1.0,2.0,3.0,10.0,9.0
moersleutel,10.0,15.0,6.0,3.0,16.0,3.0,6.0,15.0,5.0,7.0,5.0,2.0,5.0,20.0,4.0,5.0,2.0,5.0,3.0,15.0,9.0,15.0,13.0,2.0,8.0,11.0,11.0,10.0,1.0,9.0
oliespuit,10.0,6.0,4.0,1.0,3.0,4.0,4.0,7.0,2.0,2.0,4.0,1.0,2.0,4.0,20.0,3.0,8.0,10.0,3.0,4.0,1.0,13.0,6.0,1.0,2.0,3.0,10.0,13.0,6.0,1.0
plamuurmes,4.0,8.0,4.0,11.0,7.0,7.0,3.0,3.0,10.0,5.0,14.0,1.0,15.0,5.0,3.0,20.0,2.0,9.0,15.0,4.0,5.0,3.0,1.0,17.0,2.0,1.0,10.0,3.0,16.0,3.0
ploeg,3.0,13.0,2.0,12.0,2.0,3.0,7.0,2.0,6.0,11.0,12.0,16.0,3.0,2.0,8.0,2.0,20.0,9.0,2.0,1.0,4.0,1.0,6.0,6.0,2.0,9.0,2.0,7.0,4.0,2.0
schaaf,9.0,6.0,2.0,12.0,7.0,10.0,3.0,13.0,5.0,3.0,8.0,5.0,4.0,5.0,10.0,9.0,9.0,20.0,3.0,14.0,15.0,6.0,6.0,1.0,5.0,6.0,2.0,13.0,3.0,16.0
schop,4.0,12.0,6.0,10.0,6.0,6.0,2.0,7.0,3.0,15.0,7.0,12.0,5.0,3.0,3.0,15.0,2.0,3.0,20.0,9.0,2.0,8.0,2.0,1.0,4.0,15.0,3.0,12.0,3.0,9.0
schroevendraaier,14.0,7.0,2.0,7.0,6.0,15.0,6.0,5.0,1.0,12.0,8.0,2.0,5.0,15.0,4.0,4.0,1.0,14.0,9.0,20.0,5.0,4.0,2.0,2.0,7.0,5.0,4.0,2.0,1.0,6.0
slijpschijf,6.0,8.0,4.0,6.0,8.0,6.0,11.0,3.0,12.0,3.0,5.0,8.0,4.0,9.0,1.0,5.0,4.0,15.0,2.0,5.0,20.0,9.0,12.0,15.0,5.0,11.0,5.0,2.0,2.0,3.0
spijker,2.0,9.0,2.0,6.0,14.0,12.0,4.0,2.0,5.0,9.0,2.0,2.0,10.0,15.0,13.0,3.0,1.0,6.0,8.0,4.0,9.0,20.0,14.0,9.0,5.0,3.0,1.0,15.0,3.0,7.0
staalborstel,6.0,3.0,9.0,6.0,15.0,9.0,2.0,5.0,10.0,10.0,15.0,2.0,2.0,13.0,6.0,1.0,6.0,6.0,2.0,2.0,12.0,14.0,20.0,1.0,12.0,14.0,2.0,3.0,5.0,5.0
stofzuiger,10.0,1.0,2.0,4.0,1.0,7.0,1.0,2.0,8.0,1.0,7.0,2.0,1.0,2.0,1.0,17.0,6.0,1.0,1.0,2.0,15.0,9.0,1.0,20.0,9.0,2.0,7.0,11.0,7.0,1.0
