exemplar,aambeeld,beitel,bijl,boormachine,breekijzer,engelse sleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,20.0,8.0,9.0,3.0,13.0,6.0,5.0,5.0,10.0,4.0,10.0,9.0,3.0,6.0,2.0,4.0,10.0,6.0,3.0,4.0,11.0,3.0,3.0,1.0,5.0,2.0,2.0,2.0,5.0,8.0
beitel,8.0,20.0,12.0,3.0,13.0,3.0,9.0,12.0,2.0,11.0,14.0,2.0,4.0,7.0,5.0,7.0,6.0,14.0,10.0,6.0,4.0,5.0,8.0,3.0,3.0,2.0,3.0,6.0,5.0,6.0
bijl,9.0,12.0,20.0,5.0,2.0,5.0,9.0,13.0,5.0,7.0,14.0,3.0,5.0,9.0,2.0,9.0,3.0,4.0,6.0,10.0,6.0,6.0,4.0,2.0,5.0,9.0,3.0,3.0,3.0,6.0
boormachine,3.0,3.0,5.0,20.0,2.0,7.0,3.0,8.0,8.0,6.0,6.0,3.0,7.0,2.0,5.0,5.0,3.0,2.0,3.0,18.0,15.0,2.0,5.0,2.0,5.0,2.0,3.0,9.0,10.0,8.0
breekijzer,13.0,13.0,2.0,2.0,20.0,5.0,4.0,9.0,9.0,9.0,15.0,7.0,5.0,5.0,3.0,6.0,7.0,8.0,2.0,6.0,9.0,2.0,5.0,2.0,13.0,4.0,3.0,9.0,3.0,9.0
engelse sleutel,6.0,3.0,5.0,7.0,5.0,20.0,2.0,5.0,4.0,8.0,3.0,2.0,5.0,17.0,3.0,10.0,5.0,9.0,2.0,15.0,2.0,2.0,3.0,3.0,4.0,2.0,5.0,4.0,6.0,3.0
grasmachine,5.0,9.0,9.0,3.0,4.0,2.0,20.0,2.0,3.0,4.0,7.0,3.0,2.0,3.0,3.0,3.0,9.0,6.0,10.0,3.0,10.0,2.0,8.0,4.0,2.0,2.0,3.0,4.0,2.0,3.0
hamer,5.0,12.0,13.0,8.0,9.0,5.0,2.0,20.0,3.0,6.0,10.0,9.0,11.0,2.0,4.0,7.0,11.0,6.0,11.0,5.0,5.0,9.0,3.0,2.0,6.0,9.0,3.0,5.0,5.0,10.0
houtklem,10.0,2.0,5.0,8.0,9.0,4.0,3.0,3.0,20.0,8.0,5.0,2.0,2.0,5.0,2.0,6.0,7.0,10.0,4.0,3.0,3.0,3.0,5.0,1.0,4.0,2.0,3.0,5.0,5.0,4.0
houweel,4.0,11.0,7.0,6.0,9.0,8.0,4.0,6.0,8.0,20.0,3.0,8.0,10.0,6.0,3.0,13.0,5.0,10.0,6.0,8.0,11.0,4.0,6.0,5.0,3.0,5.0,3.0,12.0,4.0,3.0
