exemplar,aambeeld,beitel,bijl,boormachine,breekijzer,engelse sleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,20.0,9.0,5.0,5.0,17.0,10.0,4.0,11.0,7.0,12.0,15.0,9.0,8.0,12.0,7.0,6.0,7.0,6.0,7.0,5.0,6.0,11.0,4.0,5.0,10.0,5.0,10.0,7.0,9.0,5.0
beitel,9.0,20.0,15.0,9.0,16.0,9.0,8.0,10.0,13.0,7.0,10.0,3.0,14.0,7.0,3.0,5.0,7.0,8.0,4.0,4.0,15.0,7.0,9.0,3.0,10.0,8.0,4.0,19.0,9.0,12.0
bijl,5.0,15.0,20.0,9.0,17.0,8.0,6.0,8.0,9.0,15.0,14.0,9.0,14.0,9.0,7.0,10.0,14.0,8.0,14.0,12.0,9.0,7.0,11.0,5.0,10.0,5.0,8.0,12.0,13.0,14.0
boormachine,5.0,9.0,9.0,20.0,6.0,6.0,17.0,11.0,8.0,8.0,5.0,8.0,15.0,3.0,4.0,9.0,5.0,4.0,6.0,8.0,17.0,1.0,4.0,14.0,6.0,4.0,6.0,5.0,11.0,9.0
breekijzer,17.0,16.0,17.0,6.0,20.0,11.0,8.0,12.0,10.0,16.0,18.0,4.0,18.0,7.0,16.0,10.0,6.0,13.0,13.0,7.0,9.0,11.0,5.0,3.0,12.0,8.0,10.0,11.0,5.0,14.0
engelse sleutel,10.0,9.0,8.0,6.0,11.0,20.0,5.0,7.0,5.0,5.0,15.0,15.0,11.0,15.0,8.0,12.0,12.0,8.0,7.0,11.0,3.0,5.0,5.0,3.0,14.0,5.0,3.0,5.0,5.0,15.0
grasmachine,4.0,8.0,6.0,17.0,8.0,5.0,20.0,4.0,5.0,5.0,7.0,10.0,12.0,4.0,5.0,4.0,7.0,4.0,4.0,5.0,7.0,2.0,5.0,9.0,7.0,3.0,3.0,5.0,5.0,8.0
hamer,11.0,10.0,8.0,11.0,12.0,7.0,4.0,20.0,10.0,17.0,10.0,5.0,9.0,6.0,11.0,7.0,7.0,8.0,8.0,14.0,7.0,8.0,6.0,3.0,13.0,7.0,4.0,8.0,15.0,12.0
houtklem,7.0,13.0,9.0,8.0,10.0,5.0,5.0,10.0,20.0,6.0,10.0,8.0,8.0,13.0,9.0,10.0,5.0,5.0,8.0,4.0,7.0,9.0,5.0,5.0,18.0,6.0,8.0,7.0,4.0,7.0
houweel,12.0,7.0,15.0,8.0,16.0,5.0,5.0,17.0,6.0,20.0,15.0,3.0,8.0,4.0,7.0,8.0,16.0,4.0,14.0,16.0,5.0,8.0,6.0,5.0,12.0,7.0,8.0,13.0,10.0,6.0
