exemplar,aambeeld,beitel,bijl,boormachine,breekijzer,engelse sleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,20.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,
beitel,3.0,20.0,3.0,3.0,4.0,3.0,3.0,,3.0,6.0,3.0,2.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,
bijl,3.0,3.0,20.0,2.0,13.0,3.0,3.0,,3.0,8.0,5.0,3.0,4.0,3.0,3.0,3.0,,,,,,,,,,,,,,
boormachine,3.0,3.0,2.0,20.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,,,,,,,,,,,,,,
breekijzer,3.0,4.0,13.0,3.0,20.0,4.0,3.0,,3.0,8.0,6.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,
engelse sleutel,3.0,3.0,3.0,3.0,4.0,20.0,3.0,,6.0,3.0,4.0,3.0,3.0,6.0,3.0,3.0,,,,,,,,,,,,,,
grasmachine,3.0,3.0,3.0,3.0,3.0,3.0,20.0,,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,
hamer,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,
houtklem,3.0,3.0,3.0,3.0,3.0,6.0,3.0,,20.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,
houweel,3.0,6.0,8.0,3.0,8.0,3.0,3.0,,3.0,20.0,8.0,3.0,4.0,3.0,3.0,3.0,,,,,,,,,,,,,,
koevoet,3.0,3.0,5.0,3.0,6.0,4.0,2.0,,3.0,8.0,20.0,3.0,3.0,3.0,4.0,3.0,,,,,,,,,,,,,,
kruiwagen,3.0,2.0,3.0,3.0,3.0,3.0,4.0,,3.0,3.0,3.0,20.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,
mes,3.0,3.0,4.0,3.0,3.0,3.0,3.0,,3.0,4.0,3.0,3.0,20.0,3.0,3.0,3.0,,,,,,,,,,,,,,
moersleutel,3.0,3.0,3.0,3.0,3.0,6.0,3.0,,3.0,3.0,3.0,3.0,3.0,20.0,3.0,3.0,,,,,,,,,,,,,,
oliespuit,3.0,3.0,3.0,4.0,3.0,3.0,3.0,,3.0,3.0,4.0,3.0,3.0,3.0,20.0,3.0,,,,,,,,,,,,,,
plamuurmes,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20.0,,,,,,,,,,,,,,
ploeg,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
schaaf,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,
schop,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,
schroevendraaier,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,
slijpschijf,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,
spijker,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,
staalborstel,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,
stofzuiger,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,
tang,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,
touw,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,
verfborstel,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,
vijl,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,
waterpas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,
zaag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
