exemplar,aambeeld,beitel,bijl,boormachine,breekijzer,engelse sleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,20.0,16.0,15.0,14.0,17.0,15.0,14.0,17.0,15.0,15.0,17.0,14.0,15.0,16.0,15.0,16.0,15.0,15.0,16.0,15.0,15.0,14.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0
beitel,16.0,20.0,17.0,14.0,15.0,16.0,14.0,17.0,16.0,16.0,14.0,14.0,17.0,17.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,14.0,17.0,15.0,15.0,16.0,15.0,16.0
bijl,15.0,17.0,20.0,15.0,16.0,16.0,14.0,17.0,15.0,17.0,15.0,15.0,17.0,15.0,15.0,15.0,15.0,16.0,16.0,15.0,14.0,15.0,15.0,14.0,16.0,14.0,16.0,15.0,15.0,14.0
boormachine,14.0,14.0,15.0,20.0,14.0,14.0,14.0,16.0,12.0,14.0,14.0,14.0,14.0,15.0,15.0,14.0,14.0,14.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,13.0,14.0,14.0,14.0,15.0
breekijzer,17.0,15.0,16.0,14.0,20.0,17.0,14.0,15.0,14.0,15.0,18.0,15.0,15.0,15.0,15.0,15.0,14.0,15.0,16.0,16.0,14.0,15.0,14.0,14.0,16.0,13.0,15.0,16.0,16.0,15.0
engelse sleutel,15.0,16.0,16.0,14.0,17.0,20.0,15.0,16.0,15.0,15.0,15.0,15.0,16.0,19.0,15.0,16.0,14.0,14.0,14.0,17.0,14.0,15.0,15.0,14.0,17.0,14.0,14.0,14.0,15.0,14.0
grasmachine,14.0,14.0,14.0,14.0,14.0,15.0,20.0,15.0,15.0,15.0,14.0,14.0,16.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,15.0,14.0,14.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0
hamer,17.0,17.0,17.0,16.0,15.0,16.0,15.0,20.0,15.0,16.0,16.0,14.0,15.0,14.0,14.0,14.0,15.0,14.0,15.0,16.0,14.0,15.0,15.0,14.0,16.0,14.0,16.0,15.0,15.0,16.0
houtklem,15.0,16.0,15.0,12.0,14.0,15.0,15.0,15.0,20.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,16.0,15.0,15.0,14.0,14.0,15.0,14.0,16.0,15.0,15.0,15.0,15.0,15.0
houweel,15.0,16.0,17.0,14.0,15.0,15.0,15.0,16.0,16.0,20.0,18.0,15.0,16.0,14.0,14.0,15.0,11.0,15.0,16.0,15.0,15.0,12.0,15.0,14.0,15.0,15.0,15.0,16.0,15.0,15.0
koevoet,17.0,14.0,15.0,14.0,18.0,15.0,14.0,16.0,15.0,18.0,20.0,16.0,16.0,15.0,15.0,15.0,15.0,16.0,16.0,15.0,14.0,15.0,15.0,14.0,15.0,14.0,14.0,15.0,15.0,15.0
kruiwagen,14.0,14.0,15.0,14.0,15.0,15.0,14.0,14.0,15.0,15.0,16.0,20.0,14.0,15.0,14.0,14.0,16.0,15.0,15.0,14.0,14.0,14.0,15.0,14.0,15.0,15.0,14.0,14.0,13.0,14.0
mes,15.0,17.0,17.0,14.0,15.0,16.0,16.0,15.0,15.0,16.0,16.0,14.0,20.0,16.0,14.0,18.0,13.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,15.0,15.0,15.0,18.0,16.0,16.0
moersleutel,16.0,17.0,15.0,15.0,15.0,19.0,14.0,14.0,15.0,14.0,15.0,15.0,16.0,20.0,15.0,15.0,14.0,16.0,14.0,15.0,15.0,15.0,15.0,14.0,16.0,15.0,15.0,15.0,14.0,15.0
oliespuit,15.0,16.0,15.0,15.0,15.0,15.0,14.0,14.0,15.0,14.0,15.0,14.0,14.0,15.0,20.0,14.0,11.0,15.0,15.0,15.0,14.0,15.0,16.0,14.0,15.0,15.0,15.0,14.0,14.0,15.0
plamuurmes,16.0,15.0,15.0,14.0,15.0,16.0,14.0,14.0,15.0,15.0,15.0,14.0,18.0,15.0,14.0,20.0,15.0,16.0,15.0,15.0,14.0,15.0,15.0,14.0,16.0,13.0,16.0,16.0,16.0,16.0
ploeg,15.0,16.0,15.0,14.0,14.0,14.0,14.0,15.0,14.0,11.0,15.0,16.0,13.0,14.0,11.0,15.0,20.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,9.0,13.0,15.0
schaaf,15.0,16.0,16.0,14.0,15.0,14.0,15.0,14.0,16.0,15.0,16.0,15.0,16.0,16.0,15.0,16.0,15.0,20.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,18.0,14.0,17.0
