exemplar,aambeeld,beitel,bijl,boormachine,breekijzer,engelse sleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,20.0,1.0,4.0,1.0,7.0,4.0,6.0,16.0,3.0,1.0,9.0,9.0,6.0,1.0,2.0,6.0,4.0,9.0,12.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,4.0,2.0,3.0,3.0
beitel,1.0,20.0,7.0,8.0,4.0,18.0,5.0,11.0,1.0,13.0,13.0,1.0,6.0,4.0,1.0,4.0,5.0,4.0,9.0,15.0,1.0,4.0,7.0,4.0,4.0,1.0,15.0,4.0,6.0,5.0
bijl,4.0,7.0,20.0,7.0,6.0,6.0,5.0,16.0,2.0,16.0,4.0,5.0,16.0,5.0,9.0,8.0,15.0,6.0,1.0,4.0,3.0,6.0,5.0,2.0,8.0,1.0,3.0,5.0,4.0,9.0
boormachine,1.0,8.0,7.0,20.0,11.0,6.0,14.0,8.0,3.0,5.0,8.0,5.0,8.0,6.0,1.0,8.0,5.0,4.0,1.0,2.0,14.0,3.0,5.0,16.0,4.0,1.0,3.0,1.0,5.0,2.0
breekijzer,7.0,4.0,6.0,11.0,20.0,5.0,1.0,11.0,11.0,7.0,15.0,1.0,12.0,10.0,20.0,14.0,4.0,9.0,6.0,5.0,3.0,6.0,5.0,3.0,17.0,1.0,5.0,6.0,4.0,4.0
engelse sleutel,4.0,18.0,6.0,6.0,5.0,20.0,2.0,14.0,19.0,4.0,6.0,4.0,4.0,19.0,4.0,14.0,7.0,9.0,4.0,20.0,8.0,9.0,9.0,1.0,6.0,1.0,5.0,4.0,15.0,4.0
grasmachine,6.0,5.0,5.0,14.0,1.0,2.0,20.0,5.0,2.0,4.0,5.0,11.0,4.0,3.0,5.0,3.0,18.0,12.0,6.0,2.0,14.0,1.0,5.0,17.0,4.0,1.0,2.0,5.0,6.0,1.0
hamer,16.0,11.0,16.0,8.0,11.0,14.0,5.0,20.0,4.0,9.0,9.0,5.0,3.0,14.0,11.0,18.0,4.0,2.0,15.0,4.0,3.0,12.0,13.0,4.0,13.0,1.0,5.0,6.0,14.0,9.0
houtklem,3.0,1.0,2.0,3.0,11.0,19.0,2.0,4.0,20.0,6.0,1.0,1.0,5.0,4.0,6.0,5.0,3.0,3.0,3.0,5.0,5.0,4.0,1.0,3.0,13.0,1.0,3.0,2.0,8.0,5.0
houweel,1.0,13.0,16.0,5.0,7.0,4.0,4.0,9.0,6.0,20.0,13.0,4.0,8.0,3.0,1.0,3.0,11.0,5.0,17.0,5.0,1.0,3.0,1.0,3.0,5.0,1.0,13.0,6.0,2.0,6.0
