exemplar,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,20.0,7.0,3.0,10.0,4.0,3.0,4.0,4.0,5.0,3.0,6.0,6.0,5.0,2.0,10.0,7.0,4.0,7.0,4.0,7.0,3.0,3.0,1.0,12.0,4.0,1.0,5.0,3.0,3.0,7.0
bever,7.0,20.0,10.0,4.0,4.0,3.0,6.0,5.0,6.0,2.0,5.0,20.0,3.0,5.0,4.0,3.0,2.0,17.0,7.0,12.0,2.0,4.0,6.0,4.0,3.0,3.0,3.0,5.0,6.0,5.0
bizon,3.0,10.0,20.0,1.0,8.0,5.0,3.0,3.0,3.0,5.0,4.0,2.0,2.0,3.0,7.0,3.0,10.0,2.0,4.0,5.0,6.0,6.0,3.0,9.0,5.0,6.0,6.0,7.0,4.0,7.0
dromedaris,10.0,4.0,1.0,20.0,15.0,6.0,4.0,3.0,3.0,6.0,9.0,4.0,2.0,12.0,6.0,3.0,4.0,7.0,2.0,4.0,3.0,5.0,1.0,4.0,4.0,10.0,2.0,5.0,4.0,4.0
eekhoorn,4.0,4.0,8.0,15.0,20.0,4.0,3.0,5.0,7.0,5.0,4.0,6.0,7.0,3.0,5.0,3.0,3.0,1.0,4.0,2.0,4.0,3.0,5.0,9.0,4.0,1.0,6.0,5.0,8.0,1.0
egel,3.0,3.0,5.0,6.0,4.0,20.0,5.0,5.0,5.0,3.0,4.0,9.0,5.0,2.0,6.0,4.0,10.0,3.0,4.0,9.0,5.0,14.0,3.0,12.0,4.0,7.0,6.0,2.0,5.0,4.0
ezel,4.0,6.0,3.0,4.0,3.0,5.0,20.0,3.0,2.0,14.0,7.0,7.0,4.0,5.0,7.0,5.0,5.0,3.0,2.0,4.0,1.0,3.0,10.0,6.0,5.0,4.0,15.0,3.0,10.0,9.0
giraf,4.0,5.0,3.0,3.0,5.0,5.0,3.0,20.0,1.0,10.0,4.0,2.0,3.0,6.0,5.0,4.0,5.0,6.0,4.0,3.0,2.0,6.0,5.0,3.0,18.0,6.0,4.0,5.0,5.0,20.0
hamster,5.0,6.0,3.0,3.0,7.0,5.0,2.0,1.0,20.0,3.0,3.0,3.0,6.0,15.0,2.0,6.0,4.0,3.0,5.0,2.0,4.0,5.0,7.0,13.0,9.0,1.0,6.0,4.0,11.0,20.0
hert,3.0,2.0,5.0,6.0,5.0,3.0,14.0,10.0,3.0,20.0,3.0,5.0,9.0,4.0,8.0,3.0,5.0,6.0,3.0,7.0,3.0,7.0,3.0,5.0,5.0,5.0,7.0,2.0,8.0,1.0
hond,6.0,5.0,4.0,9.0,4.0,4.0,7.0,4.0,3.0,3.0,20.0,1.0,6.0,13.0,3.0,10.0,2.0,3.0,4.0,7.0,10.0,15.0,4.0,4.0,5.0,8.0,6.0,2.0,4.0,5.0
ijsbeer,6.0,20.0,2.0,4.0,6.0,9.0,7.0,2.0,3.0,5.0,1.0,20.0,3.0,3.0,2.0,2.0,3.0,2.0,5.0,9.0,9.0,10.0,3.0,5.0,5.0,3.0,3.0,8.0,5.0,4.0
