exemplar,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,20.0,5.0,2.0,5.0,4.0,3.0,2.0,9.0,13.0,4.0,3.0,2.0,8.0,2.0,4.0,5.0,5.0,3.0,4.0,2.0,2.0,3.0,7.0,7.0,3.0,7.0,8.0,5.0,4.0,7.0
bever,5.0,20.0,3.0,3.0,5.0,6.0,6.0,5.0,8.0,8.0,8.0,4.0,4.0,9.0,4.0,3.0,4.0,3.0,2.0,3.0,6.0,3.0,4.0,5.0,4.0,9.0,3.0,8.0,3.0,4.0
bizon,2.0,3.0,20.0,11.0,5.0,6.0,10.0,3.0,2.0,5.0,6.0,10.0,3.0,2.0,9.0,3.0,10.0,11.0,2.0,9.0,13.0,11.0,7.0,5.0,4.0,5.0,4.0,2.0,4.0,13.0
dromedaris,5.0,3.0,11.0,20.0,3.0,2.0,12.0,8.0,7.0,4.0,7.0,3.0,9.0,2.0,6.0,2.0,16.0,6.0,2.0,9.0,12.0,9.0,10.0,10.0,6.0,8.0,5.0,3.0,9.0,12.0
eekhoorn,4.0,5.0,5.0,3.0,20.0,9.0,3.0,2.0,8.0,3.0,3.0,5.0,4.0,5.0,4.0,6.0,4.0,5.0,5.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,7.0,5.0,4.0,3.0
egel,3.0,6.0,6.0,2.0,9.0,20.0,3.0,4.0,5.0,3.0,6.0,8.0,2.0,3.0,3.0,5.0,3.0,2.0,9.0,7.0,3.0,10.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0
ezel,2.0,6.0,10.0,12.0,3.0,3.0,20.0,12.0,5.0,10.0,4.0,5.0,4.0,2.0,9.0,4.0,14.0,5.0,2.0,15.0,12.0,2.0,18.0,8.0,4.0,9.0,2.0,5.0,5.0,6.0
giraf,9.0,5.0,3.0,8.0,2.0,4.0,12.0,20.0,2.0,10.0,3.0,4.0,5.0,2.0,9.0,6.0,12.0,2.0,2.0,6.0,15.0,13.0,15.0,3.0,5.0,11.0,5.0,8.0,3.0,13.0
hamster,13.0,8.0,2.0,7.0,8.0,5.0,5.0,2.0,20.0,5.0,6.0,3.0,7.0,5.0,2.0,14.0,4.0,6.0,18.0,3.0,5.0,3.0,3.0,3.0,4.0,2.0,8.0,3.0,2.0,3.0
hert,4.0,8.0,5.0,4.0,3.0,3.0,10.0,10.0,5.0,20.0,9.0,8.0,10.0,2.0,7.0,4.0,15.0,2.0,2.0,7.0,10.0,3.0,14.0,3.0,7.0,6.0,6.0,5.0,7.0,14.0
hond,3.0,8.0,6.0,7.0,3.0,6.0,4.0,3.0,6.0,9.0,20.0,4.0,3.0,12.0,3.0,10.0,6.0,6.0,3.0,2.0,7.0,4.0,5.0,4.0,8.0,5.0,5.0,13.0,14.0,5.0
ijsbeer,2.0,4.0,10.0,3.0,5.0,8.0,5.0,4.0,3.0,8.0,4.0,20.0,2.0,2.0,3.0,2.0,5.0,6.0,1.0,4.0,6.0,8.0,4.0,5.0,10.0,7.0,6.0,8.0,9.0,6.0
