exemplar,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,20.0,6.0,9.0,9.0,5.0,6.0,9.0,8.0,8.0,8.0,5.0,8.0,10.0,5.0,8.0,7.0,7.0,12.0,6.0,10.0,5.0,8.0,7.0,4.0,9.0,8.0,8.0,9.0,5.0,8.0
bever,6.0,20.0,6.0,6.0,9.0,13.0,5.0,5.0,17.0,8.0,6.0,5.0,7.0,10.0,8.0,13.0,8.0,4.0,12.0,5.0,5.0,4.0,5.0,9.0,4.0,9.0,8.0,7.0,5.0,8.0
bizon,9.0,6.0,20.0,12.0,4.0,4.0,10.0,10.0,3.0,12.0,8.0,12.0,9.0,5.0,14.0,5.0,12.0,13.0,2.0,16.0,15.0,13.0,14.0,6.0,16.0,11.0,5.0,7.0,12.0,12.0
dromedaris,9.0,6.0,12.0,20.0,4.0,4.0,12.0,12.0,4.0,12.0,6.0,9.0,10.0,6.0,6.0,5.0,19.0,11.0,4.0,12.0,13.0,11.0,13.0,4.0,9.0,8.0,4.0,9.0,9.0,15.0
eekhoorn,5.0,9.0,4.0,4.0,20.0,11.0,7.0,4.0,13.0,5.0,6.0,5.0,6.0,12.0,6.0,12.0,8.0,5.0,11.0,4.0,5.0,4.0,7.0,8.0,4.0,8.0,8.0,6.0,8.0,5.0
egel,6.0,13.0,4.0,4.0,11.0,20.0,12.0,6.0,12.0,6.0,8.0,3.0,8.0,12.0,8.0,13.0,5.0,8.0,12.0,6.0,4.0,3.0,7.0,10.0,4.0,8.0,8.0,5.0,7.0,7.0
ezel,9.0,5.0,10.0,12.0,7.0,12.0,20.0,11.0,7.0,11.0,10.0,7.0,7.0,8.0,8.0,10.0,13.0,11.0,9.0,9.0,10.0,10.0,19.0,6.0,13.0,9.0,7.0,8.0,8.0,8.0
giraf,8.0,5.0,10.0,12.0,4.0,6.0,11.0,20.0,8.0,13.0,4.0,11.0,8.0,4.0,8.0,8.0,14.0,11.0,8.0,12.0,13.0,12.0,13.0,7.0,11.0,7.0,5.0,8.0,11.0,12.0
hamster,8.0,17.0,3.0,4.0,13.0,12.0,7.0,8.0,20.0,8.0,8.0,5.0,8.0,10.0,9.0,17.0,6.0,7.0,15.0,4.0,5.0,6.0,7.0,8.0,6.0,8.0,9.0,5.0,5.0,4.0
hert,8.0,8.0,12.0,12.0,5.0,6.0,11.0,13.0,8.0,20.0,9.0,12.0,14.0,9.0,9.0,9.0,10.0,8.0,6.0,10.0,11.0,8.0,15.0,10.0,9.0,8.0,8.0,12.0,11.0,6.0
hond,5.0,6.0,8.0,6.0,6.0,8.0,10.0,4.0,8.0,9.0,20.0,4.0,4.0,16.0,4.0,14.0,13.0,14.0,8.0,5.0,11.0,10.0,16.0,12.0,13.0,13.0,6.0,16.0,15.0,12.0
ijsbeer,8.0,5.0,12.0,9.0,5.0,3.0,7.0,11.0,5.0,12.0,4.0,20.0,11.0,10.0,5.0,3.0,6.0,10.0,2.0,12.0,14.0,13.0,13.0,8.0,12.0,10.0,5.0,13.0,11.0,13.0
kangoeroe,10.0,7.0,9.0,10.0,6.0,8.0,7.0,8.0,8.0,14.0,4.0,11.0,20.0,7.0,8.0,8.0,10.0,8.0,3.0,8.0,11.0,10.0,9.0,5.0,8.0,8.0,7.0,5.0,6.0,9.0
kat,5.0,10.0,5.0,6.0,12.0,12.0,8.0,4.0,10.0,9.0,16.0,10.0,7.0,20.0,5.0,13.0,4.0,13.0,11.0,4.0,3.0,5.0,13.0,10.0,16.0,12.0,7.0,14.0,15.0,11.0
koe,8.0,8.0,14.0,6.0,6.0,8.0,8.0,8.0,9.0,9.0,4.0,5.0,8.0,5.0,20.0,5.0,9.0,11.0,5.0,12.0,9.0,10.0,14.0,10.0,8.0,8.0,4.0,7.0,10.0,10.0
konijn,7.0,13.0,5.0,5.0,12.0,13.0,10.0,8.0,17.0,9.0,14.0,3.0,8.0,13.0,5.0,20.0,7.0,7.0,12.0,5.0,6.0,6.0,11.0,11.0,6.0,14.0,8.0,8.0,9.0,7.0
lama,7.0,8.0,12.0,19.0,8.0,5.0,13.0,14.0,6.0,10.0,13.0,6.0,10.0,4.0,9.0,7.0,20.0,5.0,8.0,12.0,9.0,12.0,15.0,9.0,10.0,7.0,4.0,11.0,9.0,13.0
