exemplar,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,20.0,4.0,6.0,4.0,4.0,4.0,5.0,8.0,4.0,3.0,7.0,4.0,4.0,4.0,4.0,6.0,4.0,6.0,6.0,4.0,15.0,6.0,6.0,4.0,8.0,5.0,3.0,7.0,6.0,6.0
bever,4.0,20.0,8.0,6.0,8.0,9.0,7.0,3.0,7.0,8.0,6.0,12.0,8.0,7.0,5.0,13.0,4.0,7.0,6.0,9.0,8.0,5.0,3.0,6.0,7.0,13.0,3.0,7.0,7.0,7.0
bizon,6.0,8.0,20.0,8.0,3.0,6.0,9.0,3.0,5.0,6.0,7.0,11.0,4.0,6.0,8.0,5.0,14.0,11.0,4.0,12.0,4.0,8.0,7.0,9.0,13.0,13.0,3.0,8.0,7.0,9.0
dromedaris,4.0,6.0,8.0,20.0,3.0,3.0,11.0,7.0,2.0,6.0,3.0,6.0,6.0,2.0,7.0,3.0,13.0,4.0,3.0,8.0,6.0,7.0,8.0,7.0,5.0,3.0,2.0,3.0,3.0,9.0
eekhoorn,4.0,8.0,3.0,3.0,20.0,13.0,7.0,4.0,16.0,8.0,3.0,3.0,7.0,9.0,3.0,12.0,5.0,7.0,6.0,4.0,3.0,3.0,3.0,4.0,7.0,3.0,3.0,12.0,7.0,4.0
egel,4.0,9.0,6.0,3.0,13.0,20.0,4.0,3.0,12.0,5.0,6.0,6.0,4.0,7.0,2.0,9.0,3.0,3.0,8.0,4.0,3.0,2.0,3.0,4.0,4.0,7.0,3.0,5.0,6.0,3.0
ezel,5.0,7.0,9.0,11.0,7.0,4.0,20.0,4.0,4.0,12.0,9.0,6.0,6.0,6.0,12.0,7.0,14.0,9.0,4.0,4.0,6.0,7.0,14.0,12.0,8.0,8.0,2.0,6.0,9.0,12.0
giraf,8.0,3.0,3.0,7.0,4.0,3.0,4.0,20.0,2.0,9.0,4.0,3.0,7.0,4.0,4.0,3.0,7.0,9.0,2.0,6.0,6.0,12.0,6.0,4.0,7.0,3.0,2.0,4.0,3.0,11.0
hamster,4.0,7.0,5.0,2.0,16.0,12.0,4.0,2.0,20.0,6.0,4.0,3.0,4.0,9.0,3.0,12.0,6.0,6.0,9.0,3.0,6.0,3.0,3.0,9.0,8.0,6.0,7.0,12.0,3.0,3.0
hert,3.0,8.0,6.0,6.0,8.0,5.0,12.0,9.0,6.0,20.0,7.0,4.0,4.0,6.0,9.0,6.0,7.0,3.0,3.0,6.0,11.0,7.0,11.0,9.0,7.0,7.0,2.0,7.0,9.0,11.0
hond,7.0,6.0,7.0,3.0,3.0,6.0,9.0,4.0,4.0,7.0,20.0,8.0,5.0,11.0,6.0,11.0,9.0,12.0,6.0,4.0,5.0,6.0,7.0,7.0,8.0,6.0,3.0,14.0,17.0,9.0
ijsbeer,4.0,12.0,11.0,6.0,3.0,6.0,6.0,3.0,3.0,4.0,8.0,20.0,5.0,4.0,4.0,6.0,8.0,7.0,3.0,8.0,8.0,8.0,7.0,8.0,6.0,7.0,2.0,7.0,7.0,12.0
kangoeroe,4.0,8.0,4.0,6.0,7.0,4.0,6.0,7.0,4.0,4.0,5.0,5.0,20.0,3.0,6.0,4.0,5.0,4.0,4.0,7.0,6.0,6.0,4.0,4.0,6.0,5.0,3.0,5.0,3.0,6.0
kat,4.0,7.0,6.0,2.0,9.0,7.0,6.0,4.0,9.0,6.0,11.0,4.0,3.0,20.0,8.0,12.0,7.0,12.0,4.0,3.0,4.0,4.0,4.0,7.0,15.0,4.0,4.0,9.0,14.0,2.0
koe,4.0,5.0,8.0,7.0,3.0,2.0,12.0,4.0,3.0,9.0,6.0,4.0,6.0,8.0,20.0,4.0,8.0,6.0,3.0,8.0,14.0,9.0,14.0,9.0,6.0,7.0,2.0,5.0,6.0,15.0
konijn,6.0,13.0,5.0,3.0,12.0,9.0,7.0,3.0,12.0,6.0,11.0,6.0,4.0,12.0,4.0,20.0,5.0,6.0,8.0,4.0,4.0,3.0,6.0,11.0,6.0,7.0,2.0,8.0,4.0,4.0
lama,4.0,4.0,14.0,13.0,5.0,3.0,14.0,7.0,6.0,7.0,9.0,8.0,5.0,7.0,8.0,5.0,20.0,7.0,2.0,9.0,7.0,6.0,12.0,11.0,5.0,7.0,2.0,4.0,6.0,9.0
leeuw,6.0,7.0,11.0,4.0,7.0,3.0,9.0,9.0,6.0,3.0,12.0,7.0,4.0,12.0,6.0,6.0,7.0,20.0,5.0,6.0,7.0,4.0,7.0,8.0,15.0,6.0,2.0,13.0,12.0,8.0
muis,6.0,6.0,4.0,3.0,6.0,8.0,4.0,2.0,9.0,3.0,6.0,3.0,4.0,4.0,3.0,8.0,2.0,5.0,20.0,2.0,2.0,3.0,3.0,4.0,7.0,5.0,3.0,7.0,4.0,2.0
neushoorn,4.0,9.0,12.0,8.0,4.0,4.0,4.0,6.0,3.0,6.0,4.0,8.0,7.0,3.0,8.0,4.0,9.0,6.0,2.0,20.0,19.0,8.0,7.0,6.0,8.0,9.0,3.0,5.0,4.0,7.0
nijlpaard,15.0,8.0,4.0,6.0,3.0,3.0,6.0,6.0,6.0,11.0,5.0,8.0,6.0,4.0,14.0,4.0,7.0,7.0,2.0,19.0,20.0,11.0,7.0,4.0,2.0,14.0,2.0,5.0,5.0,4.0
olifant,6.0,5.0,8.0,7.0,3.0,2.0,7.0,12.0,3.0,7.0,6.0,8.0,6.0,4.0,9.0,3.0,6.0,4.0,3.0,8.0,11.0,20.0,10.0,8.0,4.0,6.0,2.0,4.0,4.0,12.0
paard,6.0,3.0,7.0,8.0,3.0,3.0,14.0,6.0,3.0,11.0,7.0,7.0,4.0,4.0,14.0,6.0,12.0,7.0,3.0,7.0,7.0,10.0,20.0,8.0,7.0,6.0,3.0,8.0,8.0,16.0
