exemplar,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,20.0,12.0,14.0,6.0,14.0,6.0,14.0,13.0,8.0,9.0,12.0,8.0,15.0,8.0,10.0,11.0,14.0,14.0,5.0,10.0,13.0,10.0,8.0,14.0,5.0,12.0,10.0,14.0,13.0,11.0
bever,12.0,20.0,10.0,9.0,15.0,11.0,9.0,10.0,17.0,16.0,16.0,12.0,15.0,8.0,10.0,14.0,9.0,14.0,11.0,12.0,13.0,8.0,12.0,12.0,16.0,13.0,10.0,16.0,18.0,8.0
bizon,14.0,10.0,20.0,18.0,7.0,9.0,18.0,15.0,11.0,12.0,10.0,16.0,7.0,3.0,15.0,10.0,17.0,13.0,9.0,18.0,12.0,13.0,15.0,14.0,14.0,14.0,10.0,12.0,11.0,17.0
dromedaris,6.0,9.0,18.0,20.0,6.0,7.0,18.0,15.0,8.0,10.0,13.0,12.0,16.0,3.0,16.0,9.0,15.0,9.0,4.0,18.0,15.0,17.0,18.0,9.0,16.0,9.0,8.0,12.0,9.0,14.0
eekhoorn,14.0,15.0,7.0,6.0,20.0,14.0,12.0,9.0,19.0,13.0,10.0,10.0,6.0,15.0,9.0,14.0,9.0,10.0,13.0,7.0,9.0,4.0,8.0,9.0,11.0,11.0,12.0,12.0,10.0,9.0
egel,6.0,11.0,9.0,7.0,14.0,20.0,5.0,10.0,16.0,11.0,15.0,9.0,11.0,15.0,8.0,15.0,9.0,8.0,17.0,9.0,8.0,10.0,7.0,11.0,10.0,7.0,16.0,9.0,9.0,11.0
ezel,14.0,9.0,18.0,18.0,12.0,5.0,20.0,15.0,5.0,16.0,9.0,12.0,10.0,8.0,18.0,6.0,15.0,14.0,10.0,14.0,17.0,16.0,18.0,12.0,11.0,14.0,4.0,9.0,13.0,16.0
giraf,13.0,10.0,15.0,15.0,9.0,10.0,15.0,20.0,8.0,17.0,10.0,13.0,17.0,10.0,14.0,15.0,17.0,15.0,9.0,15.0,16.0,17.0,16.0,5.0,19.0,11.0,6.0,8.0,13.0,19.0
hamster,8.0,17.0,11.0,8.0,19.0,16.0,5.0,8.0,20.0,10.0,11.0,9.0,8.0,18.0,9.0,13.0,9.0,9.0,11.0,9.0,9.0,9.0,10.0,13.0,11.0,7.0,16.0,14.0,10.0,9.0
hert,9.0,16.0,12.0,10.0,13.0,11.0,16.0,17.0,10.0,20.0,15.0,14.0,18.0,11.0,16.0,15.0,17.0,16.0,9.0,17.0,15.0,15.0,12.0,10.0,14.0,15.0,9.0,16.0,13.0,16.0
hond,12.0,16.0,10.0,13.0,10.0,15.0,9.0,10.0,11.0,15.0,20.0,11.0,11.0,16.0,9.0,10.0,10.0,10.0,15.0,10.0,10.0,13.0,16.0,15.0,18.0,11.0,9.0,17.0,17.0,10.0
ijsbeer,8.0,12.0,16.0,12.0,10.0,9.0,12.0,13.0,9.0,14.0,11.0,20.0,14.0,10.0,12.0,9.0,11.0,13.0,7.0,8.0,12.0,17.0,15.0,14.0,14.0,8.0,4.0,16.0,15.0,11.0
kangoeroe,15.0,15.0,7.0,16.0,6.0,11.0,10.0,17.0,8.0,18.0,11.0,14.0,20.0,4.0,8.0,14.0,17.0,14.0,15.0,13.0,17.0,14.0,14.0,7.0,17.0,11.0,10.0,15.0,11.0,10.0
kat,8.0,8.0,3.0,3.0,15.0,15.0,8.0,10.0,18.0,11.0,16.0,10.0,4.0,20.0,8.0,11.0,8.0,18.0,15.0,9.0,12.0,8.0,8.0,10.0,17.0,8.0,14.0,15.0,15.0,10.0
koe,10.0,10.0,15.0,16.0,9.0,8.0,18.0,14.0,9.0,16.0,9.0,12.0,8.0,8.0,20.0,12.0,17.0,12.0,6.0,16.0,17.0,15.0,18.0,11.0,12.0,17.0,1.0,9.0,9.0,14.0
