exemplar,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,20.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,7.0,2.0,8.0,8.0,12.0,2.0,4.0,4.0,4.0,3.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
bever,2.0,20.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,6.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,3.0,2.0,2.0,2.0,3.0
bizon,2.0,2.0,20.0,2.0,2.0,2.0,2.0,6.0,2.0,3.0,2.0,5.0,2.0,2.0,13.0,2.0,3.0,4.0,2.0,7.0,14.0,8.0,2.0,3.0,3.0,2.0,3.0,8.0,12.0,6.0
dromedaris,2.0,2.0,2.0,20.0,9.0,10.0,10.0,8.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,15.0,3.0,2.0,2.0,9.0,2.0,15.0,2.0,4.0,2.0,2.0,2.0,5.0,2.0
eekhoorn,2.0,2.0,2.0,9.0,20.0,11.0,3.0,2.0,7.0,2.0,2.0,2.0,2.0,6.0,2.0,13.0,10.0,2.0,5.0,2.0,2.0,9.0,2.0,7.0,7.0,10.0,4.0,12.0,2.0,2.0
egel,2.0,2.0,2.0,10.0,11.0,20.0,2.0,2.0,3.0,2.0,2.0,2.0,17.0,2.0,9.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
ezel,2.0,2.0,2.0,10.0,3.0,2.0,20.0,3.0,2.0,2.0,4.0,2.0,8.0,2.0,20.0,10.0,6.0,3.0,2.0,2.0,2.0,2.0,19.0,8.0,2.0,3.0,2.0,2.0,2.0,2.0
giraf,4.0,2.0,6.0,8.0,2.0,2.0,3.0,20.0,2.0,2.0,6.0,2.0,2.0,2.0,11.0,2.0,9.0,3.0,2.0,13.0,8.0,6.0,15.0,2.0,2.0,11.0,1.0,2.0,2.0,6.0
hamster,2.0,4.0,2.0,2.0,7.0,3.0,2.0,2.0,20.0,2.0,8.0,2.0,2.0,4.0,2.0,13.0,5.0,2.0,15.0,2.0,2.0,2.0,2.0,3.0,2.0,10.0,2.0,2.0,2.0,2.0
hert,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,5.0,3.0,4.0,8.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,9.0,2.0,2.0,2.0,2.0,12.0
hond,7.0,2.0,2.0,3.0,2.0,2.0,4.0,6.0,8.0,2.0,20.0,2.0,2.0,18.0,2.0,13.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,6.0,3.0,5.0,2.0,12.0,16.0,2.0
ijsbeer,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,4.0,4.0,8.0,2.0,4.0,3.0,8.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0
kangoeroe,8.0,2.0,2.0,2.0,2.0,17.0,8.0,2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,5.0,2.0,2.0,2.0,7.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,16.0,2.0
kat,8.0,6.0,2.0,3.0,6.0,2.0,2.0,2.0,4.0,5.0,18.0,2.0,2.0,20.0,13.0,9.0,4.0,12.0,13.0,2.0,2.0,2.0,4.0,6.0,16.0,3.0,2.0,11.0,16.0,4.0
koe,12.0,2.0,13.0,2.0,2.0,9.0,20.0,11.0,2.0,3.0,2.0,4.0,2.0,13.0,20.0,2.0,3.0,3.0,2.0,4.0,15.0,12.0,9.0,5.0,2.0,4.0,2.0,2.0,2.0,10.0
konijn,2.0,4.0,2.0,2.0,13.0,4.0,10.0,2.0,13.0,4.0,13.0,4.0,5.0,9.0,2.0,20.0,4.0,3.0,13.0,2.0,2.0,2.0,5.0,7.0,2.0,13.0,2.0,5.0,3.0,2.0
lama,4.0,2.0,3.0,15.0,10.0,2.0,6.0,9.0,5.0,8.0,4.0,8.0,2.0,4.0,3.0,4.0,20.0,3.0,9.0,3.0,2.0,2.0,14.0,16.0,9.0,3.0,2.0,2.0,2.0,2.0
leeuw,4.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,12.0,3.0,3.0,3.0,20.0,9.0,2.0,4.0,3.0,3.0,2.0,15.0,2.0,2.0,2.0,5.0,7.0
muis,4.0,2.0,2.0,2.0,5.0,3.0,2.0,2.0,15.0,2.0,4.0,4.0,2.0,13.0,2.0,13.0,9.0,9.0,20.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,13.0,6.0,10.0
neushoorn,3.0,2.0,7.0,2.0,2.0,4.0,2.0,13.0,2.0,2.0,2.0,3.0,7.0,2.0,4.0,2.0,3.0,2.0,2.0,20.0,7.0,5.0,12.0,2.0,4.0,2.0,2.0,2.0,2.0,10.0
nijlpaard,2.0,2.0,14.0,9.0,2.0,3.0,2.0,8.0,2.0,2.0,2.0,8.0,3.0,2.0,15.0,2.0,2.0,4.0,2.0,7.0,20.0,8.0,5.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0
olifant,6.0,2.0,8.0,2.0,9.0,3.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,2.0,2.0,3.0,2.0,5.0,8.0,20.0,5.0,2.0,13.0,3.0,2.0,2.0,13.0,5.0
paard,2.0,2.0,2.0,15.0,2.0,2.0,19.0,15.0,2.0,5.0,2.0,4.0,2.0,4.0,9.0,5.0,14.0,3.0,2.0,12.0,5.0,5.0,20.0,2.0,5.0,2.0,2.0,9.0,2.0,18.0
schaap,2.0,2.0,3.0,2.0,7.0,2.0,8.0,2.0,3.0,2.0,6.0,2.0,2.0,6.0,5.0,7.0,16.0,2.0,2.0,2.0,2.0,2.0,2.0,20.0,2.0,13.0,2.0,2.0,3.0,2.0
tijger,2.0,8.0,3.0,4.0,7.0,2.0,2.0,2.0,2.0,9.0,3.0,2.0,2.0,16.0,2.0,2.0,9.0,15.0,2.0,4.0,5.0,13.0,5.0,2.0,20.0,2.0,2.0,3.0,2.0,12.0
varken,2.0,3.0,2.0,2.0,10.0,3.0,3.0,11.0,10.0,2.0,5.0,2.0,2.0,3.0,4.0,13.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,13.0,2.0,20.0,2.0,2.0,2.0,2.0
vleermuis,2.0,2.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0
vos,2.0,2.0,8.0,2.0,12.0,2.0,2.0,2.0,2.0,2.0,12.0,4.0,3.0,11.0,2.0,5.0,2.0,2.0,13.0,2.0,2.0,2.0,9.0,2.0,3.0,2.0,2.0,20.0,2.0,2.0
wolf,2.0,2.0,12.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,16.0,1.0,16.0,16.0,2.0,3.0,2.0,5.0,6.0,2.0,2.0,13.0,2.0,3.0,2.0,2.0,2.0,2.0,20.0,2.0
zebra,2.0,3.0,6.0,2.0,2.0,2.0,2.0,6.0,2.0,12.0,2.0,3.0,2.0,4.0,10.0,2.0,2.0,7.0,10.0,10.0,5.0,5.0,18.0,2.0,12.0,2.0,2.0,2.0,2.0,20.0
