exemplar,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,20.0,14.0,15.0,14.0,14.0,15.0,14.0,15.0,14.0,15.0,15.0,15.0,16.0,14.0,15.0,15.0,13.0,14.0,15.0,15.0,15.0,14.0,14.0,15.0,15.0,15.0,14.0,16.0,15.0,16.0
bever,14.0,20.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,14.0,15.0,14.0,15.0,14.0,15.0,15.0,15.0,15.0,14.0,15.0,14.0,14.0
bizon,15.0,15.0,20.0,16.0,14.0,14.0,14.0,14.0,13.0,16.0,16.0,16.0,15.0,15.0,17.0,14.0,16.0,16.0,14.0,16.0,17.0,16.0,17.0,11.0,16.0,16.0,14.0,16.0,16.0,16.0
dromedaris,14.0,15.0,16.0,20.0,14.0,14.0,16.0,16.0,13.0,16.0,14.0,14.0,15.0,14.0,17.0,14.0,17.0,15.0,14.0,15.0,16.0,16.0,17.0,16.0,15.0,15.0,14.0,14.0,15.0,16.0
eekhoorn,14.0,15.0,14.0,14.0,20.0,15.0,14.0,15.0,15.0,16.0,15.0,14.0,14.0,15.0,15.0,16.0,14.0,14.0,14.0,15.0,14.0,14.0,15.0,13.0,14.0,14.0,15.0,15.0,15.0,15.0
egel,15.0,15.0,14.0,14.0,15.0,20.0,14.0,14.0,14.0,14.0,13.0,14.0,14.0,15.0,14.0,16.0,13.0,14.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
ezel,14.0,15.0,14.0,16.0,14.0,14.0,20.0,16.0,14.0,17.0,16.0,14.0,15.0,14.0,16.0,14.0,16.0,16.0,13.0,16.0,16.0,15.0,17.0,15.0,15.0,15.0,14.0,16.0,15.0,16.0
giraf,15.0,15.0,14.0,16.0,15.0,14.0,16.0,20.0,14.0,16.0,14.0,14.0,15.0,14.0,16.0,14.0,17.0,15.0,14.0,16.0,15.0,16.0,16.0,15.0,15.0,14.0,14.0,15.0,15.0,16.0
hamster,14.0,16.0,13.0,13.0,15.0,14.0,14.0,14.0,20.0,15.0,15.0,14.0,14.0,14.0,12.0,16.0,14.0,14.0,17.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,15.0
hert,15.0,15.0,16.0,16.0,16.0,14.0,17.0,16.0,15.0,20.0,15.0,15.0,14.0,15.0,17.0,15.0,16.0,15.0,13.0,14.0,15.0,14.0,16.0,16.0,15.0,16.0,14.0,16.0,16.0,16.0
hond,15.0,15.0,16.0,14.0,15.0,13.0,16.0,14.0,15.0,15.0,20.0,16.0,17.0,17.0,15.0,15.0,16.0,16.0,14.0,14.0,14.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,16.0
